text,trans,type
SSR確定ガシャが引けるチケットです,Receive a Guaranteed SSR Gacha Ticket,text
SSR特訓はづきさん（サポート）,SSR Evolve Hazuki (Support),text
SSRのサポートアイドルを特訓します,Evolve an SSR Support Idol,text
SSR特訓はづきさん（プロデュース）,SSR Evolve Hazuki (Produce),text
SSRのプロデュースアイドルを特訓します,Evolve an SSR Produce Idol,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,[W.I.N.G.] Reach the True End of any idol,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,[W.I.N.G.] Advance to W.I.N.G. Finals,text
ファン感謝祭をクリアしよう,Clear Thanks Flapping Day,text
ファン感謝祭でMVPを1回取ろう,Recieve the MVP award in Thanks Flapping Day,text
プロデュースを開始しよう,Start a Produce Run,text
G.R.A.D.をクリアしよう,Clear G.R.A.D.,text
G.R.A.D.に優勝しよう,Win the G.R.A.D. Championship,text
トラブルを発生させずにシーズンをクリアしよう,Clear the season without any Trouble,text
「オールアイドル感謝FESTIVAL」に2回合格しよう,Pass 「オールアイドル感謝FESTIVAL」2 Times,text
「夕方ワイド アイドル一番！」に1回合格しよう,Pass 「夕方ワイド アイドル一番！」1 Time,text
「踊っていいとも？増刊号」に1回合格しよう,Pass 「踊っていいとも？増刊号」 1 Time,text
「SPOT LIGHTのせいにして…」に1回合格しよう,"Pass ""SPOT LIGHTのせいにして…"" 1 Time",text
「THE LEGEND」に3回合格しよう,"Pass ""THE LEGEND"" 3 Times",text
櫻木真乃,Mano Sakuragi,name
風野灯織,Hiori Kazano,name
八宮めぐる,Meguru Hachimiya,name
月岡恋鐘,Kogane Tsukioka,name
田中摩美々,Mamimi Tanaka,name
白瀬咲耶,Sakuya Shirase,name
三峰結華,Yuika Mitsumine,name
幽谷霧子,Kiriko Yukoku,name
小宮果穂,Kaho Komiya,name
園田智代子,Chiyoko Sonoda,name
西城樹里,Juri Saijo,name
杜野凛世,Rinze Morino,name
有栖川夏葉,Natsuha Arisugawa,name
大崎甘奈,Amana Osaki,name
大崎甜花,Tenka Osaki,name
桑山千雪,Chiyuki Kuwayama,name
芹沢あさひ,Asahi Serizawa,name
黛冬優子,Fuyuko Mayuzumi,name
和泉愛依,Mei Izumi,name
浅倉透,Toru Asakura,name
樋口円香,Madoka Higuchi,name
福丸小糸,Koito Fukumaru,name
市川雛菜,Hinana Ichikawa,name
七草にちか,Nichika Nanakusa,name
緋田美琴,Mikoto Aketa,name
櫻木 真乃,Mano Sakuragi,name
風野 灯織,Hiori Kazano,name
八宮 めぐる,Meguru Hachimiya,name
月岡 恋鐘,Kogane Tsukioka,name
田中 摩美々,Mamimi Tanaka,name
白瀬 咲耶,Sakuya Shirase,name
三峰 結華,Yuika Mitsumine,name
幽谷 霧子,Kiriko Yukoku,name
小宮 果穂,Kaho Komiya,name
園田 智代子,Chiyoko Sonoda,name
西城 樹里,Juri Saijo,name
杜野 凛世,Rinze Morino,name
有栖川 夏葉,Natsuha Arisugawa,name
大崎 甘奈,Amana Osaki,name
大崎 甜花,Tenka Osaki,name
桑山 千雪,Chiyuki Kuwayama,name
芹沢 あさひ,Asahi Serizawa,name
黛 冬優子,Fuyuko Mayuzumi,name
和泉 愛依,Mei Izumi,name
浅倉 透,Toru Asakura,name
樋口 円香,Madoka Higuchi,name
福丸 小糸,Koito Fukumaru,name
市川 雛菜,Hinana Ichikawa,name
七草 にちか,Nichika Nanakusa,name
緋田 美琴,Mikoto Aketa,name
フェス,Fes,noun
フェスリハーサル,Fes Rehearsal,noun
グレードフェス,Grade Fes,noun
リンクアピール,Link Appeal,noun
パーフェクト,Perfect,noun
がっちりアピール,Top + Last Appeal,noun
トップアピール,Top Appeal,noun
ラストアピール,Last Appeal,noun
プロ根性,Pro Willpower,noun
ファン感謝祭,TFD,noun
NORMAL,NORMAL,noun
HARD,HARD,noun
VERYHARD,VERYHARD,noun
審査員,Judge,noun
イルミネーションスターズ,Illumination Stars,noun
放課後クライマックスガールズ,After School Climax Girls,noun
アンティーカ,L'Antica,noun
アルストロメリア,Alstromeria,noun
ストレイライト,Straylight,noun
ノクチル,Noctchill,noun
シーズ,SHHis,noun
完全掌握,Complete Control,noun
フェスマスター,Fes Master,noun
パーフェクトライブ,Perfect Live,noun
伝説の一瞬,Legendary Moment,noun
ランクD,Rank D,noun
ランクC,Rank C,noun
ランクB,Rank B,noun
ランクA,Rank A,noun
ランクS,Rank S,noun
Fランク,Rank F,noun
Eランク,Rank E,noun
Dランク,Rank D,noun
Cランク,Rank C,noun
Bランク,Rank B,noun
Aランク,Rank A,noun
Sランク,Rank S,noun
Vo.,Vo.,noun
Vi.,Vi.,noun
Da.,Da.,noun
W.I.N.G.編,W.I.N.G. Run,note
ファン感謝祭編,Thanks Flapping Day Run,note
G.R.A.D.編,G.R.A.D. Run,note
LandingPoint,LandingPoint,note
LandingPoint編,LandingPoint,note
高難易度,High Difficulty,note
期間限定,Limited Time,note
白いツバサ,White Wing,note
$nounに$num回参加しよう,Participate in $1 $2 times,exp
営業を$num回しよう,Do $1 Jobs,exp
フェス参加権が$num回復します,Recover $1 Fes Entries,exp
$nounを$num回プレイしよう,Play $1 $2 Times,exp
フェスアイドルを$num人誕生させよう,Create $1 Fes Idols,exp
$nounに参加して、$nounを達成しよう,Join $1 and earn $2,exp
「$noun」：条件を満たすことで発動できる特別なスキル,[$1]: A special skill that can be activated by satisfying the conditions,exp
$nounに参加して、$nounを$num回達成しよう,Join $1 and earn $2 $3 times,exp
「$noun」：アピールメーターを$nounの位置で止める,[$1]: Stop the appeal meter at $2,exp
「$noun」：$num人の$nounから$nounと$nounを獲得する,[$1]: Get $4 and $5 from $2's $3,exp
$noun以上の$nounに参加して、$nounを$num回達成しよう,"Join $1 or above $2, and earn $3 $4 times",exp
$nounに参加して、$num位になろう,"Participate in $1, and earn rank $2",exp
$noun以上の$nounに参加して、$num位になろう,"Participate in $1 $2 or above, and earn rank $3",exp
$nounの$nounに参加して、$num位になろう,"Participate in $1 $2, and earn rank $3",exp
【$note】$nounの$nounに参加して、$num位に$num回なろう,[$1]: Participate in $2 $3 and earn rank $4 $5 times,exp
$nounの$nounに参加して、$num位以上になろう,Join $1 $2 and earn rank $3 or above,exp
$noun全員を編成して、$noun以上の$nounに参加しよう,"With all members of $1, participate in $2 or above $3",exp
$noun全員を編成して、$noun以上の$nounに$num回参加しよう,"With all members of $1, participate in $2 or above $3 $4 times",exp
$noun全員を編成して、$nounで$num位になろう,"With all members of $1, earn rank $3 at $2",exp
$noun全員を編成して、$nounで$num位に$num回なろう,"With all members of $1, earn rank $3 at $2 $4 times",exp
$noun全員を編成して、$noun以上の$nounで$num位になろう,"With all members of $1, earn rank $4 in $2 or above $3",exp
$noun全員を編成して、$noun以上の$nounで$nounを達成しよう,"With all members of $1, achieve $4 in $2 or above $3",exp
$noun全員を編成して、$noun以上の$nounで$nounを$num回達成しよう,"With all members of $1, achieve $4 in $2 or above $3 $5 times",exp
【$note】$noun全員を編成して、$nounの$nounで$num位になろう,"[$1]: With all members of $2, earn rank $5 in $3's $4",exp
$nameのファンを累計で$num人獲得しよう,Earn $2 total fans for $1,exp
$nameのファンを累計で$num万人獲得しよう,Earn $20000 total fans for $1,exp
$nameのファンを累計で$num億人獲得しよう,Earn $200000000 total fans for $1,exp
ファンを累計で$num人獲得しよう,Earn $1 total fans,exp
ファンを累計で$num万人獲得しよう,Earn $10000 total fans,exp
ファンを累計で$num億人獲得しよう,Earn $100000000 total fans,exp
$nameの思い出レベルを$numにしよう,Reach Memory Level $2 with $1,exp
$nounで$num回勝利しよう,Win $2 times in $1,exp
$nounで$nounを達成しよう,Achieve $2 in $1,exp
「$noun」：$nounボーナスを獲得する,[$1]: Get $2 Bonus,exp
$nounで$nounを$num回達成しよう,Get $2 $3 times in $1,exp
$nounをプレイしよう,Play $1,exp
$nounで勝利しよう,Win with $1,exp
天井社長からの指令$num,President's Directive #$1,exp
$nounのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,Create a Fes idol using all $1 members in a run,exp
シーズン$numをクリアしよう,Clear Season $1,exp
$nameのフェスアイドルを誕生させよう,Create a $1 Fes Idol,exp
グレードLv$numに昇格しよう,Promote to Grade Lv$1,exp
センターに$nameを編成して、$noun以上の$nounに参加して「$noun」を達成しよう,"With $1 as a Center, join $2 or above $3 and achieve ""$4""",exp
$nameのユニットで、強力なライバルに対して\n「$noun」を達成した証,"$1's unit has achieved\r\n""$2"" against powerful rivals",exp
$nameのTrueEndを見よう,Reach $1's True End,exp
【$unknown】$nameのTrueEndを見よう,Reach [$1] $2's True End,exp
$nameの「$noun」「$noun」「$noun」を全てクリアしよう,"Clear $1's  ""$2"" ""$3"" and ""$4""",exp
$noun以上のフェスアイドルを誕生させよう,Create a Fes Idol of $1 or higher,exp
センターに$nameを編成し$noun以上の$nounに参加して「$noun」を達成しよう,"With $1 as a Center, join $2 or above $3 and achieve ""$4""",exp
グレードLv$numに昇格しよう,Promote to Grade Lv$1,exp
$nameをプロデュースしてシーズン$numをクリアしよう,Produce $1 and clear season $2,exp
$nameプロデュースしてシーズン$numをクリアしよう,Produce $1 and clear season $2,exp
$nameをプロデュースしてW.I.N.G.決勝に進出しよう,Produce $1 and advance to W.I.N.G. Finals,exp
【$unknown】$nameをプロデュースしてシーズン$numをクリアしよう,Produce 【$1】$2 and clear season $3,exp
【$unknown】$nameを編成してシーズン$numをクリアしよう,Use 【$1】$2 in a Produce run and clear season $3,exp
シーズン$numのオーディションすべてに合格しよう,Pass all auditions in season $1,exp
シーズン$num開催のオーディション「$noun」に合格しよう,"Pass audition ""$2"" in season $1",exp
シーズン$num開催の特別オーディション「$noun」に合格しよう,"Pass special audition ""$2"" in season $1",exp
難易度$numのアイデアノートを$num回コンプリートしよう,Complete Lvl $1 Idea Notes $2 Times,exp
$nounの誰か一人をプロデュースして$noun以上のフェスアイドルを誕生させよう,Produce any $1 and create a Fes Idol $2 or above,exp
【$note】シーズン$num開催のオーディション「$unknown」に合格しよう,"【$1】Pass audition ""$3"" in season $2",exp
【$note】シーズン$num開催の特別オーディション「$unknown」に合格しよう,"【$1】Pass special audition ""$3"" in season $2",exp
【$note】ファン感謝祭をクリアしよう,【$1】Clear Thanks Flapping Day,exp
【$note】ファン感謝祭でMVPを1回取ろう,【$1】Earn MVP in Thanks Flapping Day,exp
【$note】$noun以上の$nounに参加して、「$noun」を達成しよう,【$1】In $2 or above $3 earn「$4」,exp
累計$numポイント達成,Achieve $1 Total Points,exp
"$num,$num周目クリア","Clear $1,$2 Rounds",exp
$num周目クリア,Clear $1 Rounds,exp
最高スコア$num達成,Highest Score $1 Achieved,exp
トークイベントに出演などでSPを累計$num以上獲得しよう,Earn a total of $1 or more SP from Talkshows,exp
ラジオの収録などでメンタルを$num以上にしよう,Earn a total of $1 or more Mental from Radio Shows,exp
ラジオの収録やトークイベントに出演などでファン数を$num人以上獲得しよう,Earn a total of $1 or more Fans from Radio Shows and Talkshows,exp
トークイベントに出演などでSPを累計$num以上にしよう,Make SP a total of $1 or more from Talkshows,exp
$ukを$num以上にしよう,Get $1 to more than $2,exp
ファン数を累計$num万人以上獲得しよう,Gain over $10000 fans total,exp
マニーショップで買い物をしよう,Buy one item from the Money Shop,text
"累計$num,000ポイント達成","Earn $1,000 total points",exp
"累計$num,$num,000ポイント達成","Earn $1,$2,000 total points",exp
"最高スコア$num,$num達成","Earn a high score of $1,$2",exp
【$unknown】$nameを最大まで特訓しよう,Evolve 【$1】$2 to max evolution,exp
【$unknown】$nameを最大まで\n特訓しよう,Evolve 【$1】$2 to max evolution,exp
$nameのRアイドルです,R rank idol of $1,exp
アイドルは特訓をすることで、強力なスキルを覚えられるようになります～,"By evolving your idols, they'll be able to learn powerful skills~",exp
編成のチュートリアルを見よう,View the Team Setup tutorial,exp
$nameのSRサポートアイドルです,SR rank support idol of $1,exp
編成チュートリアルを参考にユニット編成してみてくださいね♪,Please reference the team setup tutorial to set your unit♪,exp
【$unknown】$nameを編成しよう,Set 【$1】$2 in a team,exp
初心者ミッションを進めるプロデュースアイドルを選択しよう,Let's select a Produce Idol to move forward,exp
初心者ミッションを進めるプロデュース\nアイドルを選択しよう,Let's select a Produce Idol to move forward,exp
トレーニングで【$unknown】$nameをLv.50にしよう,Train 【$1】$2 to Lv.50,exp
W.I.N.G.編のプロデュースで$noun以上のCreate 1 Fes Idols,Play a W.I.N.G. Produce run and create an idol at $1 or above,exp
W.I.N.G.編のプロデュースで$noun以上のフェスアイドルを1人誕生させよう,Play a W.I.N.G. Produce run and create an idol at $1 or above,exp
W.I.N.G.のプロデュースで$noun以上のフェスアイドルを1名誕生させよう,Play a W.I.N.G. Produce run and create an idol at $1 or above,exp
W.I.N.G.編のプロデュースで$noun以上のフェスアイドルを1名誕生させよう,Play a W.I.N.G. Produce run and create an idol at $1 or above,exp
サポートアイドル1人をLv.65以上にしよう,Level 1 Support Idol to Lv.65 or above,exp
W.I.N.G.編のプロデュースの振り返りでスキルを習得してみよう,Learn a skill through Reminisce in W.I.N.G.,exp
受け取ったサポートアイドルを編成してみましょう♪,Let's set the Support Idol we got♪,exp
編成に悩んだら、おまかせ編成を使ってください♪最初のうちは同じジャンルのアピールを持っているサポートアイドルで揃えるのがおすすめです～,"If you're worred about your setup, please use the Recommend button♪ Let's gather supports of the same appeal type first~",exp
サポートアイドルならレベル上限も上昇しますよ♪,"For supports, their maximum level will also increase♪",exp
サポートアイドルのレベルを上げると、プロデュースを有利に進めることができます～トレーニング以外にも、営業も活用してくださいね,"If you raise your support's levels, you can advance further in Produce~ Besides training, you can also level through Jobs.",exp
フェスアイドルを誕生させるには最後までプロデュースをしてくださいね～♪,"To create a Fes Idol, play Produce mode until the end~♪",exp
誕生させたフェスアイドルを編成してフェスに参加してみましょう♪,Let's set the Fes Idol we just made in our Fes team♪,exp
ライブスキルはオーディション攻略に欠かせませんスキルの有無で難易度が大きく変わるので、大事なステージの前には取り忘れがないか確認を〜,"Live skills are indispensable for beating auditions, make sure you grab some before an important stage~",exp
アイドルを特訓すると新しいスキルが覚えられます♪特訓には、「同じイラストのアイドルで特訓」と「特訓はづきさんで特訓」の二つの方法がありますよ～,"Your idol can learn new skills through Evolution♪ You can evolve an idol with a copy of the same card or the proper Hazuki seal~",exp
それぞれのポジションに合ったアイドルを編成するとフェスで高いスコアを残すことができますよ～,"If you set an idol that suits each position, you can obtain a high score in Fes~",exp
営業を$num回完了しよう,Complete $1 jobs,exp
W.I.N.G.準決勝に進出しよう,Advance to W.I.N.G. semifinals,exp
$nounに参加しよう,Participate in $1,exp
$nounに参加して$nounを達成しよう,Perform a $2 in $1,exp
$noun以上の$nounで$num位になろう,Earn rank $3 in a $1 or higher $2,exp
ゲームにログインしよう,Log into the game,exp
プロフィールで誕生日を設定しよう！,Set your birthday on your profile!,exp
予選オーディションに合格しよう,Pass the Prelim Audition,exp
【$note】G.R.A.D.をクリアしよう,【$1】Clear G.R.A.D.,exp
【$note】G.R.A.D.を優勝しよう,【$1】Win the G.R.A.D. Championship,exp
【$unknown】$nameを編成して シーズン$numをクリアしよう,"With 【$1】$2 in the unit, clear Season $3",exp
【$note】ブロックの満足度を総合$num%以上にしよう,【$1】Raise a Block's excitement to $2%,exp
【$note】アビリティを$num個獲得しよう,【$1】Acquire $2 abilities in G.R.A.D.,exp
イベントミッションを$num個達成しよう,Clear $1 event missions,exp
第$num弾,Part $1,exp
リサイクルショップで交換しよう,Use the Recycle Shop,exp
グレード$num以上の$nounに$num回参加しよう,Participate in $2 $3 times at Grade Fes rank $1 or above,exp
プロデュースを開始しよう,Start a Produce Run,exp
フェスアイドルを誕生させよう,Create a Fes Idol,exp
$noun以上のフェスアイドルを$num人誕生させよう,Create $2 Fes Idols of $1 or above,exp
Lv.$num以上のサポートアイドル$num人を編成しよう,Raise $2 Support Idols to Lv.$1,exp
トレーニングで【$unknown】$nameをLv.$numにしよう,Raise 【$1】$2 to Lv.$3,exp
思い出レベルを$num以上にしてW.I.N.G.に出場しよう,Reach Memory Appeal Level $1 in W.I.N.G.,exp
W.I.N.G.編のプロデュースで$unknownが$num以上のフェスアイドルを$num名誕生させよう,Create $3 Fes Idol with $2 $1 in W.I.N.G.,exp
$unknownが流行1位のときにW.I.N.G.準決勝に勝利しよう,Win a W.I.N.G. Semifinals when $1 is the top trend,exp
$unknownが流行1位のときにW.I.N.G.決勝に勝利しよう,Win a W.I.N.G. Finals when $1 is the top trend,exp
【$note】難易度$num以上のアイデアノートを$num回コンプリートしよう,【$1】Complete $3 Idea Notes of difficulty $2 or higher,exp
期間中に$nameのファン人数を$num万人獲得しよう,"Earn $20,000 fans for $1 during the event",exp
【$unknown】W.I.N.G.攻略ミッションを全て達成しよう,【$1】Complete all W.I.N.G. Walkthrough missions,exp
【$unknown】アイドルをホームユニットに編成しよう,【$1】Set an idol in your Home Unit,exp
【$unknown】グレードフェスに参加して、$num位に$num回なろう,【$1】Place $2 or higher in Grade Fes $3 times,exp
【$unknown】1日1回10連無料ガシャを$num回実行しよう,【$1】Roll the Daily Free 10 Gacha $2 times,exp
【$unknown】プロフィールでお気に入りのアイドルを設定しよう,【$1】Set your favorite Idol on your Profile,exp
【$unknown】未読の4コマ漫画を1つ見よう,【$1】View a 4Koma,exp
【$unknown】サポートアイドルをトレーニングしよう,【$1】Train a Support Idol,exp
【$unknown】初心者ミッションを全て達成しよう,【$1】Complete all Beginner missions,exp
W.I.N.G.攻略ミッションを全て達成しよう,Clear all W.I.N.G. Walkthrough missions,exp
いずれかのアイドルのTrueEndを見よう,See any idol's True End,exp
アイドルをホームユニットに編成しよう,Set any idol in your Home Unit,exp
プロフィールでお気に入りのアイドルを設定しよう,Set your favorite idol in your Profile,exp
ガシャを1回実行しよう（運命の出会いガシャを除く）,Pull from 1 Gacha (Excluding Fateful Meeting Gacha)
初心者ミッションを全て達成しよう,Clear all Beginner Missions,exp
【$note】W.I.N.G.を優勝しよう,【$1】Win W.I.N.G.,exp
【$note】W.I.N.G.を$num回優勝しよう,【$1】Win W.I.N.G. $2 times,exp
【$note】G.R.A.D.で優勝しよう,【$1】Win G.R.A.D.,exp
【$unknown】$nameを編成してシーズン$numを クリアしよう,【$1】 Clear Season $3 with $2,exp
シーズン$numを$num回クリアしよう,"Clear ""Season $1"" $2 times",exp
【$note】W.I.N.G.決勝に$num回進出しよう,【$1】Reach W.I.N.G. Finals $2 times,exp
​【$note】いずれかのアイドルのTrueEndを$num回見よう,【$1】Reach any idol True End $2 times,exp
【$note】シーズン$num開催のオーディション「$uk」に$num回合格しよう,【$1】Pass audition 「$3」 $4 times in Season $2,exp
【$note】シーズン$num開催の特別オーディション「$uk」に$num回合格しよう,【$1】Pass special audition 「$3」 $4 times in Season $2,exp
​【$note】$nounの誰か一人でLandingPointをクリアしよう,【$1】Clear LandingPoint with any $2 idol,exp
【$note】$nameで$noteのライブを大成功させよう,【$1】Earn a Great Success in $3 with $2,exp
【$note】LandingPoint編$noun追加記念ミッションを全てクリアしよう,【$1】Clear LandingPoint with every idol from $2,exp
【$note】LandingPointのライブを$num回大成功させよう,【$1】Earn a Great Success in LandingPoint $2 times,exp
【$note】LandingPointを$num回クリアしよう,【$1】Clear LandingPoint $2 times,exp
【$note】G.R.A.D.を$num回優勝しよう,【$1】Win G.R.A.D. $2 times,exp
【$note】G.R.A.D.を$num回クリアしよう,【$1】Clear G.R.A.D. $2 times,exp
【$note】予選オーディションに$num回合格しよう,【$1】Clear G.R.A.D. Pre-Selection Audition $2 times,exp
【$note】ファン感謝祭を$num回クリアしよう,【$1】Win T.F.D. $2 times,exp
$nounの誰か一人をプロデュースして$noun以上のフェスアイドルを$num人誕生させよう,Create $3 Fes Idols from $1 of $2 or above,exp
【$note】$noun以上の$nounに参加して、「$noun」を$num回達成しよう,"【$1】In $2 $3 or above, earn a 「$4」 $5 times",exp
$nounの$nounに参加して、$num位に$num回なろう,"In $1 $2, earn rank $3 $4 times",exp
【$note】$nounの$nounに参加して、「$noun」を$num回達成しよう,"【$1】In $2 $3, earn a 「$4」 $5 times",exp
$nounの$nounに参加して、$num位以上に$num回なろう,"In $1 $2, earn rank $3 or above $4 times",exp
$noun全員を編成して、$noun以上の$nounで$num位に$num回なろう,"With all members of $1, earn rank $4 $5 times in $2 or above $3",exp
$nounに参加して、スターを累計$num個獲得しよう,Earn $2 stars from participating in $1,exp
$nounに参加して、$num位に$num回なろう, Earn rank $2 in $1 $3 times,exp
$nounを$num回クリアしよう,Clear $1 $2 times,exp
いずれかのアイドルをプロデュースして、$noun$num以上のフェスアイドルを誕生させよう,Create any idol with $2 $1 or higher,exp
オーバーキャストモノクローム獲得ミッションを全て達成しよう,Complete all Overcast Chrome missions,exp
$nameをプロデュースして$noun以上のフェスアイドルにしよう,Create a $2 or higher $1 Fes Idol,exp
【$unknown】ライブアイテムを$num個使用する,【$1】Use $2 Live Items,exp
Fes Toursで$numSTAGEを突破する,Clear stage $1 in Fes Tours,exp
ライブアイテムを$num個使用する,Use $1 Live Items,exp
STAGE$numで登場するExtremeライブに勝利する,Clear the Stage $1 Extreme Live,exp
Extremeライブに$num回勝利する,Clear $1 Extreme Lives,exp
"灯織、摩美々、結華、霧子、凛世、甜花、愛依、小糸","Hiori,Mamimi,Yuika,Kiriko,Rinze,Tenka,Mei,Koito",noun
"めぐる、咲耶、樹里、夏葉、千雪、冬優子、透、雛菜、にちか","Meguru,Sakuya,Kaho,Natsuha,Chiyuki,Fuyuko,Toru,Hinana,Nichika",noun
"チーム","Team",noun
"ピーちゃん","Pii-chan",noun
"(真乃、霧子、甜花)","(Mano,Kiriko,Tenka)",noun
"一番星","First Star",noun
"(灯織、果穂、甘奈)","(Hiori,Kaho,Amana)",noun
"うさちよかめ","UsaChiyoKame",noun
"(恋鐘、智代子、愛依)","(Kogane,Chiyoko,Mei)",noun
"まりあ","MaRiA",noun
"(摩美々、凛世、あさひ)","(Mamimi,Rinze,Asahi)",noun
"青春ジャージ","Youthful Jersey",noun
"(結華、夏葉、千雪)","Yuika,Natsuha,Chiyuki",noun
"ヘルメス","Hermes",noun
"(めぐる、咲耶、樹里、冬優子)","(Meguru,Sakuya,Juri,Fuyuko)",noun
"めぐる、咲耶、樹里、夏葉、千雪、冬優子、透、雛菜、にちか","Meguru,Sakuya,Juri,Natsuha,Chiyuki,Fuyuko,Toru,Hinana,Nichika",noun
$nounのすべての基礎能力$num%,"$1 Base Stamina $2%",exp
$noun$unknown$noun$noun$unknownの体力回復量を$num%上昇,$1$2$3$4$5 restore $6% more Stamina,exp
$nounの体力回復量を$num%上昇,$1 restore $2% more Stamina,exp
$nameの編成時、すべてのアピール値$num%,"Appeals by $1 have $2% effect",exp
$nounの編成時、すべてのアピール値$num%,"Appeals by $1 have $2% effect",exp
フェスツアーptの獲得量を$num%減少,Fes Tour pt gains decreased $1%,exp
すべてのアイドルのすべての基礎能力$num%,All idol's Base Stamina $1%,exp
すべてのアイドルの体力回復量を$num%上昇,All idol's Stamina Recovery increased $1%,exp
すべてのアピール値$num%,Appeals by all idols have $1% effect,exp
すべてのアイドルの体力消費量$num%上昇,All idol's Stamina drains $1% faster,exp
$unknown$noun$unknownの体力減少量を$num%軽減,$1$2$3 lose $4% less Stamina,exp
$nounの体力減少量を$num%軽減,$1 lose $2% less Stamina,exp
$noun$unknown$noun$noun$unknownの体力減少量を$num%軽減,$1$2$3$4$5 lose $6% less Stamina,exp
ボーカルレッスン,Vocal Lesson,noun
ダンスレッスン,Dance Lesson,noun
ビジュアルレッスン,Visual Lesson,noun
ラジオの収録,Radio Recording,noun
トークイベント,Talk Show,noun
雑誌の撮影,Photoshoot,noun
お仕事,Work,noun
休む,Rest,noun
レッスン,Lesson,noun
Vocal,Vocal,noun
Visual,Visual,noun
Dance,Dance,noun
$nounを$num回行う,Go to $1 $2 times,exp
