name,ja,en
produceMain.supportSkillsDialog.placeTitle.vocalLesson,ボーカルレッスン,Vocal Lesson
produceMain.supportSkillsDialog.placeTitle.danceLesson,ダンスレッスン,Dance Lesson
produceMain.supportSkillsDialog.placeTitle.visualLesson,ビジュアルレッスン,Visual Lesson
produceMain.supportSkillsDialog.placeTitle.radioWork,ラジオの収録,Radio Recording
produceMain.supportSkillsDialog.placeTitle.talkWork,トークイベントに出演,Talk Show
produceMain.supportSkillsDialog.placeTitle.photoWork,雑誌の撮影,Magazine Shoot
produceMain.supportSkillsDialog.placeTitle.audition,オーディション,Audition
produceMain.supportSkillsDialog.placeTitle.none,その他,Other
trueEndTeaching.objectivePopupTitle.season,シーズン%{seasonNum}目標,Season %{seasonNum} Goal
trueEndTeaching.objectivePopupHadukiHint.season2,目標をすべて達成したら、次のシーズンを見据えて\nレッスンやお仕事を行いましょう♪,"If you've achieved all your goals, let's do\r\nLessons and Work for next season♪"
trueEndTeaching.objectivePopupHadukiHint.season3,目標をすべて達成したら、W.I.N.G.へ向けて\nレッスンやお仕事を行いましょう♪,"If you've achieved all your goals, let's do\r\nLessons and aim for W.I.N.G.♪"
trueEndTeaching.skillGetRecommendTipsTitle,振り返りでスキルを習得しましたか？,Did you learn Skills in Reminisce?
trueEndTeaching.allObjectiveClearedText,目標全てクリア,All goals cleared
trueEndTeaching.auditionTipsTitle,おすすめオーディション,Recommended Audition
trueEndTeaching.auditionTipsHadukiHintText,流行にも注目です〜♪　今週がチャンスですよ〜,Keep an eye on the trend〜♪ This is your chance～
trueEndTeaching.openDialogTitle,初心者ミッションクリア,Beginner Mission Clear
trueEndTeaching.openDialogDescription,True End研修はホーム画面からスタートすることができます,True End Training can be started from the Home screen
trueEndTeaching.tipsText,おめでとうございます♪　すべての初心者ミッションをクリア\nしましたよ～　次はアイドルのTrue Endミッション達成を\n目標にしてみましょう,Congratulations♪　You've cleared the beginner\r\nmissions～ Next let's aim to beat\r\nTrue End Training!
trueEndTeachingTipsText.areaSelect.clearedTrueEnd,プロデューサーさん、お疲れ様です♪\n初心にかえって研修を受けてみませんか？,"Producer, good luck♪\r\nWhy not start training from the beginning?"
trueEndTeachingTipsText.areaSelect.notClearedTrueEnd,プロデューサーさん、お疲れ様です♪\nお仕事には慣れてきましたか？\n難関ミッションの達成にはコツが必要なんですよ～,"Producer, good luck♪\r\nAre you getting used to the job?\r\nI have some tips for the difficult missions～"
trueEndTeachingTipsText.produceIdolSelect.text1,まずはプロデュースするアイドルを選択してください♪,Please select the idol to Produce first♪
trueEndTeachingTipsText.produceIdolSelect.text2,プロデュースしたアイドルがTrue Endの条件を\n達成すると、ミッションクリアになります♪,If your idol achieves a True End\nThe mission will be cleared♪
trueEndTeachingTipsText.deckEdit.text1,特別に%{name}さんのサポートに適したアイドルのみなさんに\nお手伝いしてもらいますね～,Everyone here is a useful support for\r\nhelping out %{name}～
trueEndTeachingTipsText.deckEdit.text2,便利なアイテムを持ち込んで\nプロデュースに役立ててくださいね～\n今回は特別に2つのアイテムをプレゼントします♪,"I've brought useful items,\nso please use them during Produce～\nThe two special items this time are a present♪"
trueEndTeachingTipsText.trend,流行1位と得意ジャンルが一致していないようですね～\nそんな時は『流行雑誌』を使ってみましょう,It seems the top trend doesn't match your specialty～\r\nSo let's use the『Trend Magazine』!
trueEndTeachingTipsText.skillBoard,おすすめのスキルをご紹介しますね～\n強力なスキルを優先して習得することが\nTrue Endへの近道ですよ♪,Here's some recommended skills～\nPrioritizing strong skills is the\r\nshortcut to True Ends♪
twitter.postDialog.staticComment.gashaResultSkin,限定衣装%{idolName}を獲得したよ！とっても素敵な衣装！,You got {%idolName}'s limited outfit! What a nice outfit!
mypageCommunication.producerComment,さて、仕事も一段落したし、\n少し休憩しようかな──……,"Well, since work has settled down,\r\nI'll take a quick break..."
mypageCommunication.idolComment,だ〜れだ？,Who～ is it?
gasha.popTicketDesc.ticketName,%{ticketName}を,%{ticketName}
gasha.popTicketDesc.quantity,消費してガシャを%{quantity}回引きます。\rよろしいですか？,Consumes and pulls %{quantity} times。\r\nIs this okay?
extraCampaign.result.idConfirmationDialog.notices.1,このコードは当選者を識別するためのコードなので\r第三者に知られないようにしてください,This code is used to identify the winning candidate. \r\nPlease do not give it out to a third party. 
extraCampaign.result.idConfirmationDialog.notices.2,以下のフォームで住所情報入力まで完了してください\r入力されない場合、参加権が無効となりますのでご注意ください,以下のフォームで住所情報入力まで完了してください\r入力されない場合、参加権が無効となりますのでご注意ください
extraCampaign.result.rewardState.expired.a,入力期間は\r終了しました,The input period\r\nhas ended.
extraCampaign.result.rewardState.expired.b,受け取り期間は\r終了しました,The acceptance period\r\nhas ended.
extraCampaign.result.announcementDialog.title,特別応募キャンペーン当選結果,Special Entry Campaign Winning Results
extraCampaign.result.announcementDialog.description,当選発表のお知らせ\r\r%{campaignName}\rの結果が確認できます,You can check the results of the \r\n%{campaignName}\r\nSpecial Entry Campaign here.
extraCampaign.result.announcementDialog.notice,特設ページには\rホーム左下ミニバナーからも遷移できます,You can also go to the banner\r\nfrom the panel on the home screen
errorDialog.checkin.requireJoin,チェックイン機能を使用するには\nenzaにログインする必要があります,You must log in to enza\r\n to use the check-in feature. 
errorDialog.checkin.geolocationDenied,ブラウザによって位置情報の取得が\nブロックされています,Your browser is blocking\r\naccess to location information. 
errorDialog.checkin.geolocationUnAvailable,位置情報が取得できません\nデバイスの位置情報サービスをONにするか\n電波状況をご確認ください,位置情報が取得できません\nデバイスの位置情報サービスをONにするか\n電波状況をご確認ください
errorDialog.checkin.title,チェックイン失敗,Check-in Failed
errorDialog.checkin.outOfRange,%{placeName}\nから離れすぎています\nチェックイン範囲に近づくか\n電波状況をご確認ください,%{placeName}\nから離れすぎています\nチェックイン範囲に近づくか\n電波状況をご確認ください
errorDialog.checkin.alreadyCheckIn,このチェックインスポットには\nすでにチェックイン済みです,このチェックインスポットには\nすでにチェックイン済みです
errorDialog.checkin.notice,以下のFAQをご確認のうえ\n再度チェックインをお試しください,以下のFAQをご確認のうえ\n再度チェックインをお試しください
errorDialog.checkin.invalid,有効期限外です,Expired
errorDialog.invalidProduct,該当の商品が存在しないため、\n購入することができません。,"If the item no longer exists,\r\nit cannot be added to your cart."
selectablePresentRewardPop.title,アイテム獲得,Item Gained
selectablePresentRewardPop.text,以下のアイテムがプレゼントBOXに送られました,Items sent to the present box. 
checkin.successDialog.title,チェックイン成功,Check-in Success
checkin.successDialog.message,チェックインに成功しました\n\n報酬アイテムはプレゼントBOXに\n送られました,Check-in has successfully completed\n\nRewards Items have been\nsent to your Present Box.
checkin.attention,※ チェックイン機能はインターネットに接続できる環境でご利用ください。\n※ チェックイン機能は周囲の環境(測位場所・天候)や、お客様の通信状況、通信機器等によっては\n  正しく動作しない場合がございます。予めご了承ください。\n※「チェックインスポット」には有効期間やチェックイン可能な回数などの制限がございます。\n  詳細は「チェックインスポット」ごとに記載されている情報をご参照ください。\n※ お客様の位置情報を外部ツールで書き換える行為など、弊社が不適切と判断した行為は、利用規約に\n  抵触する行為として適切な処理を行う場合がございます。\n※ 許可なく立ち入ってはいけない場所や建物には入らないようご注意ください。\n※「チェックインスポット」に設定されている店舗やイベント会場への直接のお問い合わせは\n  ご遠慮いただきますようお願いいたします。\n※ チェックインには「お客様の位置情報」を使用します。取得したお客様の情報は弊社が別途定める\n  個人情報保護方針(プライバシーポリシー)に従い管理いたします。\n※ チェックイン機能に関するお問い合わせは以下のFAQページよりお願いいたします。\n,※ チェックイン機能はインターネットに接続できる環境でご利用ください。\n※ チェックイン機能は周囲の環境(測位場所・天候)や、お客様の通信状況、通信機器等によっては\n  正しく動作しない場合がございます。予めご了承ください。\n※「チェックインスポット」には有効期間やチェックイン可能な回数などの制限がございます。\n  詳細は「チェックインスポット」ごとに記載されている情報をご参照ください。\n※ お客様の位置情報を外部ツールで書き換える行為など、弊社が不適切と判断した行為は、利用規約に\n  抵触する行為として適切な処理を行う場合がございます。\n※ 許可なく立ち入ってはいけない場所や建物には入らないようご注意ください。\n※「チェックインスポット」に設定されている店舗やイベント会場への直接のお問い合わせは\n  ご遠慮いただきますようお願いいたします。\n※ チェックインには「お客様の位置情報」を使用します。取得したお客様の情報は弊社が別途定める\n  個人情報保護方針(プライバシーポリシー)に従い管理いたします。\n※ チェックイン機能に関するお問い合わせは以下のFAQページよりお願いいたします。\n
availableInform.title,アイテム有効期限のお知らせ,Item Expiration Notice
availableInform.description,アイテムの有効期限が                 となっております\n有効期限が過ぎますと\n%{contentName}の\n使用ができなくなります,Expiring on                                \r\n%{contentName} will no longer be\r\n available after the\r\nexpiration date. 
availableInform.remainTime,あと%{remainTime},%{remainTime} left
achievementRewardDialog.message,以下のアイテムがプレゼントBOXに送られました,Items sent to the present box. 
achievementRewardDialog.rewardNameNum,%{name} x %{num},%{name} x %{num}
beginnerMission.headerTitle,初心者ミッション,Beginner Mission
beginnerMission.detailPopTitle,初心者ミッション詳細,Beginner Mission Details
beginnerMission.receivePopTitle,初心者ミッション達成,Beginner Mission Reward
downLoad.confirmTitle,データダウンロード,Data Download
downLoad.confirmComment,ゲームデータを一括でダウンロードし、端末に保存します\r\rゲーム中の読み込み時間が減るため、より快適にプレイすることができます\r最大約 %{gb} GB のデバイスの空き容量が必要となります,"Game Data will be downloaded in one go and saved to your device.\r\rLoading times will be reduced, allowing for a more comfortable gameplay experience.\rUp to approximately %{gb} GB of free space is required on your device."
downLoad.persistMessageMobile,データダウンロードを開始するためには\\rアイドルマスターシャイニーカラーズのURL(shinycolors.enza.fun)を\\rホーム画面に追加、またはブックマークする必要があります,"To start downloading data,\ryou need to add the url for THE IDOLM@STER Shiny Colors (shinycolors.enza.fun)\rto your homescreen or bookmark it."
downLoad.persistMessagePc,データダウンロードを開始するためには\nアイドルマスターシャイニーカラーズのURL(shinycolors.enza.fun)を\nブックマークする必要があります,"To start downloading data,\ryou need to add the url for THE IDOLM@STER Shiny Colors (shinycolors.enza.fun)\rto your bookmarks."
downLoad.deleteTitle,ダウンロードデータ削除,Deleted Downloaded Data
downLoad.deletingComment,データを削除中です\n,Deleting Data\r\n
downLoad.deletedComment,データ削除が完了しました\n,Data Deleted\r\n
downLoad.completeMessage,ダウンロードが完了しました,Download Complete
comic.categories.web,WEB４コマ,WEB 4Koma
comic.categories.special,特別編,Special Edition
comic.categories.limited,限定４コマ,Limited
comic.otherUnitName,[その他],[Other]
comic.storyNumberText,第%{chapter}話,Koma %{chapter}
comic.filterTitle,４コマ漫画検索,4Koma Search
comic.notFound,条件に合うものが見つかりません,No results found
comic.paginationLabel,%{currentPage} / %{maxPage},%{currentPage} / %{maxPage}
comic.openAt,%{openAt}更新,Update %{openAt}
comic.charactersDialogTitle,登場人物一覧,List of characters
splash.message,■ご注意■\nこのゲームは無料で遊ぶことができますが、\n一部有料のコンテンツがあります。\n\n■未成年の方へ■\n未成年の方が有料コンテンツを購入する場合は、 \n必ず法定代理人（ご両親等）の同意を得てから\n購入してください。\n※ないようがわからないときは\nおうちのひとにがめんをみせてください\n,"■Warning■\nThis game is Free to Play, but some content is paid only.\n\n■For minors■\nIf you wish to purchase paid content,\nplease obtain consent from your parents\n or guardian before making a purchase.\n※ If you are unsure of the Terms of Use,\nplease ask a parent or guardian for assistance.\n"
announce.event,イベント,Event
announce.campaign,キャンペーン,Campaign
announce.gasha,ガシャ,Gacha
announce.update,アップデート,Update
announce.maintenance,メンテナンス,Maint.
announce.problem,不具合,Issue
announce.ticket,チケット,Ticket
businessSlotExpansion,追加営業枠,More Job Slots
bnCoin,バナコイン,Banacoin
characterAlbum.tab.voice,ボイス,Voice
characterAlbum.tab.costume,衣装,Costume
characterAlbum.tab.commu,共通コミュ,Commus
characterAlbum.tab.pIdol,アイドル,Idol
characterAlbum.tab.sIdol,アイドル,Idol
characterAlbum.tab.profile,プロフィール,Profile
characterAlbum.menu.itemCountLabel.released,解放数,Unlocked
characterAlbum.menu.itemCountLabel.possession,所持数,Owned
characterAlbum.commu.albumType.wing,W.I.N.G.編,W.I.N.G.
characterAlbum.commu.albumType.fan_meeting,283プロダクション ファン感謝祭編,283Pro Thanks Flapping Day
characterAlbum.commu.albumType.common,共通,Common
characterAlbum.voiceDetailPop.title,ボイス詳細,Voice Detail
characterAlbum.voiceDetailPop.useItem.title,%{itemName}を使ってボイスを解放できます,Use %{itemName} to unlock Voice
characterAlbum.voiceDetailPop.notice,%{itemName}での解放は%{date}より可能です,Unlock with %{itemName} after %{date}
common.day,%{day}日,%{day}d
common.hour,%{hour}時間,%{hour}h
common.min,%{min}分,%{min}m
common.sec,%{sec}秒,%{sec}s
common.title,称号,Title
common.login,ログイン,Login
common.item,アイテム,Item
common.exSkill,Exスキル,Ex Skill
common.people,%{num}人,%{num}
common.sheet,%{num}枚,%{num}
common.expireDatetimeString,mm/dd HH:MMまで,mm/dd HH:MM
common.pIdol,プロデュースアイドル,Produce Idol
common.sIdol,サポートアイドル,Support Idol
common.remainingTimeMessage,あと %{min}:%{sec},%{min}:%{sec} Left
common.staff,はづき,Hazuki
common.staffAbsence,（はづきの書置き）,(Hazuki's Placeholder)
common.selectPaymentMethodTitle,決済方法選択,Select Payment Method
common.exchangeItemForAlbum,アルバムの鍵,Album Key
common.useItemToReleaseSomething,%{itemName}を使用して\r%{releasedThingName}を解放しました,Use %{itemName} to\r\nunlock %{releasedThingName}
common.commu,コミュ,Commu
common.voice,ボイス,Voice
common.nicknameChangedForRanking.title,ご案内,Tips
common.nicknameChangedForRanking.message,ランキング上の表示は\r次回集計時に反映されます,Your display name will reflect\r\nin Rankings after the next update. 
common.recoveryItem,回復アイテム,Recovery Item
common.enhancementItem,トレーニングチケット,Training Ticket
common.gashaTicket,ガシャチケット,Gacha Ticket
common.scoutTicket,セレクションチケット,Selection Ticket
common.lotteryTicket,283くじ,283 Raffle
common.dailyLotteryTicket,まいにちくじ,Daily Raffle
common.produceItem,プロデュースアイテム,Produce Item
common.staffItemPoint,はづきさんシール,Hazuki Jewel
common.ticketNum,%{num}枚,%{num}
commonMenu.bannerListTitle,キャンペーン一覧,Campaign List
commonMenu.fesIdolLimit.title,フェスアイドル所属上限,FES Idol Limit
commonMenu.fesIdolLimit.text,これ以上フェスアイドルを所属させられません\nフェスアイドル詳細画面から移籍を行ってください,You can't add any more FES Idols to your list.\r\nPlease transfer some idols from the idol details screen.
commonMenu.produceRetire.title,プロデュース終了,Retire Early
commonMenu.menuPop.title,メニュー,Menu
commonMenu.backToTitleConfirm.title,タイトルへ戻る,Return to Title
commonMenu.backToTitleConfirm.text,タイトルへ戻ります。\nよろしいですか？,Return to Title.\r\n Are you sure?
commonMenu.dataLinkPop.title,機種変更・データ連携,Device Change・Data Link
commonMenu.dataLinkConfirmPop.title,データ連携確認,Data Link Confirmation
commonMenu.loginPop.title,ログイン,Login
commonMenu.loginConfirm.title,ログイン確認,Confirm Login
concert.judgeDetailDialog.titles.judge.vocal,Vocal審査員,Vocal Judge
concert.judgeDetailDialog.titles.judge.dance,Dance審査員,Dance Judge
concert.judgeDetailDialog.titles.judge.visual,Visual審査員,Visual Judge
concert.judgeDetailDialog.titles.instructor.vocal,Vocalコーチ,Vocal Coach
concert.judgeDetailDialog.titles.instructor.dance,Danceコーチ,Dance Coach
concert.judgeDetailDialog.titles.instructor.visual,Visualコーチ,Visual Coach
concert.judgeDetailDialog.titles.fan.vocal,Vocal重視の観客,Vocal Audience
concert.judgeDetailDialog.titles.fan.dance,Dance重視の観客,Dance Audience
concert.judgeDetailDialog.titles.fan.visual,Visual重視の観客,Visual Audience
concert.judgeDetailDialog.titles.audience.vocal,Vocalステージの観客,Vocal Stage's Judge
concert.judgeDetailDialog.titles.audience.dance,Danceステージの観客,Dance Stage's Judge
concert.judgeDetailDialog.titles.audience.visual,Visualステージの観客,Visual Stage's Judge
concert.judgeDetailDialog.titles.audience.all,Centerステージの観客,Center Stage's Judge
concert.judgeDetailDialog.titles.judge,%{attribute}審査員,%{attribute} Judge
concert.judgeDetailDialog.titles.instructor,%{attribute}コーチ,%{attribute} Coach
concert.judgeDetailDialog.titles.fan,%{attribute}重視の観客,%{attribute} Audience
concert.playerIdol.retire,Retire,Retire
concert.produceIdolComment,私の歌、届け！,"My song, deliver it!"
concert.pauseDialog.produceSkill,プロデュースアイドル所持スキル,Produce Idol's Skills
concert.pauseDialog.supportSkill,サポートアイドル所持スキル,Support Idol's Skills
concert.passiveSkillDetailListDialog.title,発動中のパッシブスキル,Passive Skills
concert.passiveSkillDetailListDialog.emptyMessage,効果情報はありません,No current effects
concert.statusEffect.leftTurn,残り%{leftTurn}ターン,%{leftTurn} turns left
concert.statusEffect.remainTimes,残り%{remainTimes}回,%{remainTimes} times left
concert.statusEffect.noStatusEffectMessage,効果情報はありません,No status effects
concertResult.entryNumber,エントリーNo.%{number}, Entry No.%{number}
concertResult.statusUp.message,+%{upPoint},+%{upPoint}
copyright.title,コピーライト,Copyright
copyright.holders.bne.title,権利表記,Copyright Notice
copyright.holders.bne.message,© 2018 BANDAI NAMCO Entertainment Inc.,© 2018 BANDAI NAMCO Entertainment Inc.
countdown.season,シーズン%{seasonNum}終了まで,Season %{seasonNum} Ends In
userDailyLottery.rewardPop.title,まいにちくじ抽選結果,Daily Lotto Results
userDailyLottery.rewardPop.text,以下のアイテムがプレゼントBOXに送られました,Items sent to the present box.
userDailyLottery.ticketPop.tips,まいにちくじを%{num}枚プレゼントします♪\r抽選の結果を楽しみにしていてくださいね～,You'll receive %{num} presents every day♪\r\nPlease look forward to the lotto results～
deck.autoSelectDialog.title,おまかせ編成,Recommended Setup
deck.autoSelectDialog.noUserIdol,おまかせ編成を使用するには\nプロデュースアイドルを設定してください,Please select a Produce Idol\nto use the Recommended Setup feature
deck.autoSelectDialog.description,設定中のプロデュースアイドルによって編成内容を判別します\n編成の方針を選択してください,This will recommend a team based on your chosen Produce Idol\nPlease choose the settings to use for recommendation
deck.autoSelectSuccessDialog.title,おまかせ編成,Recommended Setup
deck.autoSelectSuccessDialog.advice1.beforeType,今回のユニットは,Strong 
deck.autoSelectSuccessDialog.advice1.afterType,が得意なメンバーで, type members
deck.autoSelectSuccessDialog.advice1.nextLine,編成されています！,have been assigned!
deck.autoSelectSuccessDialog.advice2.beforeType,プロデュース中は,We recommend focusing on 
deck.autoSelectSuccessDialog.advice2.afterType,を重点的に, lessons
deck.autoSelectSuccessDialog.advice2.nextLine,レッスンするといいですよ♪,while Producing♪
deck.autoSelectSuccessDialog.description,サポートアイドルを%{type}編成で設定しました,A setup using %{type} support idols. 
deck.deckNumber,ユニット%{deckNumber},Unit %{deckNumber}
deck.memberShortageNotice,アイドルがセットされていないので\rスタートできません,Not all idols have been set.\r\n Cannot start. 
deck.swapCharacterWarning,ユニット内の同一のアイドルが外れてしまいますが\r本当によろしいですか？,This idol already in the unit will be removed. \r\n Is this okay?
deck.title.confirm,確認,Confirm
deck.title.deckModify,ユニット名編集,Edit Unit Name
deck.title.orderSelectPop,並べ替え変更,Change Order
deck.title.staminaRecoverPop,スタミナ回復,Recover Stamina
deck.title.startProducePop,使用確認,Confirm Use
deck.title.useCoinPop,使用確認,Confirm Use
deck.title.supportSkillListPop,サポートスキルボーナス一覧,Support Passives List
ending.headerTitle.endingCEOReport,社長からの評価,President's Report
ending.headerTitle.fesIdolBirth,フェスアイドル誕生,Create Fes Idol
ending.fesIdolCheckPop.title,フェスアイドル確認,Confirm Fes Idol
ending.fesIdolCheckPop.comment,フェスアイドルの誕生を行います。\rよろしいですか？,This will create the Fes Idol.\r\nAre you sure?
ending.fesIdolCheckPop.warning,残りの所持SPは失われます。,The remaining SP will be lost. 
ending.fesIdolRewardPop.title,プロデュースクリア報酬,Produce Clear Rewards
ending.fesIdolRewardPop.comment,下記アイテムを入手しました,Received the following items
ending.fesIdolRewardPop.maxMessage,所持枠を超えているものはプレゼント\rボックスに送られました,Items over the max capacity have\r\nbeen sent to the present box. 
ending.fesIdolRewardPop.itemNameNum,%{type} ×%{num},%{type} ×%{num}
ending.presidentComment,ご苦労だったな\r次回も頑張ってもらうぞ！\r期待しているからな,You worked hard. \r\nKeep doing your best!\r\nI expect great things. 
ending.totalFan.idolName,【%{name}】累計ファン人数,【%{name}】total fan count 
ending.reward.multipleNum,×%{num},×%{num}
ending.possessionCountOverExSkillRewardPop.title,所持上限に達しています,You've reached the cap. 
ending.possessionCountOverExSkillRewardPop.exSkillName,%{idolType}【%{idolName}専用】\n%{skillName},%{idolType}【%{idolName} Only】\n%{skillName}
ending.possessionCountOverExSkillRewardPop.idolType.produce,プロデュース,Produce
ending.possessionCountOverExSkillRewardPop.idolType.support,サポート,Support
error.pageNotFound,Page Not Found\n指定されたページは見つかりませんでした。,Page Not Found. \r\n The specified page was not found. 
error.invalidOperation,無効な操作です。,Invalid Operation
errorDialog.announceTitle,ご案内,Warning
errorDialog.errorTitle,エラー,Error
errorDialog.confirmTitle,確認,Confirm
errorDialog.updateNativeAppVersionTitle,最新バージョン確認,Please get the latest version. 
errorDialog.fesResumeTitle,フェス再開,Resume Fes
errorDialog.updateVersion,バージョンが更新されました。,The version has been updated. 
errorDialog.updateNativeAppVersion,アプリのバージョンアップが必要です。\nストアから最新バージョンを\nダウンロードしてください。,アプリのバージョンアップが必要です。\nストアから最新バージョンを\nダウンロードしてください。
errorDialog.invalidSession,セッション更新の必要があります。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode},セッション更新の必要があります。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode}
errorDialog.produceDuplicate,進行中のプロデュースがあるので\n開始できませんでした。\n一度プロデュースを終了してから始めてください。,進行中のプロデュースがあるので\n開始できませんでした。\n一度プロデュースを終了してから始めてください。
errorDialog.fesSeason,フェスのシーズンが切り替わりました。,The Fes season has changed. 
errorDialog.fesMatchRivalsError,進行していたフェスはすでに終了しました。\n再開することができませんでした。,The Fes in progress has already ended.\n\rCould not resume. 
errorDialog.forbidden,アクセスは許可されていません。,Access Forbidden. 
errorDialog.fullDownloadErrorForNative,リソースの読み込みに失敗しました。\nネットワーク環境をご確認ください。,Failed to load resources.\r\nPlease check your network. 
errorDialog.simpleOther,エラーが発生しました。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。,エラーが発生しました。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。
errorDialog.other,エラーが発生しました。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode},エラーが発生しました。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode}
errorDialog.timeout,通信中にエラーが発生しました。\n時間をおいてもう一度お試しください。,A communication error has occurred. \r\nPlease wait a short while before trying again.
errorDialog.resourceDownloadError,通信中にエラーが発生しました。\nネットワーク環境をご確認の上\nもう一度お試しください。,A communication error has occurred. \r\nPlease check your network signal and try again.
errorDialog.unavailableGasha,ガシャのラインナップが更新されました。,The available Gachas have been updated. 
errorDialog.resourceLoadFailed,リソースの読み込みに失敗しました。\n通信環境をご確認の上、再読み込みをお試しください。,"Failed to load resources.\r\nPlease verify your connection, and\r\ntry reloading."
errorDialog.sdkLoginLoadFailed,認証に失敗しました。\n通信環境をご確認の上、ページの再読み込みをお試しください。\n何度も発生する場合はブラウザキャッシュクリアをお試しください。\n\nゲストメンバーの方はデータ消失の恐れがあります。\nenza にメンバー登録する事で中断データの復帰が可能になります。\nenza メンバー登録の上、キャッシュクリアをお試しください。\n,認証に失敗しました。\n通信環境をご確認の上、ページの再読み込みをお試しください。\n何度も発生する場合はブラウザキャッシュクリアをお試しください。\n\nゲストメンバーの方はデータ消失の恐れがあります。\nenza にメンバー登録する事で中断データの復帰が可能になります。\nenza メンバー登録の上、キャッシュクリアをお試しください。\n
