ja,zh
絆UP/体力回復/トークUP,絆UP/体力回復/トークUP
絆UP/体力回復/ラジオUP,絆UP/体力回復/ラジオUP
絆UP/体力回復/限定スキル解放,絆UP/体力回復/限定スキル解放
絆UP/体力回復/雑誌UP,絆UP/体力回復/雑誌UP
絆UP/体力回復/DaレッスンUP,絆UP/体力回復/DaレッスンUP
絆UP/体力回復/VoレッスンUP,絆UP/体力回復/VoレッスンUP
絆UP/最終流行Da/雑誌UP,絆UP/最終流行Da/雑誌UP
絆UP/最終流行Vi/雑誌UP,絆UP/最終流行Vi/雑誌UP
絆UP/最終流行Vo/ラジオUP,絆UP/最終流行Vo/ラジオUP
絆UP/最終流行Vo/DaレッスンUP,絆UP/最終流行Vo/DaレッスンUP
絆UP/最終流行Vo/VoレッスンUP,絆UP/最終流行Vo/VoレッスンUP
絆UP/親愛度UP/ViレッスンUP,絆UP/親愛度UP/ViレッスンUP
絆UP/親愛度UP/VoレッスンUP,絆UP/親愛度UP/VoレッスンUP
親愛度UP/体力回復/トークUP,親愛度UP/体力回復/トークUP
親愛度UP/体力回復/ラジオUP,親愛度UP/体力回復/ラジオUP
親愛度UP/体力回復/限定スキル解放,親愛度UP/体力回復/限定スキル解放
親愛度UP/体力回復/雑誌UP,親愛度UP/体力回復/雑誌UP
親愛度UP/体力回復/DaレッスンUP,親愛度UP/体力回復/DaレッスンUP
親愛度UP/体力回復/ViレッスンUP,親愛度UP/体力回復/ViレッスンUP
親愛度UP/体力回復/VoレッスンUP,親愛度UP/体力回復/VoレッスンUP
[条件:ダンスレッスン][確率:10%],[条件:ダンスレッスン][確率:10%]
[条件:ダンスレッスン][確率:100%],[条件:ダンスレッスン][確率:100%]
[条件:ダンスレッスン][確率:20%],[条件:ダンスレッスン][確率:20%]
[条件:ダンスレッスン][確率:30%],[条件:ダンスレッスン][確率:30%]
[条件:ダンスレッスン][確率:40%],[条件:ダンスレッスン][確率:40%]
[条件:トークイベントに出演][確率:10%],[条件:トークイベントに出演][確率:10%]
[条件:トークイベントに出演][確率:100%],[条件:トークイベントに出演][確率:100%]
[条件:トークイベントに出演][確率:20%],[条件:トークイベントに出演][確率:20%]
[条件:トークイベントに出演][確率:30%],[条件:トークイベントに出演][確率:30%]
[条件:トークイベントに出演][確率:40%],[条件:トークイベントに出演][確率:40%]
[条件:ビジュアルレッスン][確率:10%],[条件:ビジュアルレッスン][確率:10%]
[条件:ビジュアルレッスン][確率:100%],[条件:ビジュアルレッスン][確率:100%]
[条件:ビジュアルレッスン][確率:20%],[条件:ビジュアルレッスン][確率:20%]
[条件:ビジュアルレッスン][確率:30%],[条件:ビジュアルレッスン][確率:30%]
[条件:ビジュアルレッスン][確率:40%],[条件:ビジュアルレッスン][確率:40%]
[条件:ボーカルレッスン][確率:10%],[条件:ボーカルレッスン][確率:10%]
[条件:ボーカルレッスン][確率:100%],[条件:ボーカルレッスン][確率:100%]
[条件:ボーカルレッスン][確率:20%],[条件:ボーカルレッスン][確率:20%]
[条件:ボーカルレッスン][確率:30%],[条件:ボーカルレッスン][確率:30%]
[条件:ボーカルレッスン][確率:40%],[条件:ボーカルレッスン][確率:40%]
[条件:ラジオの収録][確率:10%],[条件:ラジオの収録][確率:10%]
[条件:ラジオの収録][確率:100%],[条件:ラジオの収録][確率:100%]
[条件:ラジオの収録][確率:20%],[条件:ラジオの収録][確率:20%]
[条件:ラジオの収録][確率:30%],[条件:ラジオの収録][確率:30%]
[条件:ラジオの収録][確率:40%],[条件:ラジオの収録][確率:40%]
[条件:雑誌の撮影][確率:100%],[条件:雑誌の撮影][確率:100%]
パーフェクトアピール,パーフェクトアピール
たぶん大丈夫だろう\nこれでお願いしようかな？,たぶん大丈夫だろう\nこれでお願いしようかな？
ちょっと心配だけど……\nこれでお願いしようかな？,ちょっと心配だけど……\nこれでお願いしようかな？
流行順位が高いジャンルは、そのジャンル\r担当審査員からの獲得スターが増加します。,流行順位が高いジャンルは、そのジャンル\r担当審査員からの獲得スターが増加します。
流行の結果にあわせて、\nオーディションを受けてみてください♪,流行の結果にあわせて、\nオーディションを受けてみてください♪
プライベートの様子,プライベートの様子
レッスンの様子,レッスンの様子
仕事の様子,仕事の様子
いい記事を書いてもらえそうだ！\nこれでお願いしようかな？,いい記事を書いてもらえそうだ！\nこれでお願いしようかな？
スタミナを消費してプロデュースを開始しますか？,スタミナを消費してプロデュースを開始しますか？
昇格ライン,昇格ライン
残留ライン,残留ライン
週,週
審査員,審査員
プロデュースアイテム,プロデュースアイテム
まとめて消費した数に応じて獲得マニーUP!!,まとめて消費した数に応じて獲得マニーUP!!
フェス参加権を　　消費します,フェス参加権を　　消費します
難易度ボーナス,難易度ボーナス
特訓4回目で解放,特訓4回目で解放
特訓3回目で解放,特訓3回目で解放
特訓2回目で解放,特訓2回目で解放
特訓1回目で解放,特訓1回目で解放
同じ効果のプロデュースアイテムを複数持ち込む\nことはできません,同じ効果のプロデュースアイテムを複数持ち込む\nことはできません
アイテムを\n選択していません,アイテムを\n選択していません
レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！,レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！
ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！,ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！
W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放,W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放
プロデュース選択,プロデュース選択
ユニット編成,ユニット編成
アイテム選択,アイテム選択
最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。,最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。
最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます,最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます
お手製差し入れを作成しました,お手製差し入れを作成しました
営業完了まで,営業完了まで
お手製差し入れ,お手製差し入れ
未選択,未選択
TV出演,TV出演
ミニライブ,ミニライブ
雑誌インタビュー,雑誌インタビュー
ミッションはすべて達成しました,ミッションはすべて達成しました
所持枠を超えているものはプレゼントボックスに送られました,所持枠を超えているものはプレゼントボックスに送られました
ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです,ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです
TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～,TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～
雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～,雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～
以下の内容で営業を開始しますか？,以下の内容で営業を開始しますか？
アイテムを\r選択していません,アイテムを\r選択していません
ラジオの収録,ラジオの収録
トークイベントに出演,トークイベントに出演
雑誌の撮影,雑誌の撮影
ボーカルレッスン,ボーカルレッスン
ダンスレッスン,ダンスレッスン
ビジュアルレッスン,ビジュアルレッスン
そろそろお休みを\nあげた方がいいですよ～,そろそろお休みを\nあげた方がいいですよ～
アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう,アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう
オーディションへ行きませんか？,オーディションへ行きませんか？
「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです,「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです
選択されたスキルは忘れてしまいます。\nよろしいですか？,選択されたスキルは忘れてしまいます。\nよろしいですか？
忘れたスキルは再度習得できません,忘れたスキルは再度習得できません
3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能,3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能
アイドルランクC以上,アイドルランクC以上
アイドルランクE以上,アイドルランクE以上
アイドルランクD以上,アイドルランクD以上
アイドルランクF以上,アイドルランクF以上
アイドルランクS以上,アイドルランクS以上
アイドルランクB以上,アイドルランクB以上
アイドルランクA以上,アイドルランクA以上
プロデューサー就任から,プロデューサー就任から
日経過,日経過
日記念まであと,日記念まであと
お待たせしました~結果の発表です。,お待たせしました~結果の発表です。
メンタル500以上\nシーズン4最終週のみ挑戦可能,メンタル500以上\nシーズン4最終週のみ挑戦可能
ミッション達成,ミッション達成
以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。,以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。
購入上限,購入上限
所持チケット一覧,所持チケット一覧
アイテムがありません。,アイテムがありません。
ログインボーナスのプレゼントです,ログインボーナスのプレゼントです
以下のプレゼントを受け取りました,以下のプレゼントを受け取りました
以下のチケットを使って、\rアイドルをトレーニングしますか？,以下のチケットを使って、\rアイドルをトレーニングしますか？
以下のプロデュースアイテムとスタミナを消費して\rプロデュースを開始しますか？,以下のプロデュースアイテムとスタミナを消費して\rプロデュースを開始しますか？
ファン感謝祭編,ファン感謝祭編
習得可能なスキルがありません,習得可能なスキルがありません
アイドルA,アイドルA
アイドルB,アイドルB
アイドルC,アイドルC
アイドルD,アイドルD
アイドルE,アイドルE
プロデューサーさん\n今回は初めてのアイドルプロデュースになりますので\n私がサポートさせていただきますね〜,プロデューサーさん\n今回は初めてのアイドルプロデュースになりますので\n私がサポートさせていただきますね〜
累計ファン人数,累計ファン人数
Vocal上限＋200,Vocal上限＋200
Dance上限+200,Dance上限+200
Visual上限+200,Visual上限+200
メンタルダメージ30％CUT[3ターン]/Vocal50％UP[2ターン],メンタルダメージ30％CUT[3ターン]/Vocal50％UP[2ターン]
メンタル上限+100,メンタル上限+100
メンタル上限+50,メンタル上限+50
メンタル5％回復,メンタル5％回復
メンタル10％回復/メンタルダメージ20％CUT[3ターン]/Vocal50％UP[2ターン],メンタル10％回復/メンタルダメージ20％CUT[3ターン]/Vocal50％UP[2ターン]
全観客にVisual2倍アピール,全観客にVisual2倍アピール
全観客にVocal2倍アピール,全観客にVocal2倍アピール
必ず最後にアピールを行いDance2倍アピール/興味50％UP[2ターン],必ず最後にアピールを行いDance2倍アピール/興味50％UP[2ターン]
必ず最後にアピールを行いVisual2倍アピール/興味50%UP[2ターン],必ず最後にアピールを行いVisual2倍アピール/興味50%UP[2ターン]
思い出ゲージ15％UP/Visual50％UP[2ターン],思い出ゲージ15％UP/Visual50％UP[2ターン]
注目度50％DOWN[3ターン]/アピールフェイズ開始時メンタル5％回復[3ターン]/Vi50％UP[2ターン],注目度50％DOWN[3ターン]/アピールフェイズ開始時メンタル5％回復[3ターン]/Vi50％UP[2ターン]
Dance上限+100,Dance上限+100
Dance上限+25,Dance上限+25
Dance上限+30,Dance上限+30
Dance上限+50,Dance上限+50
Dance＆Visual上限＋15,Dance＆Visual上限＋15
Dance＆Visual上限＋25,Dance＆Visual上限＋25
Dance＆Visual上限＋70,Dance＆Visual上限＋70
Dance＆Visual2倍アピール,Dance＆Visual2倍アピール
Dance＆Visual3倍アピール,Dance＆Visual3倍アピール
Dance＆Visual2倍アピール/Dance＆Visual20％UP[3ターン],Dance＆Visual2倍アピール/Dance＆Visual20％UP[3ターン]
Dance＆Visual2.1倍アピール,Dance＆Visual2.1倍アピール
Dance＆Visual2.2倍アピール,Dance＆Visual2.2倍アピール
Dance＆Visual2.3倍アピール,Dance＆Visual2.3倍アピール
Dance0.6～3倍アピール[メンタルが多いほど効果UP]/アピールフェイズ開始時メンタル5％回復[4ターン],Dance0.6～3倍アピール[メンタルが多いほど効果UP]/アピールフェイズ開始時メンタル5％回復[4ターン]
Dance0.8～4倍アピール[思い出ゲージが多いほど効果UP]/思い出ゲージ30％DOWN,Dance0.8～4倍アピール[思い出ゲージが多いほど効果UP]/思い出ゲージ30％DOWN
Dance1倍アピール,Dance1倍アピール
Dance2倍アピール,Dance2倍アピール
Dance2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる,Dance2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる
Dance2.1倍アピール,Dance2.1倍アピール
Dance2.3倍アピール,Dance2.3倍アピール
Dance2.5倍アピール,Dance2.5倍アピール
Dance2.5倍アピール/興味70％DOWN[1ターン],Dance2.5倍アピール/興味70％DOWN[1ターン]
Dance2.5倍アピール/Vocal＆Visual20％UP[3ターン],Dance2.5倍アピール/Vocal＆Visual20％UP[3ターン]
Dance2.6倍アピール,Dance2.6倍アピール
Dance2.8倍アピール,Dance2.8倍アピール
Dance3倍アピール,Dance3倍アピール
Dance3倍アピール/メンタルダメージ20％CUT[2ターン],Dance3倍アピール/メンタルダメージ20％CUT[2ターン]
Dance3倍アピール/Vocal&Dance15％UP[3ターン],Dance3倍アピール/Vocal&Dance15％UP[3ターン]
Dance3.5倍アピール,Dance3.5倍アピール
Dance4倍アピール/メンタルダメージ30％UP[3ターン],Dance4倍アピール/メンタルダメージ30％UP[3ターン]
Dance4倍アピール/興味33％UP[3ターン],Dance4倍アピール/興味33％UP[3ターン]
Visual上限+100,Visual上限+100
Visual上限+30,Visual上限+30
Visual上限+50,Visual上限+50
Visual0.7倍アピール[PERFECTなら3.5倍アピール] ,Visual0.7倍アピール[PERFECTなら3.5倍アピール] 
Visual2倍アピール/興味20％DOWN[1ターン],Visual2倍アピール/興味20％DOWN[1ターン]
Visual2.5倍アピール,Visual2.5倍アピール
Visual2.5倍アピール/アピールフェイズ開始時にメンタル4％回復[5ターン],Visual2.5倍アピール/アピールフェイズ開始時にメンタル4％回復[5ターン]
Visual2.5倍アピール/メンタルダメージ20％CUT[2ターン],Visual2.5倍アピール/メンタルダメージ20％CUT[2ターン]
Visual2.5倍アピール/メンタル10％回復,Visual2.5倍アピール/メンタル10％回復
Visual2.5倍アピール/メンタル15％回復,Visual2.5倍アピール/メンタル15％回復
Visual2.5倍アピール/メンタル20％回復,Visual2.5倍アピール/メンタル20％回復
Visual2.5倍アピール/Vocal＆Dance20％UP[3ターン],Visual2.5倍アピール/Vocal＆Dance20％UP[3ターン]
Visual2.5倍アピール/Vocal35％UP[3ターン],Visual2.5倍アピール/Vocal35％UP[3ターン]
Visual2.6倍アピール,Visual2.6倍アピール
Visual2.8倍アピール,Visual2.8倍アピール
Visual3倍アピール,Visual3倍アピール
Visual3倍アピール/メンタル7％回復,Visual3倍アピール/メンタル7％回復
Visual3倍アピール/Dance&Visual15％UP[3ターン],Visual3倍アピール/Dance&Visual15％UP[3ターン]
Visual3倍アピール/Visual20％UP[3ターン],Visual3倍アピール/Visual20％UP[3ターン]
Visual3.5倍アピール,Visual3.5倍アピール
Visual4倍アピール/メンタルダメージ30％UP[3ターン],Visual4倍アピール/メンタルダメージ30％UP[3ターン]
Visual4倍アピール/興味33％UP[3ターン],Visual4倍アピール/興味33％UP[3ターン]
Vocal上限＋100,Vocal上限＋100
Vocal上限＋25,Vocal上限＋25
Vocal上限＋50,Vocal上限＋50
Vocal＆Visual上限＋15,Vocal＆Visual上限＋15
Vocal＆Visual上限＋25,Vocal＆Visual上限＋25
Vocal＆Visual上限＋70,Vocal＆Visual上限＋70
Vocal＆Visual2倍アピール,Vocal＆Visual2倍アピール
Vocal＆Visual2倍アピール/Vocal＆Visual20％UP[3ターン],Vocal＆Visual2倍アピール/Vocal＆Visual20％UP[3ターン]
Vocal＆Visual2.1倍アピール,Vocal＆Visual2.1倍アピール
Vocal＆Visual2.2倍アピール,Vocal＆Visual2.2倍アピール
Vocal＆Visual2.3倍アピール,Vocal＆Visual2.3倍アピール
Vocal0.7～3.5倍アピール[メンタルが多いほど効果UP]/興味30％DOWN[2ターン],Vocal0.7～3.5倍アピール[メンタルが多いほど効果UP]/興味30％DOWN[2ターン]
Vocal2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる,Vocal2倍アピール/ごく稀に現在の興味値に関わらず一気に満足させる
Vocal2.5倍アピール,Vocal2.5倍アピール
Vocal2.5倍アピール/思い出ゲージ5％UP,Vocal2.5倍アピール/思い出ゲージ5％UP
Vocal2.5倍アピール/興味10％DOWN[1ターン],Vocal2.5倍アピール/興味10％DOWN[1ターン]
Vocal2.5倍アピール/興味20％DOWN[1ターン],Vocal2.5倍アピール/興味20％DOWN[1ターン]
Vocal2.5倍アピール/興味40％DOWN[1ターン],Vocal2.5倍アピール/興味40％DOWN[1ターン]
Vocal2.5倍アピール/Dance＆Visual20％UP[3ターン],Vocal2.5倍アピール/Dance＆Visual20％UP[3ターン]
Vocal2.5倍アピール/Dance10％UP[2ターン],Vocal2.5倍アピール/Dance10％UP[2ターン]
Vocal2.5倍アピール/Dance25％UP[2ターン],Vocal2.5倍アピール/Dance25％UP[2ターン]
Vocal2.5倍アピール/Dance35％UP[3ターン],Vocal2.5倍アピール/Dance35％UP[3ターン]
Vocal2.5倍アピール/Dance50％UP[2ターン],Vocal2.5倍アピール/Dance50％UP[2ターン]
Vocal2.5倍アピール/Visual35％UP[3ターン],Vocal2.5倍アピール/Visual35％UP[3ターン]
Vocal2.5倍アピール/Vocal＆Dance10％UP[5ターン],Vocal2.5倍アピール/Vocal＆Dance10％UP[5ターン]
Vocal2.5倍アピール/Vocal20％UP[3ターン],Vocal2.5倍アピール/Vocal20％UP[3ターン]
Vocal2.6倍アピール,Vocal2.6倍アピール
Vocal2.8倍アピール,Vocal2.8倍アピール
Vocal3倍アピール,Vocal3倍アピール
Vocal3倍アピール/メンタルダメージ20％CUT[2ターン],Vocal3倍アピール/メンタルダメージ20％CUT[2ターン]
Vocal3倍アピール/メンタル7％回復,Vocal3倍アピール/メンタル7％回復
Vocal3倍アピール/注目度30％DOWN[3ターン],Vocal3倍アピール/注目度30％DOWN[3ターン]
Vocal3倍アピール/Vocal&Visual15％UP[3ターン],Vocal3倍アピール/Vocal&Visual15％UP[3ターン]
Vocal3倍アピール/Vocal20％UP[3ターン],Vocal3倍アピール/Vocal20％UP[3ターン]
Vocal3.5倍アピール,Vocal3.5倍アピール
[条件:めぐる][確率:10％][最大:1回],[条件:めぐる][確率:10％][最大:1回]
[条件:めぐる][確率:40％][最大:2回],[条件:めぐる][確率:40％][最大:2回]
[条件:スター10以上][確率:20％][最大:1回],[条件:スター10以上][確率:20％][最大:1回]
[条件:スター10以上][確率:30％][最大:1回],[条件:スター10以上][確率:30％][最大:1回]
[条件:スター24以上][確率:30％][最大:1回],[条件:スター24以上][確率:30％][最大:1回]
[条件:スター3以下][確率:33％][最大:3回],[条件:スター3以下][確率:33％][最大:3回]
[条件:スター9以下][確率:30％][最大:1回],[条件:スター9以下][確率:30％][最大:1回]
[条件:メンタル24％以下][確率:30％][最大:1回],[条件:メンタル24％以下][確率:30％][最大:1回]
[条件:メンタル49％以下][確率:30％][最大:1回],[条件:メンタル49％以下][確率:30％][最大:1回]
[条件:メンタル50％以上][確率:30％][最大:1回],[条件:メンタル50％以上][確率:30％][最大:1回]
[条件:メンタル50％以下][確率:30％][最大:1回],[条件:メンタル50％以下][確率:30％][最大:1回]
[条件:メンタル74％以下][確率:20％][最大:1回],[条件:メンタル74％以下][確率:20％][最大:1回]
[条件:メンタル74％以下][確率:30％][最大:1回],[条件:メンタル74％以下][確率:30％][最大:1回]
[条件:メンタル75％以上][確率:20％][最大:1回],[条件:メンタル75％以上][確率:20％][最大:1回]
[条件:メンタル80％以上][確率:20％][最大:5回],[条件:メンタル80％以上][確率:20％][最大:5回]
[条件:メンタル90％以上][確率:30％][最大:2回],[条件:メンタル90％以上][確率:30％][最大:2回]
[条件:凛世][確率:10％][最大:1回],[条件:凛世][確率:10％][最大:1回]
