name,trans
隣室の歌声,Singer in next room
撮影ディレクター,Cinematographer
イベント主催者,Event Organizer
アナウンス,Announcer
偉い人,Person in charge
ファン,Fans
恋鐘＆結華＆霧子,Kogane&Yuika&Kiriko
摩美々＆咲耶,Mamimi&Sakuya
咲耶＆摩美々,Sakuya&Mamimi
透＆プロデューサー,Toru&Producer
撮影スタッフ１,Photo Staff 1
撮影スタッフ２,Photo Staff 2
メイクスタッフ,Makeup Artist
撮影スタッフ３,Photo Staff 3
雑誌記者,Magazine Writer
誰か,Someone
広告マン,Adperson
少年,Youth
母親,Mother
衣装スタッフ,Wardrobe Stylist
女子高生１,Highschool Girl 1
女子高生２,Highschool Girl 2
ウェイター,Waiter
関係者,Event Staff
円香＆小糸,Madoka&Koito
ダンストレーナー,Dance Trainer
透＆小糸＆雛菜,Toru&Koito&Hinana
社会科教諭,Social Studies Teacher
２年の生徒たち,2nd Year Boys
ディレクターふうの男性,Director-ish Guy
番組出演者,TV Actor
番組ＭＣ,Program MC
SNSの投稿,SNS Post
透＆雛菜,Toru&Hinana
音楽番組ディレクター,Program Director
透＆円香,Toru&Madoka
小糸＆雛菜,Koito&Hinana
円香＆小糸＆雛菜,Madoka&Koito&Hinana
会議進行役,Meeting Director
周囲の参加者,Surrounding Participant
クマ,Bear
リスナー,Listener
生徒２,Student 2
生徒１,Student 1
生徒１&生徒２,Students 1&2
アシスタント,Assistant
カメラマンの声,Cameraman's Voice
ヘアメイク,Hairdresser
小さな女の子,Little Girl
女の子の母親,Girl's Mother
真乃のファン,Fan of Mano
果穂の母,Kaho's Mother
にちか,Nichika
美琴,Mikoto
にちか＆プロデューサー,Nichika&Producer
フロアスタッフ,Floor Staff
ななみ,Nanami
ななみ？,Nanami?
実況,Live Report
ラジオ番組の構成作家,Radio Show's Writer
レコードのタイトル,Record Title
八雲なみ,Nami Yakumo
ある現場の録音技師,Recording Engineer
フロアマネージャー,Floor Manager
フロアの先輩１,Senior #1
フロアの先輩２,Senior #2
にちか＆先輩,Nichika&Seniors
フロアの先輩３,Senior #3
ディレクター,Director
ルカ,Luca
斑鳩 ルカ,Luca I.
あさひ＆プロデューサー,Asahi&Producer
冬優子＆あさひ,Fuyuko&Asahi
店長,Shop Manager
年配の女性客,Elderly Customer
真乃＆恋鐘,Mano&Kogane
現場スタッフ,Site Staff
生花店スタッフ,Flower Shop Staff
めぐる＆灯織,Meguru&Hiori
オウム,Parrot
VTRのナレーション,VTR Narration
透＆円香＆小糸,Toru&Madoka&Koito
飼育員,Animal keeper
真乃＆飼育員,Mano&Animal keeper
フクロウ,Owl
スポンサー,Sponsor
広告会社ディレクター,Ad Director
広告Ｄ＆プロデューサー,Ad Director&Producer
インタビュアー,Interviewer
雛菜＆プロデューサー,Hinana&Producer
真乃＆霧子,Mano&Kiriko
摩美々＆智代子,Mamimi&Chiyoko
摩美々＆智代子＆にちか,Mamimi&Chiyoko&Nichika
ヒロイン,Heroine
女性客,Female Customer
メッセージボード,Message Board
真乃＆霧子＆智代子,Mano&Kiriko&Chiyoko
他店１店員,Store 1's Clerk
他店２店員,Store 2's Clerk
摩美々＆霧子＆智代子,Mamimi&Kiriko&Chiyoko
にちか＆美琴,Nichika&Mikoto
真乃＆結華＆千雪,Mano&Yuika&Chiyuki
真乃＆千雪,Mano&Chiyuki
果穂＆あさひ,Kaho&Asahi
摩美々＆甘奈,Mamimi&Amana
円香＆雛菜,Madoka&Hinana
テレビ局スタッフ,TV Studio Staff
制作会社スタッフ,Production Staff
現場ディレクター,Site Director
知り合いのディレクター,Director Acquaintance
にちかと一同,Nichika&Everyone
チームピーちゃん,Team Pii-chan
チーム青春ジャージ,Team Youthful Jersey
チームまりあ,Team MaRiA
チーム一番星,Team First Star
チームヘルメス,Team Hermes
チームうさちよかめ,Team UsaChiyoKame
謎の声,Mysterious Voice
灯織＆果穂＆甘奈,Hiori&Kaho&Amana
恋鐘＆智代子＆愛依,Kogane&Chiyoko&Mei
結華＆千雪,Yuika&Chiyuki
結華＆夏葉＆千雪,Yuika&Natsuha&Chiyuki
咲耶＆樹里＆冬優子,Sakuya&Juri&Fuyuko
めぐる＆樹里＆冬優子,Meguru&Juri&Fuyuko
めぐる＆咲耶＆冬優子,Meguru&Sakuya&Fuyuko
めぐる＆咲耶＆樹里,Meguru&Sakuya&Juri
２８３のサンタたち,283 Pro Santas
摩美々＆恋鐘,Mamimi&Kogane
ボーカル講師,Vocal Instructor
スマホ画面,Phone Screen
マネージャー,Manager
お笑い,Comedian
SNSの投稿１,Social Media Post 1
SNSの投稿２,Social Media Post 2
雑誌質問,Magazine Question
舞踏講師,Dance Instructor
はづきからの連絡,Message from Hazuki
タクシー運転手,Taxi Driver
ラジオパーソナリティ,Radio Host
ゲストの女医,Female Doctor Guest
番組司会者,TV Show Host
CDショップスタッフ,CD Shop Staff
書きこみへのリプライ,Replies to Post
にちか＆お笑い,Nichika&Comedian
会場スタッフ,Venue Staff
雑誌記事,Magazine Article
スタッフ一同,All the Staff
ピアノ生徒の保護者１,Piano Student Parent 1
ピアノ生徒の保護者２,Piano Student Parent 2
ピアノ生徒の保護者３,Piano Student Parent 3
ピアノ生徒の保護者４,Piano Student Parent 4
ダンサーたち,Dancers
知人ダンサー,Dancer Acquaintance
ピアノ生徒,Piano Student
ダンサー,Dancer
芸能記事,Entertainment Article
現場スタッフ数名,Several Site Staff
スポンサー企業,Sponsor Company
広告マン,Adperson
企画ディレクター,Project Director
お笑い１,Comedian 1
お笑い２,Comedian 2
お笑い１＆お笑い２,Both Comedians
バイト先の先輩,Part-time Job Senpai
番組アナウンサー,TV Announcer
番組MC,TV Show MC
番組スタッフたち,All TV Show Staff
番組スタッフ,TV Show Staff
メイクスタッフ１,Makeup Artist 1
メイクスタッフ２,Makeup Artist 2
アイドルグループ,Idol Group
多人数の息,Many People's Breath
レッスン場スタッフ,Lesson Space Staff
子ども,Child
知人男性１,Male Acquaintance 1
知人男性２,Male Acquaintance 2
知人女性１,Female Acquaintance 1
ライブハウス受付,Club Front Desk
ライブハウスの客１,Club-goer 1
ライブハウスの客２,Club-goer 2
ライブハウスの客３,Club-goer 3
ライブハウスの客４,Club-goer 4
ライブハウスの客５,Club-goer 5
ライブハウスの客たち,Club-goers
テレビのニュース,News on TV
現場スタッフ１,Site Staff 1
現場スタッフ２,Site Staff 2
現場スタッフ３,Site Staff 3
現場監督,Site Overseer
舞台監督,Stage Director
帰路のタクシー運転手,Return Taxi Driver
ピアノ生徒の保護者,Piano Student Parent
委員長,Class President
ラジオMC,Radio MC
ダンス講師,Dance Instructor
透の母,Toru's Mom
番組スポンサー,Program Sponsor 
取引先のカメラマン,Client's Cameraman
映像ディレクター,Video Director
クラス委員,Class Committee
クラスメイト１,Classmate 1
クラスメイト２,Classmate 2
凛世＆夏葉,Rinze&Natsuha
天井,Amai
果穂＆智代子＆凛世,Kaho&Chiyoko&Rinze
果穂＆凛世＆夏葉,Kaho&Rinze&Natsuha
ダンサー１,Dancer 1
ダンサー２,Dancer 2
ダンサー３,Dancer 3
ダンサー４,Dancer 4
結華＆プロデューサー,Yuika&Producer
カメラマン（現在）,Cameraman (present)
メイク担当,Makeup Artist
クリーニング店受付,Dry-cleaner Reception
宅配スタッフ,Delivery Staff
写真店スタッフ,Photo Store Staff
打ち上げの一同,Everyone at Party
ダンサー側スタッフ,Dancers' Staff
その場の一同,Everyone There
Ａチームダンサー１,Team A Dancer 1
司会,Host
Ａチーム,Team A
結華の父,Yuika's Dad
結華の母,Yuika's Mom
結華の友達,Yuika's Friend
ニュース番組リポーター,News Reporter
映画の音声,Movie Audio
雛菜の母,Hinana's Mom
雛菜の父,Hinana's Dad
近所の住民,Neighbour
近所の家族,Family Nearby
小糸の母,Koito's Mom
小糸の妹,Koito's Sister
透＆小糸,Toru&Koito
AB船員,Able-seaman
航海士,Mate
船長,Captain
ボーイ,Boy
円香の父,Madoka's Dad
円香の母,Madoka's Mom
プロデューサーの文面,Producer's Message
アイドルのツイスタ,Idol's Twesta
階下の声,Voice from Below
親戚の子,Relative's Child
透の叔母,Toru's Aunt
善村記者,Reporter Yoshimura
書店員,Bookstore Staff
浅倉家から聞こえる声,Voices from Asakura's
アイドル１,Idol 1
アイドル２,Idol 2
アイドル３,Idol 3
アイドル４,Idol 4
アイドル５,Idol 5
アイドル６,Idol 6
アイドル７,Idol 7
中堅アイドルグループ,Mid-level Idol Group
控室のアイドルたち,Idols in Green Room
拡声器のアナウンス,Loudspeaker 
会場のアイドルたち,Idols on Stage
善村とプロデューサー,Yoshimura&Producer
出場者一同,All Participants
Ａチームダンサー２,Team A Dancer 2
CM,Commercial
カンペ,Cue Card
冬優子＆プロデューサー,Fuyuko&Producer
一年生たち,1st Year Students
一年生１,1st Year Student 1
一年生２,1st Year Student 2
代理店営業,Sales Representative
客１,Guest 1
店員１,Employee 1
客２,Guest 2
店員２,Employee 2
歓声,Cheers
透の担任,Toru's Homeroom Teacher
審判,Referee
クラスメイト３,Classmate 3
クラスメイト４,Classmate 4
商店街の会長,Chairman
写真館の主人,Photo Studio Owner
精肉店の店員,Butcher Shop Lady
スーパーの店員,Supermarket Employee
生花店の店主,Flower Shop Owner
会長の妻,Chairman's Wife
ツイスタ投稿１,Twesta Post 1
ツイスタ投稿２,Twesta Post 2
ツイスタ投稿３,Twesta Post 3
事務局スタッフ,Organizing Staff
甘奈＆甜花＆千雪,Amana&Tenka&Chiyuki
編集長,Editor-in-Chief
審査員,Judge
櫻木真乃,Mano Sakuragi
風野灯織,Hiori Kazano
八宮めぐる,Meguru Hachimiya
月岡恋鐘,Kogane Tsukioka
田中摩美々,Mamimi Tanaka
白瀬咲耶,Sakuya Shirase
三峰結華,Yuika Mitsumine
幽谷霧子,Kiriko Yukoku
小宮果穂,Kaho Komiya
園田智代子,Chiyoko Sonoda
西城樹里,Juri Saijo
杜野凛世,Rinze Morino
有栖川夏葉,Natsuha Arisugawa
大崎甘奈,Amana Osaki
大崎甜花,Tenka Osaki
桑山千雪,Chiyuki Kuwayama
芹沢あさひ,Asahi Serizawa
黛冬優子,Fuyuko Mayuzumi
和泉愛依,Mei Izumi
浅倉透,Toru Asakura
樋口円香,Madoka Higuchi
福丸小糸,Koito Fukumaru
市川雛菜,Hinana Ichikawa
七草にちか,Nichika Nanakusa
緋田美琴,Mikoto Aketa
櫻木 真乃,Mano
風野 灯織,Hiori
八宮 めぐる,Meguru
月岡 恋鐘,Kogane
田中 摩美々,Mamimi
白瀬 咲耶,Sakuya
三峰 結華,Yuika
幽谷 霧子,Kiriko
小宮 果穂,Kaho
園田 智代子,Chiyoko
西城 樹里,Juri
杜野 凛世,Rinze
有栖川 夏葉,Natsuha
大崎 甘奈,Amana
大崎 甜花,Tenka
桑山 千雪,Chiyuki
芹沢 あさひ,Asahi
黛 冬優子,Fuyuko
和泉 愛依,Mei
浅倉 透,Toru
樋口 円香,Madoka
福丸 小糸,Koito
市川 雛菜,Hinana
七草 にちか,Nichika
緋田 美琴,Mikoto
乗客１,Passenger 1
乗客２,Passenger 2
映画の中の男,Man in the movie
劇場男性スタッフ,Male Cinema Staff
企画担当,Project Coordinator
ツイスタの投稿,Twesta Post
制作スタッフ,Production Staff
劇場売店の女性店員,Cinema Counter Staff
契約書の文言,Text in Contract
透＆女子高生ら,Toru & Highschool Girls
映画館前の貼り紙,Cinema Notice
スマホからの音声,Voice on the Phone
クライアント,Client
不動産店スタッフ,Real Estate Agent
放クラ,Hokura
イルミネ,Ilumine
女将,Landlady
眼鏡の男性,Man in Glasses
ピアスの女性,Woman Wearing Earrings
バラエティ司会,Variety Show Host
雛壇芸人,Guest Entertainers
同級生,Classmate
お母さん,Mom
ポップアップ,Pop-up
テレビ局部長,Head of TV Station
同僚,Colleague
ラジオディレクター,Radio Director
ラジオの音声,Voice on the Radio
店内BGM,Store's BGM
バイト仲間,Part-time Co-worker
メール,Email
グループ長,Group Leader
監督,Director
年配の男性,Elderly Man
青年,Young Man
客,Customer
客の連れ,Customer's Companion
自分,Self
チェインの表示,CHAIN's Chat Screen
娘,Daughter
バスのアナウンス,Bus Speakers
店内アナウンス,Store Speakers
ラジオの音,Voice on the Radio
父,Dad
美百合,Miyuri
陽呂美,Hiromi
彼方,Kanata
萌夢,Megumu
銀之介,Ginnosuke
店員連絡ノート,Shift notes
高校生くらいの子,High School Age Girl
彼方＆萌夢,Kanata&Megumu
店内,Store
店頭モニター,Store Monitor
クリニック講師,Clinic Counselor
講師からのメール,Text From Counselor
ルカの母,Luca's Mother
スナックのママ,Snack Bar Mama
ゲストの料理家,Celebrity Chef Guest
マネージャー（留守電）,Manager (Voicemail)
ルカの発言,Remark from Luca
代理店ディレクター,Agency Director
にちか＆はづき,Nichika&Hazuki
広告会社のふたり,Ad Agency Employees
代理店営業,Agency Salesman
スポンサー担当者,Sponsor Spokesman
ラジオ局職員１,Radio Staff 1
ラジオ局職員２,Radio Staff 2
内科医,Physician
ファンの声援,Shouts of Fans
会場のポスター,Venue Poster
ライブハウススタッフ,Concert Venue Staff
ショップスタッフ１,Shop Staff 1
ショップスタッフ２,Shop Staff 2
ショップスタッフ３,Shop Staff 3
物販スタッフ,Merch Booth Staff
帰りの客１,Departing Attendee 1
帰りの客２,Departing Attendee 2
ポップの文言,Writing on Display
ショップスタッフ４,Shop Staff 4
ショップスタッフ５,Shop Staff 5
にちか＆ルカ,Nichika&Luca
制作スタッフ,Production Staff
配信ディレクター,Stream Director
雑誌の見出し,Magazine Headline
にちかのポップ,Nichika's Handwritten Display
犯人,Criminal
刑事,Detective
役者,Actor
ヘアメイクスタッフ,Hair/Make-up Staff
進行管理,Progress Manager
探偵たち,Detectives
弟子,Disciple
撮影監督,Shoot Director
所属スタッフ,Relevant Staff
新人アシスタント,New Hire Assistant
透＆新人アシスタント,Toru&New Hire
日本史教諭,History Teacher
雑誌編集長,Magazine Editor
生徒たち,Students
先日のスタッフ,Staff from before
撮影スタッフ４,Photo Staff 4
撮影スタッフ５,Photo Staff 5
撮影スタッフ一同,Shoot Staff
ト書き,Script Directions
タクシーの運転手,Taxi Driver
摩美々＆咲耶＆霧子,Mamimi&Sakuya&Kiriko
AD,AD
SNSへの投稿,Social Media Post
SNSへの投稿10,Social Media Post 10
SNSへの投稿11,Social Media Post 11
SNSへの投稿12,Social Media Post 12
アートディレクター,Art Director
アカウント２,Account 2
アカウント３,Account 3
アカウント４,Account 4
アカウント５,Account 5
アカウント６,Account 6
アカウント７,Account 7
アナウンサー,Announcer
あるアカウント,A Certain Account
デザイナー,Designer
ニュース記事見出し１,News Article Header 1
ニュース記事見出し２,News Article Header 2
ボーカルトレーナー,Voice Trainer
めぐる＆スタッフ１,Meguru&Staff 1
モニターからの音声,Voice from Monitor
営業,Sales Rep
会場スタッフ１,Venue Staff 1
会場スタッフ２,Venue Staff 2
解説者,Analyst
観客の声援,Audience Cheers
企業社長,Company President
広告会社営業,Ad Agency Sales
視聴者コメント,Viewer Comments
事務長,Manager
選手たち,Players
配達員の投稿１,Delivery Worker Post 1
配達員の投稿２,Delivery Worker Post 2
配達員の投稿３,Delivery Worker Post 3
配達員の投稿４,Delivery Worker Post 4
配達員の投稿５,Delivery Worker Post 5
縫製スタッフ,Sewing Staff
大御所芸人,Star Performer
冬優子の母,Fuyuko's Mother
先生,Teacher
女子生徒１,Schoolgirl 1
女子生徒２,Schoolgirl 2
女子生徒３,Schoolgirl 3
教師,Schoolteacher
冬優子の友人１,Fuyuko's Friend 1
冬優子の友人２,Fuyuko's Friend 2
冬優子の友人３,Fuyuko's Friend 3
店主,Shop Owner
番組予告,Show Trailer
雑誌のゲラ,Magazine Galley
愛依の妹,Mei's Little Sister
アーティスト,Artist
配信者,Video Creator
愛依の友人,Mei's Friend
会社員,Employee
演出家,Stage Director
振付,Choreographer
動画サイト,Video Site
ものまね,Impersonator
審査員１,Judge 1
審査員２,Judge 2
審査員３,Judge 3
件名,Subject
ツイスタ,Twesta
愛依の妹＆弟,Mei's Sister&Brother
愛依の弟,Mei's Little Brother
愛依の母,Mei's Mother
配信の音声,Sound from Broadcast
愛依のツイスタ,Mei's Twesta
雨竜,Uryuu
御子柴,Mikoshiba
ショップスタッフ,Shop Staff
パパ,Papa
ママ,Mama
テレビの字幕,Subtitles on TV
通知,Notification
甜花＆プロデューサー,Tenka&Producer
リビングの声,Voices from L. Room
通行人１,Passerby 1
通行人２,Passerby 2
アドトレーラーの文字,Text From Ad
ドアの外からの声,Voice From Outside the Door
スタジオスタッフ,Studio Staff
ルカのSNS投稿,Luca's Social Media Post
SNSの反応１,Social Media Reply 1
SNSの反応２,Social Media Reply 2
SNSの反応３,Social Media Reply 3
SNSの反応４,Social Media Reply 4
町内会の方,Neighborhood Association Representative
咲耶＆凛世,Sakuya&Rinze
消防団の方,Fire Department Representative
小糸＆プロデューサー,Koito&Producer
灯織からの連絡,Hiori's Message
廊下で練習する練習生,Trainees Practicing in the Hallway
駆け出しダンサー,Novice Dancer
練習生とダンサー,Trainee and Dancer
凛世＆小糸,Rinze&Koito
練習生と練習生２,Trainee 1&2
高校生１,High School Student 1
高校生２,High School Student 2
練習生たち,Trainees
隣のレジスタッフ,Nearby Cashier
隣のレジ客,Nearby Customer
灯織の前の客,Customer in front of Hiori
自列のレジスタッフ,Cashier for Hiori's line
咲耶＆透,Sakuya&Toru
ハガキの文面,Postcard's Contents
カードの文面,Card's Contents
咲耶＆凛世＆小糸,Sakuya&Rinze&Koito
灯織＆ルカ,Hiori&Luca
町の人１,Townsfolk 1
町の人２,Townsfolk 2
町の人３,Townsfolk 3
町内会の方２,Neighborhood Association Representative 2
医院の人,Person at the Clinic
老いた女性,Old Woman
凛世＆透＆小糸,Rinze&Toru&Koito
クラスメイトたち,Classmates
咲耶＆凛世＆透,Sakuya&Rinze&Toru
男子生徒A,Male Student A
男子生徒B,Male Student B
男子生徒C,Male Student C
女子生徒A,Female Student A
女子生徒B,Female Student B
女子生徒C,Female Student C
女子生徒D,Female Student D
学園祭の客A,School Fes Guest A
学園祭の客B,School Fes Guest B
灯織の父,Hiori's Dad
灯織の母,Hiori's Mom
女性アナウンサー,Female Announcer
番組スタッフ１,Program Staff 1
番組スタッフ２,Program Staff 2
番組スタッフ３,Program Staff 3
大崎家の母,Osaki Mother
甘奈からの手紙,Letter from Amana
音響,Audio Staff
隣の生徒,Neighboring Student
結華の友人１,Yuika's Friend 1
結華の友達１,Yuika's Friend 1
結華の友達２,Yuika's Friend 2
結華の友達３,Yuika's Friend 3
甘奈の友人,Amana's Friend
大崎家の父,Osaki Father
甘奈＆甜花＆父,Amana&Tenka&Father
親戚,Relative
ポスター,Poster
甜花＆父,Tenka&Father
スマホの音声,Sound from Smartphone
父と母,Father&Mother
体育教師,Gym Teacher
天の声,Voice from Above
雑貨店店主,Shop Owner
千雪の母,Chiyuki's Mother
小さな声,Faint Voice
ハリネズミくん,Hedgey
共演者たち,Co-stars
SNSの書き込み,Social Media Comment
共演者１,Co-star 1
共演者２,Co-star 2
共演者３,Co-star 3
記者１,Reporter 1
記者２,Reporter 2
共演者,Co-star
主演,Lead Actor
アンケート,Survey
インタビュー記事,Interview Article
ボイストレーナー,Voice Trainer
進行役,Show Host
留守電の応答音,Voicemail Greeting
ルカ事務所スタッフ１,Luca Office Staff 1
ルカ事務所スタッフ２,Luca Office Staff 2
ルカ事務所スタッフ３,Luca Office Staff 3
ルカ事務所スタッフ４,Luca Office Staff 4
ルカ事務所スタッフ５,Luca Office Staff 5
ルカ事務所スタッフ６,Luca Office Staff 6
ルカ事務所スタッフ７,Luca Office Staff 7
雑誌記事見出し,Magazine Headline
ドア越しのマネージャー,Manager (Thru Door)
同僚マネージャー,Fellow Manager
チェインの文面,CHAIN Chat Msg.
ルカ事務所社長,Luca Office President
マネージャーのメモ,Note from Manager
占術家,Fortune Teller
動画の音声,Video Audio
業界関係者,Industry Insider
イベント主催スタッフ,Event Organizing Staff
企業公式の投稿,Company's Official Post
メモの文字,Memo Text
公園の子どもたち,Kids at the Garden
円香＆ラジオMC,Madoka&Radio MC
周囲の人々,People Around
裁ちばさみの旧友,Old Friend (Sewing Scissors)
ウェブの記事,Web Article
テレビマン,TV Industry Insider
鍵盤ハーモニカの旧友,Old Friend (Melodica)
透＆小糸＆旧友,Toru&Koito&Old Friend
卓上のメモ,Memo on Desk
水中メガネの旧友,Old Friend (Water Goggles)
スローガン,Slogan
ステージスタッフ１,Stage Staff 1
ステージスタッフ２,Stage Staff 2
ステージスタッフ３,Stage Staff 3
ステージスタッフ４,Stage Staff 4
飛車の旧友,Old Friend (Hisha)
取引先スタッフ,Business Partner Staff
斑鳩 ルカ,Luca
斑鳩ルカ,Luca Ikaruga
テレビ番組の音声,Voice From TV Show
テレビ番組の有名人,Celebrity On TV
雑誌表紙の見出し,Magazine Headline
にちか＆出演者ら,Nichika&Performers
ドラッグストア店員,Drugstore Clerk
にちか＆スタッフら,Nichika&Staff
雛菜＆スタイリスト,Hinana&Stylist
美琴の父,Mikoto's Dad
美琴の母,Mikoto's Mom
咲耶の父,Sakuya's Dad
咲耶の友達１,Sakuya's Friend 1
咲耶の友達２,Sakuya's Friend 2
咲耶の祖母,Sakuya's Grandma
咲耶の後輩,Sakuya's Kouhai
雑誌,Magazine
モデルたち,Models
咲耶＆プロデューサー,Sakuya&Producer
元気な声,Lively Voice
日焼けした男,Suntanned Man
恋鐘の父,Kogane's Dad
幼い恋鐘,Young Kogane
恋鐘の母,Kogane's Mom
長い髪の友達,Long-Haired Friend
眼鏡の友達,Glasses Friend
業者,Worker
厨房長,Kitchen Head
