title,trans
ならんだケーキ,A Rivalling Cake
すきなもの,Something You Like
わたしたちになる,Become Us
わたしたちにならない,Won't Become Us
ハーモニー,Harmony
蠢,squirming
そうだよ,that's right
が／を,looking/looked at
そうなの,is that right?
そうだね,"yes, that's right"
なんなんだよ今度は,What in the world's going on this time
押し入れ・THE・WORLD,Closet・THE・WORLD
返す,Returning
星から来たヤツ,The one that came from the stars
うらない（NOTFORSALE！）,Fortune telling (NOT FOR SALE!)
とびぐるま,Flying car
返る,Go back
各自決行されたし,And they did what they each decided on
ずっと焦がれていたんだって,Consumed by admiration all this time
太陽・観測,Sun・Gazing
ひとり長考,Lost in thoughts alone
溺れていくみたい,It's as if I'm drowning
泥濘から這い上がらせてよ,Let me drag myself out
　こがれ,　spire
これは誰も知らなくていい,No one else needs to know
綺羅星,Twinkling star
あちらのゆかり、こちらの縁,"Yukari over there, human bond over here"
おふざけ乙女シアター！,Goofball Maiden Theater!
ギラギラ★ガツガツ,Hungry ★ Greedy
大人げ,Maturity 
こんな、じゃなかったのに,This isn't how it's supposed to be
事実と正解とその先のこと,"Facts, interpretations, and beyond"
綺羅星たち,Twinkling stars
エンカウント,Enemy Encounter
ある提案,A Proposal
お日様と異物,The Sun and the Corpse
ギャップ,Gap
無意味なこと,Something Meaningless
秘密のドア,A Secret Door
足の向く先,The Direction You're Facing
無限遠より,To Infinity and Beyond
満ちていた,Waxed
満ちている,Waxing
陰る,Shrouded
欠ける,Waning
雲間から,From the Cracks in the Clouds
照らされて,Illuminated
再び、満ちる,"Waxing, Once Again"
自ら、満たす,"Waxing, On My Own"
良い予感と悪い予感,Good & Bad Premonitions
トラブル勃発！？,Trouble Arises?!
始まる偶然,始まる偶然
ふたつの戦い,ふたつの戦い
ミッション開始！,ミッション開始！
アンダーカバー・アンサンブル！,アンダーカバー・アンサンブル！
小さな一歩,小さな一歩
最終ミッションは？,最終ミッションは？
限りある日常,A finite daily life 
訪問者,A visitor
最後に,At the end
見つかった言葉,Found words
見つからない言葉,Missing words
そういうの,That
見つけられた言葉,Words found
始まり（終わり）の切れ端,Snippet of the beginning (end)
私を撃ち抜いたもの,The one that struck a chord in me
コメント、ありがと,Thanks for the Comments
なう、ろーでぃんぐ,Now Loading
初配信！,First Stream!
高評価？低評価？,High Ratings? Low Ratings?
り、ろーでぃんぐ,Reloading
集まるピース,The Joining Piece
C！C！,C! C!
これがアルストロメリア！,This is Alstroemeria!
冬が灯る先,Where Winter Lights Up
素敵なクリスマス,A Wonderful Christmas
これまでならきっと知らなかった,I Wouldn't Have Known up to Now
当たり前とローラー,The Obvious and the Roller
触れて戻って,Touch and Return
踏ん切り,Determination
その裏で,Behind That
転んでも汚れても,Even If I Fall and Get Dirty
線が描くもの,What Lines Draw
発信))),Send)))
赤と水色,Red and azure
紫と黄色,Purple and yellow
ぼくらは海のまんなかで,We're in the middle of the sea
水面に立つ,Standing on the water surface
みえないけど、ある,"Even though it's not visible, it's there"
鏡像,Reflect image
(((受信,(((Receive
はじまり,Beginning
千のものがたり,A Thousand Stories
花のものがたり,A Flower Story
つまずき,Setback
であい,Meeting
こくはく,Confession
甘いものがたり,A Sweet Story
また、はじまり,A New Beginning
恋鐘と甘奈,Kogane and Amana
真乃と果穂,Mano and Kaho
正直者の頭に神宿る,God Dwells On An Honest Person's Head
ドキドキはぁとふる,My Pounding Heart
非日常のお誘い,Extraordinary Invitation
スーパーアイドル登場！？,A Super-Idol Appeared!?
プロデューサーじゃない！,Not a Producer!
クライマックスは絶体絶命！？,Climax in a Terrible Situation!?
運命のイタズラ……？,Fate of Mischief...?
シャイニーの日　特別コミュ,Shiny Day Special Commu
櫻木 真乃,Mano Sakuragi
風野 灯織,Hiori Kazano
八宮 めぐる,Meguru Hachimiya
月岡 恋鐘,Kogane Tsukioka
田中 摩美々,Mamimi Tanaka
白瀬 咲耶,Sakuya Shirase
三峰 結華,Yuika Mitsumine
幽谷 霧子,Kiriko Yukoku
小宮 果穂,Kaho Komiya
園田 智代子,Chiyoko Sonoda
西城 樹里,Juri Saijo
杜野 凛世,Rinze Morino
有栖川 夏葉,Natsuha Arisugawa
大崎 甘奈,Amana Osaki
大崎 甜花,Tenka Osaki
桑山 千雪,Chiyuki Kuwayama
芹沢 あさひ,Asahi Serizawa
黛 冬優子,Fuyuko Mayuzumi
和泉 愛依,Mei Izumi
イルミネーションスターズ,illumination STARS
アンティーカ,L'Antica
放課後クライマックスガールズ,Hokago Climax Girls
アルストロメリア,Alstroemeria
ストレイライト,Straylight
天井社長,President Amai
七草 はづき,Hazuki Nanakusa
アイドルからの手紙,Letter from Idol
『A』より愛を込めて,"With Love from ""A"""
トリック・オア・トリート！,Trick or Treat!
シャイニーの日 2019 特別コミュ,Shiny Day 2019 Special Commu
シャイニーの日 2020 特別コミュ,Shiny Day 2020 Special Commu
シャイニーの日 2021 特別コミュ,Shiny Day 2021 Special Commu
シャイニーの日 2022 特別コミュ,Shiny Day 2022 Special Commu
シャイニーの日 2023 特別コミュ,Shiny Day 2023 Special Commu
シャイニーの日 2024 特別コミュ,Shiny Day 2024 Special Commu
シャイニーの日 2025 特別コミュ,Shiny Day 2025 Special Commu
Morning①,Morning ①
Morning②,Morning ②
Morning③,Morning ③
Morning④,Morning ④
Morning⑤,Morning ⑤
Morning⑥,Morning ⑥
Morning⑦,Morning ⑦
Morning⑧,Morning ⑧
Morning⑨,Morning ⑨
Morning⑩,Morning ⑩
Morning⑪,Morning ⑪
Morning⑫,Morning ⑫
Morning⑬,Morning ⑬
Morning⑭,Morning ⑭
Morning⑮,Morning ⑮
オーディション前①,Before Audition ①
オーディション前②,Before Audition ②
オーディション前③,Before Audition ③
オーディション前④,Before Audition ④
オーディション前⑤,Before Audition ⑤
オーディション前⑥,Before Audition ⑥
オーディション後①,After Audition ①
オーディション後③,After Audition ③
オーディション後②,After Audition ②
オーディション後④,After Audition ④
準決勝前コミュ,Before Semi-Finals
敗退コミュ,Failure
準決勝後コミュ,After Semi-Finals
決勝前コミュ,Before Finals
決勝後コミュ,After Finals
シーズン1（クリア）,Season 1 (Pass)
シーズン1（失敗）,Season 1 (Fail)
シーズン2（クリア）,Season 2 (Pass)
シーズン2（失敗）,Season 2 (Fail)
シーズン3（クリア）,Season 3 (Pass)
シーズン3（失敗）,Season 3 (Fail)
シーズン4（クリア）,Season 4 (Pass)
シーズン4（失敗）,Season 4 (Fail)
TV出演後コミュ①,Post-TV Appearance ①
TV出演後コミュ②,Post-TV Appearance ②
オーディション後 勝利①,Audition Win ①
オーディション後 勝利②,Audition Win ②
オーディション後 敗北①,Audition Fail ①
オーディション後 敗北②,Audition Fail ②
感謝祭本番前（ユニット）,Before Fan Fest (Unit)
感謝祭本番後（通常）,After Fan Fest (Normal)
感謝祭本番後（MVP）,After Fan Fest (MVP)
リハーサル前,Before Rehearsal
リハーサル後,After Rehearsal
感謝祭本番前,Before Fan Fest
始まり、もう一度,"Beginning, Once More"
『頑張りたい』,I Want to Aim Higher
空が赤いから,Because the Sky is Red
雲なんて吹き飛ばして,Blow Those Clouds Away
星たちは駆けて輝く,Stars Running Radiantly
何度だって最高の晴れにしよう,"Clear the Sky, Over and Over"
ミユア・ノ・レゾレソ,SHTAP TNEREFFID
デイナ・シイ・パンシ,YRROW T'NOD
モテク・ナ・デココ,EREH T'NSI TI FI NEVE
ヤケン・イウトヨ,"IF YA NEED HELP, JUST HOLLER"
ねえ、アンティーカ,"Hey, L'Antica"
──うん、アンティーカ,"──That's right, L'Antica."
お疲れ様です,Thanks
ただいま,I'm Back
おかえりなさい,Welcome Home
（また明日）,(See You Tomorrow)
いただきます　ごちそうさま,"Let's eat, and thank you for the meal"
──いってきます！,I'm Off!
ワンス・アポン・ア・タイム,Once Upon A Time
ハッピーエンドの先だとしたら,If My Happy End Has Passed
知りせば覚めざらましを,"Had I Known, I Would Not Have Awoken"
ビビ・バビ・ピンヒール,Vivid Stiletto Heels
いつまでも、いつまでも,Forever and ever
花よ、時よ、そのまにまに,At the Mercy of Flowers and Time
The story so far,"The story, so far"
One step,One step
Farce,Farce
error code:017,error code:017
Shall we dance?,Shall we dance?
（not?）Stray light,(Not?) Stray light
4ピーエム・スナック,4PM Snack
未達,Unachieved
希望,Hope
願望,Desire
未完,Incomplete
ライク・ザ・シー,Like The Sea
聞こえるんですよ,I can hear it
ヴォイセズ,Voices
感謝,Gratitude
空の奥の音,The sound from the depth of the sky
コンコルディア,Concordia
きらきらしてて,Shining
何をやっても,何をやっても
壊れかけの,壊れかけの
くすぶる午後,くすぶる午後
わたしが見たいもの,わたしが見たいもの
不釣り合でも,不釣り合でも
変わる景色,変わる景色
G.R.A.D.敗退コミュ①,G.R.A.D. Fail ①
G.R.A.D.敗退コミュ②前,G.R.A.D. Fail ② Before
G.R.A.D.敗退コミュ②後,G.R.A.D. Fail ② After
予選前コミュ,Before Preliminary
予選後コミュ　勝利,After Preliminary Win
予選後コミュ　敗北,After Preliminary Fail
敗者復活前コミュ,Before Repechage
敗者復活後コミュ　勝利,After Repechage Win
敗者復活後コミュ　敗北,After Repechage Fail
決勝後コミュ　勝利,After Finals Win
決勝後コミュ　敗北①,After Finals Fail ①
決勝後コミュ　敗北②,After Finals Fail ②
1曲目前コミュ《ユニット限定》,Before 1st Song (Unit Specific)
1曲目前コミュ《ユニット》,Before 1st Song (Unit)
2曲目前コミュ《ユニット限定》,Before 2nd Song (Unit Specific)
3曲目前コミュ《ユニット限定》,Before 3rd Song (Unit Specific)
ライブ後コミュ《ユニット》,After the Live (Unit)
ライブ1曲目前コミュ《個人》,Before 1st Song (Individual)
ライブ2曲目前コミュ《個人》,Before 2nd Song (Individual)
ライブ3曲目前コミュ《個人》,Before 3rd Song (Individual)
ライブ後コミュ《個人》　大成功,After the Live (Individual) Great Success
ライブ後コミュ《個人》　成功,After the Live (Individual) Success
二歩離れてお節介,二歩離れてお節介
ギブあんどthink,ギブあんどthink
moonlit,moonlit
一歩、まえ,一歩、まえ
きゅ　きゅ,きゅ　きゅ
あの時何にあったの?,あの時何にあったの?
偶然で偶然で偶然だから必然,偶然で偶然で偶然だから必然
アタシたち談義,アタシたち談義
わるい時間・ 番外編,わるい時間・ 番外編
彼女を知り私を知れば,彼女を知り私を知れば
1％の交点,A 1% Collision
ふわふわとあったかい,Soft and Warm
千雪さんと羽那ちゃん,Chiyuki-san and Hana-chan
風、走走,風、走走
deja vu,deja vu
波音のすきま,波音のすきま
そう、間こえたから,そう、間こえたから
公園の歌声,Singing in the Park
自信のありか,In Search of Confidence
ありのままで,Be Yourself
頑張りすぎ,Trying Too Hard
自分を信じて,Trust Yourself
あんをつつむあったかい気持ち,あんをつつむあったかい気持ち
未来へ羽ばたく,Spread Your Wings to the Future
これからも飛んでいきたい,I Want to Fly Forevermore
きらめきを詰めてすすむしっぽ,きらめきを詰めてすすむしっぽ
降りつもる羽のように,"Like feathers, piling up"
迷って、欲しがって,Doubts and desires
不思議の夜の森,A mysterious night in the forest
暗がりから、つかんで,Seize from darkness
鮮やかに茜さす,Under a brilliant red glow
降りそそぐ羽のように,"Like feathers, pouring down"
凪,Lull
ふつ、ふつ,Boiling... Over
空へ向かうための風がまだ、,Still no Wind to Soar On
羽ばたいて、飛べなくて、その次,"Flapping its Wings, Unable to Fly"
その風をつかまえたいと思ったの,I Thought You Wanted to Catch that Gale
大空を少しずつ、自由に,"Little by Little, Freely into the Sky"
【’19Xmas】ハンドクリーム,[19Xmas] Hand Cream
【’19Xmas】ケーキ,[19Xmas] Cake
【’19Xmas】イルミネーション,[19Xmas] illumination
【’19Xmas】真乃・ブランケット,[19Xmas] Mano's Blanket
【櫻木 真乃】2020バレンタインデー,[Mano] 2020 Valentine's Day
【’25VD】真乃・ホットチョコレートボム,['25VD] Mano's Hot Chocolate Bomb
【'25VD】櫻木真乃とのひととき,['25VD] A Moment with Mano
キャラメル,Caramel
真乃へのプレゼント・キャラメル,Gift for Mano ・Caramel
真乃へのプレゼント・キャラメル＋♥,Gift for Mano ・Caramel＋♥
生どら焼き,Fresh Dorayaki
真乃へのプレゼント・生どら焼き,Gift for Mano ・Fresh Dorayaki
真乃へのプレゼント・生どら焼き＋♥,Gift for Mano ・Fresh Dorayaki＋♥
チーズケーキ,Cheesecake
真乃へのプレゼント・チーズケーキ,Gift for Mano ・Cheesecake
真乃へのプレゼント・チーズケーキ＋♥,Gift for Mano ・Cheesecake＋♥
ラスク,Rusk
真乃へのプレゼント・ラスク,Gift for Mano ・Rusk
真乃へのプレゼント・ラスク＋♥,Gift for Mano ・Rusk＋♥
ホットチョコレートレートとサブレ,Hot Chocolate and Butter Cookies
真乃へのプレゼント・ホットチョコレートとサブレ,Gift for Mano ・Hot Chocolate and Butter Cookies
真乃へのプレゼント・ホットチョコレートとサブレ＋♥,Gift for Mano ・Hot Chocolate and Butter Cookies＋♥
ピーちゃんのラテアート,Latte Art of Pii-chan
真乃へのプレゼント・ピーちゃんのラテアート,Gift for Mano ・Latte Art of Pii-chan
真乃へのプレゼント・ピーちゃんのラテアート＋♥,Gift for Mano ・Latte Art of Pii-chan＋♥
【ほわっとスマイル】私服,【Gentle Smile】Regular Outfit
【ほわっとスマイル】ライブ,【Gentle Smile】Live Outfit
【ほわっとスマイル】私服 ★1特訓,【Gentle Smile】Regular Outfit 1★
【ほわっとスマイル】ライブ ★1特訓,【Gentle Smile】Live Outfit 1★
ほわほわアイドル,The Dreamy Idol
真乃ならできる,"You can do it, Mano"
成長の証,Sign of Growth
いつかの気持ち,Feelings of Someday
ずっと続く夢の先へ,Beyond the Never-Ending Dream
【はじけてスマイル】私服,【Bursting Smile】Regular Outfit
【はじけてスマイル】ライブ,【Bursting Smile】Live Outfit
【はじけてスマイル】私服 ★1特訓,【Bursting Smile】Regular Outfit 1★
【はじけてスマイル】ライブ ★1特訓,【Bursting Smile】Live Outfit 1★
緑色が運ぶ、夏の,"Green Brings, Summer"
狙う、その間の,"Meanwhile, Aim"
交す、ことばの,"Exchange, of Words"
涼やかな、夏の,"Refreshing, Summer"
気遣い、一粒,"A Drop of, Worry"
【ソラを跳ね】私服,【Splash into the Sky】Regular Outfit
【ソラを跳ね】ライブ,【Splash into the Sky】Live Outfit
【ソラを跳ね】私服 ★1特訓,【Splash into the Sky】Regular Outfit 1★
【ソラを跳ね】ライブ ★1特訓,【Splash into the Sky】Live Outfit 1★
ささやかな,Unremarkable
あめのひ,On a rainy day
そらをおよぐ鳥,The bird that swims the sky
ゆっくりでいい。そうきみにも,At our own pace. You and me both
たとえ何光年離れていたとしても,No matter how many light-years away
【はるかなる】私服,【Into the Distance】Regular Outfit
【はるかなる】ライブ,【Into the Distance】Live Outfit
【はるかなる】私服 ★1特訓,【Into the Distance】Regular Outfit 1★
【はるかなる】ライブ ★1特訓,【Into the Distance】Live Outfit 1★
こうして生まれる,Born this way
私の２８３,My 283
心、はためく,"Heart, fluttering"
私たち次第,Depends on Us
誰のこと？,Regarding Who?
公園と約束,Promise at the Park
おそろいの気持ち,Matching Feelings
ふたりの好きなもの,ふたりの好きなもの
みんなとお仕事！,Work with Everyone!
私たちのお仕事,Our Work
夏と言えば……,If we're talking about summer...
サマータイム！,Summer time!
色褪せないもの,Unfading
プールインサイド,In the Pool
ほんの少しのアドベンチャー,Just a little Adventure
ハッピーアイスクリーム,Happy Ice Cream
冬のとおり道,Along winter's path
一緒に行けたなら,If we could go together
きっと、なによりも輝いて,"Brighter than any other, for sure"
クールで真面目な女の子,Cool and serious girl
とっておきのおまじない,Treasured superstition
アイドル失格,Unfit to be an idol
少しずつ進みたい,Advancing little by little
ファンのため、自分のため,"For my fans, for myself"
言ってませんでしたけど,言ってませんでしたけど
諦められない夢,諦められない夢
夢の続きはどこまでも,夢の続きはどこまでも
わかってますから,わかってますから
ひとりでよ（くはな）かった,I'm (not) glad to be alone
その明かりがすべてを変える,That light changes everything
ふたりの違い,The difference between the two
風野灯織になるまで,To become Hiori Kazano
千里の道も一歩から,A journey of a thousand miles begins with a single step
今は、３人,"Right now, it's us three"
