ja,en
グレード7滞在回数,Times in Grade 7
シナリオイベント参加数,Scenario Events Played
プロデュースイベント参加数,Produce Events Played
フェスイベント参加数,Fes Events Played
ランキングイベント参加数,Ranking Events Played
プロデュースアイテム入手数,Produce Items Obtained
だーれだっ♪,Whooo is it♪
さっすが～！　やるぅ♪\nうち、ご褒美あげちゃおっかなぁ,As expected! You got it♪ I think I'll give you a treat!
ちょい待ちちょい待ち～\nこれくらいサクッとわかるっしょ～,"Oh, come on! You could obviously tell it was me!"
んふふ～、だ～～～れだ！？\nちゃ～んと当てんといけんよ～～～！,"Mhehe, whooooo am I? You'd better get it right!"
せいか～い！　すごか～\nなんでわかったと！？　んふふ～、うれしか……,"C'mon~! Ya got me~ How did you know it was me!? Mhehe~, kinda happy..."
ふぇ～！　はずればい……\nうちの声とか～、手とか～わからんかったと～……？,Fweh? You got it wrong!! Don't you know this voice!? Or these hands!?
うふふ、だーれだ！\n当ててごらんなさい！,"Ufufu, who am I? Have a guess!"
正解よ！　でも当然よね\n私だって絶対わかるもの……アナタのこと,"Correct! But, of course! You really know me... and I do too."
残念……私のことわからなかったかしら？\nそれは……少し寂しいわね,"Unfortunately, no. So you couldn't tell who I was? It hurts me to know that..."
お尋ね申します……\nだーれだ……,May I trouble you for one moment...? Who am I...?
ふふ……\nはい……ここに……,Hehe....\r\nYes.... I'm here...
──は、はい……！　その……\n当たりで……ございます…………,Y-Yes... You... You guessed correctly...
プロデューサー！\n──だーれだっ！,Producer!\n─Whooo is it!
あははっ\n簡単すぎたねっ！,Ahaha! That was too easy!
残念！　めぐるだよー！,Too bad! It's Meguru!
え、えへへ……っ\nだーれだ……っ！,N-Nihehe...\r\nWhooo is it..!?
な、なんで……\nわかったの……！？,W-Wha… you knew…!?
やった……！\n甜花の、勝ち……！！,Yay...!\r\nTenka won...!!
プロデューサーさんっ\nだーれだっ,"Producer,\r\nWhooo am I?"
ま、当然よね\n外したらどうしてやろうかって考えてたとこだったわ,"Well, of course. You knew who I was even before I took it off."
はい残念でした\n罰ゲーム決定ね,"How disappointing. Penalty game it is, then."
だーれだっ！！,Whooo is it!!
えへへっ当たりですっ！\nプロデューサーさんに、おかしをおすそわけですっ！,"Ehehe, you got it right! Producer, I'll give you a treat!"
はずれですっ！　プロデューサーさんにも\nわからないことがあるんですね！　えへへっ,"Wrong! Even Producer sometimes gets things wrong, huh? Ehehe!"
わっ！！！\nだーれだっ！,Wah!!!\r\nWhooo is it!?
正解っす\nうーん……簡単すぎたっすか？,Correct. Hmm... was that too easy for you?
あさひっす～！\nけど、どうして間違えたっすか？　教えてほしいっす！,"It's me, Asahi! How did you fail to recognise me? I wanna know!"
だ、だーれだ……！\nこんなんすぐわかんだろ……,W-Who am I!? This one's gotta be way too easy...
せ、正解……だから\n……ん、お菓子やる。ハロウィンだしな,"Yo, you got it right… …Right, I'll give you a snack. It's halloween after all."
はずれ……！　って、\nわざと間違えただろ、プロデューサー！,"Incorrect! Wait, you got that wrong on purpose, didn't you!?"
プロデューサーさん\nだーれ────,Producer? Guess who I am!
もう～、最後まで言わせてください……！\n千雪です,"Aw, I was going to tell you who I was…! It was me♪"
……もう。フライングで間違えるなんて\nひどいです、プロデューサーさん！,"Well, really! I'm shocked you would make such a mistake right out of the gate, Producer!"
──さて！\n私は誰でしょうか！,Wah! Who could I possibly be?
お見事！　正解です！\nプロデューサーさんには簡単な問題すぎましたかね……！？,"Well done! Correct! Producer, was it too easy for you!?"
惜しい！　正解は園田智代子でした！\n次はきっと当ててくださいね！,Too bad! The right answer was Chiyoko! Better luck next time!
わ、私は、\n誰でしょうか……！,W-Who\r\ncould I be...?
プロデューサーが間違えるわけないですよね……！,There's no way someone like you could mistake me easily!
すっすみません……！\n今の、忘れてください,I-I'm sorry... Please pretend that never happened.
えっへへ～！\nだーれだっ☆,Ehehe~! \nWhooo is it☆
正解っ☆　甘奈でした～！\nプロデューサーさんなら当ててくれるって、信じてたよ☆,"Correct, it was me! Producer, I knew you'd guess it right☆"
えっ……？　\n本当にわからなかったわけじゃない……よね……？,Huh? You knew it was me and you're just toying with me... aren't you?
だーれだ……,Whooo is it...?
はい……\nわたし……です……♪,Right...\r\nIt's... me...♪
ふふ……ふふふっ……！\nもう一回……です……！,Hehe... Heheheh...!\r\nTry again...!
──だぁれだ\n……ハズレのときは覚悟してくださいねー,Who am I? You'd better prepare yourself if you guess wrong...
正解ですー\n……んー、正解ってなんか物足りないですねー,"You got it right. …Hmm, your answer was boring."
ふふー、ハズレですー\nバツとして、お菓子一年分を要求しまぁす,Fufu~ You guessed wrong! I expect a year's worth of snacks from you as punishment.
アナタの後ろにいるのは……\nフフ、『だーれだ』,Who's behind you? Heh. Try and guess.
さすが、大正解だ。声か、話し方か、それとも……\nなんて、理由を聞くのは野暮かな,"Well, your answer was correct. It's probably from my voice, or the way I talk, or… I don't think it'd be fair for you to answer."
おや、わからなかったかい？\nそれなら私の声をもっと聞き、もっと覚えてもらわないとね,Oh? Couldn't you tell? I'll have to get you much more accustomed to my voice then...
だーれだっ？,Whooo is it?
おおっ、最低限のヒントでよくできました！\nそう！　Ｐたんの三峰です！,"Ooh, well done guessing with the small hints! Correct! I'm P-tan's Mitsumine!"
ありゃー、残念！　わかってもらえなかったかぁ\n三峰、悲しいな～,Ooof. Nope! You didn't recognise me? Mitsumine's sad!
えっと……その……\nだ、だーれだ……っ,Erm... Well...\nW-Who is it...?
ほわぁ、正解です、プロデューサーさんっ\nあ……声で誰だかすぐわかっちゃいますよねっ,"Wah, you were right, Producer. Ah... It's easy to tell who the person is by their voice, right?"
……その、ハズレなんです……\n……急に目隠ししちゃってすみませんでした……っ,No... wrong answer... Sorry for covering your eyes like that...
ホーム画面でアイドルからイタズラされるかも…？,Idols might play a prank on the home screen...?
事務所(太鼓の達人),Office(Taiko no Tatsujin)
パーフェクトアピール,Perfect Appeal
流行順位が高いジャンルは、そのジャンル\r担当審査員からの獲得スターが増加します。,If a judge's stat is a higher trend\rThat judge will give more stars
流行の結果にあわせて、\nオーディションを受けてみてください♪,"Based on the trend,\nYou should try auditioning♪"
スタミナを消費してプロデュースを開始しますか？,Start Producing and Consume Stamina?
昇格ライン,Promotion
残留ライン,Stay Line
週,Wk
審査員,Judge
プロデュースアイテム,Produce Item
まとめて消費した数に応じて獲得マニーUP!!,Earn Money Per Fes Entry Used!!
フェス参加権を　　消費します,Consumes          Entries
難易度ボーナス,Difficulty Bonus
特訓4回目で解放,Unlocked at 4* Evolve
特訓3回目で解放,Unlocked at 3* Evolve
特訓2回目で解放,Unlocked at 2* Evolve
特訓1回目で解放,Unlocked at 1* Evolve
アイドルアルバムからいつでも再生することができます,You can always Replay from your Idol Album
スタミナが最大量の同量回復します（アイドルの誕生日当日以外使用できません）,Gain the Maximum amount of Stamina(Can only be used on the Idol's Birthday)
誕生日プレゼント,Birthday Present
アイテム所持数,Items Owned
所持数,Owned
最大所持数:,Max:
同じ効果のプロデュースアイテムを複数持ち込む\nことはできません,You are not able to\nBring Produce Items with the Same Effect
アイテムを\n選択していません,No Items\nSelected
レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！,"Produce Idols through Lessons, Work, and Auditions. Reach the fan goal of each season, then aim to win W.I.N.G.!"
ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！,Collect ideas in Thanks Flapping Day to grow your idol. Work with your peers to give the best performance and make Thanks Flapping Day a success!
W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放,Unlocked by reaching W.I.N.G. season 2 and creating a Fes idol
プロデュース選択,Produce Selection
ユニット編成,Organize Unit
アイテム選択,Item Selection
最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。,You can receive up to 100 at a time. \rCompleted Missions are listed below Current Missions
最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます,You can receive up to 100 at a time\rCompleted Missions are listed below Current Missions
アイドルランクD以上\nシーズン1最終週のみ挑戦可能,"﻿Idol Rank D or Higher\nCan challenge on the last week of Season 1"
思い出アピールレベル2以上\nシーズン2最終週のみ挑戦可能,Memory Appeal Level 2 or Higher\nCan challenge on the last week of Season 2
・ラストアピールの☆が多い\n・トップアピールの☆が少ない\n・審査員が強力なアピール力DOWN効果を稀に使用する,·Last Appeal is worth Extra ☆s\n·Top Appeal is worth Fewer ☆s\n·Judges will sometimes apply\nstrong Appeal DOWN effects
お手製差し入れを作成しました,Created Handmade Goods
営業完了まで,Remaining
お手製差し入れ,Handmade Goods
未選択,Unselected
TV出演,Appear on TV
ミニライブ,Mini Live
雑誌インタビュー,Magazine Interview
ミッションはすべて達成しました,Mission Completed
所持枠を超えているものはプレゼントボックスに送られました,Anything above the cap has been sent to your mailbox
ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです,"In Mini Live,you'll earn more experience in less time♪\nHowever,you'll get fewer items on completion"
TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～,"In a TV Appearance,you can get lots of fans♪\nYou'll also earn experience,it's a well-balanced job location~"
雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～,"In Magazine Interviews,you can get more items♪\nBut the time to complete the job is much longer~"
以下の内容で営業を開始しますか？,Start Job with These Details?
アイテムを\r選択していません,No Items Are\rSelected
ラジオの収録,Radio Recording
トークイベントに出演,Talk Show
雑誌の撮影,Magazine Shoot
ボーカルレッスン,Vocal Lesson
ダンスレッスン,Dance Lesson
ビジュアルレッスン,Visual Lesson
オーディション,Audition
その他,Other
そろそろお休みを\nあげた方がいいですよ～,Take a break soon\nYou should allow it~
アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう,"Trouble Rate increases if the Idol's Stamina is low \nBecause of that, let's rest frequently"
オーディションへ行きませんか？,Would you like to go to an audition?
「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです,"""The No.1 Trend"" and ""The Idol Type you Raised""\nIf they match you can pass the audition"
選択されたスキルは忘れてしまいます。\nよろしいですか？,Is it okay to\nforget the selected skill?
忘れたスキルは再度習得できません,Skills can't be re-learned
3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能,Have red-gauge bonds with 3 or more idols\nCan challenge on the last week of Season 3
アイドルランクC以上,Idol Rank C or Higher
アイドルランクE以上,Idol Rank E or Higher
アイドルランクD以上,Idol Rank D or Higher
アイドルランクF以上,Idol Rank F or Higher
アイドルランクS以上,Idol Rank S or Higher
アイドルランクB以上,Idol Rank B or Higher
アイドルランクA以上,Idol Rank A or Higher
プロデューサー就任から,Total Days Played:
日経過,days
日記念まであと,"d gift in "
お待たせしました~結果の発表です。,Sorry to make you wait~ Time to announce the results.
メンタル500以上\nシーズン4最終週のみ挑戦可能,Have 500 or higher Mental\nCan challenge on the last week of Season 4
ミッション達成,Mission Success
以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。,Completed these missions. \rReceive rewards on the mission page.
購入上限,Purchase Limit
所持チケット一覧,List of Owned Tickets
アイテムがありません。,No Items
ログインボーナスのプレゼントです,It's a Present from Login Bonus
以下のプレゼントを受け取りました,Received the Following Gift
以下のチケットを使って、\rアイドルをトレーニングしますか？,"With the following ticket,\nTrain this idol?"
以下のプロデュースアイテムとスタミナを消費して\rプロデュースを開始しますか？,Use these Items and Stamina\nand start the Produce Run?
ファン感謝祭編,Thanks Flapping Day
習得可能なスキルがありません,No Skills Available
アイドルA,Idol A
アイドルB,Idol B
アイドルC,Idol C
アイドルD,Idol D
アイドルE,Idol E
プロデューサーさん\n今回は初めてのアイドルプロデュースになりますので\n私がサポートさせていただきますね〜,"Producer,\r\nSince this is your first idol being produced,\r\nI will assist you~"
ここで説明することはプロデュースの上で\nとても大事なことなのでお昼寝せずに聞いてもらえると\n嬉しいです～\n,"The explanation of this top page of Produce\r\nis very important, so I'd be happy if\r\nyou didn't doze off while listening~"
それでは「プロデュース講座」スタートです,Let's start the 'Produce Lecture'!
まず最初のプロデュースでは\n「櫻木真乃」さんを担当してもらいます♪,"For your first Production, you'll\r\nbe in charge of 'Mano Sakuragi'♪"
そして「櫻木真乃」さんをサポートしてくれる\rアイドル5人のみなさんも、プロデュースに参加しますよ\nみんなでがんばっていきましょ～,"Along with Mano, the 5 Support Idols\r\nwill also participate in the Production.\r\nLet's do our best everyone~"
あ、もちろん、今回サポートしてくれる子たちを含め\r19人全員をプロデュースできますので\r安心してくださいね,"Oh, of course, you can Produce all 19 girls,\r\nincluding the ones who are supporting now,\r\nso don't worry."
プロデューサーさんの手腕とアイドルたちの力で\n最高のアイドルをプロデュースしていきましょう,Let's combine your ability as a Producer\r\nwith the power of the idols to\r\nproduce the top idol!
あー、プロデューサーさん\r先に大切なことをお知らせしておきます,"Ah-, Producer,\r\nthere's one important thing to tell you."
プロデューサーさんのために、チュートリアル終了後には\r「運命の出会いガシャ」を用意していますので\r私の説明をきちんと最後まで聞いてくださいね～,"For you, after the tutorial\r\nI've prepared a 'Fateful Meeting Gacha'.\r\nSo please listen until the end okay~"
こちらの説明はチュートリアルの最後にしますので\n楽しみにしていてくださいね～。ふふ,"I'll explain that at the end of the tutorial,\r\nso please look forward to it~ fufu"
さぁ、それではアイドルプロデュースを始めましょう,"Well then, let's start Idol Production!"
累計ファン人数,Total Fans
プロデュース中のアイドルが存在します\nプロデュースを再開しますか？,There is an Idol being Produced\nResume Production?
アピールミス,Missed Appeal
グッドアピール,Good Appeal
ノーマルアピール,Normal Appeal
思い出アピール,Memory Appeal
リンクアピール,Link Appeal
次は「レッスンとお仕事」について説明しますね〜,Next is an explanation of 'Lessons' and 'Work'
「レッスン」と「お仕事」では\nアイドルを様々な方法で成長させることが\nできるんですよ～,With Lessons and Work you can\r\nstrengthen your idol in various ways~
まず、レッスンの種類は３つあります\nこちらではそれぞれ「Vocal」「Dance」「Visual」の\n基礎能力を伸ばすことができます,"First, there are 3 types of lessons.\r\nHere you can improve the basic ability of\r\n'Vocal','Dance',and 'Visual'."
お仕事の種類も３つあるんですよ\nそれぞれ「メンタル」「SP」「ファン」を\n増やすことが可能なんです,"There are also 3 types of work.\r\nIt's possible to increase 'Mental','SP',\r\nand 'Fans' with these."
レッスン、お仕事にはそれぞれ\nサポートアイドルの皆さんがいます\n是非、一緒に行動して絆を深めていってくださいね～,There are support idols in both lessons and\r\nwork. Please work together to\r\ndeepen your bonds~
あ、プロデューサーさん、\n私がいることが気になりました？\nふふ。私はお手伝いをしているだけですよ\n,"Oh, Producer,\r\nDid you notice me?\r\nFufu. I'm just helping out."
なのでサポートアイドルのみなさんのように\nプロデューサーさんの担当アイドルを成長させることは\nできませんので気を付けてくださいね～,"Please take care, since you can't\r\nstrengthen the idol you're in charge of\r\nthe same way you strengthen supports~"
それでは……今回は\nボーカルレッスンに挑戦してみましょう～,Well then... this time\r\nlet's try a Vocal Lesson~
プロデューサーさん、アイドルの体力が減っている事に気付きましたか？,"Producer, did you notice your idol's\r\nstamina is decreasing?"
アイドルに無理をさせすぎると「トラブル」が発生して\nしまいます。こまめに休ませてあげましょうね\n体調管理もプロデューサーさんの大事なお仕事ですよ～,"'Trouble' will occur if the idol works too hard.\r\nLet's rest, managing your stamina is\r\nalso an important part of the job~"
まれに、朝、アイドルから相談されることがありますよ,Idols may consult you in the morning.
アイドルの心情を汲み取って\n適切な返答を「素早く答える」必要がありますので\n日頃からアイドルのことをよく見ててあげましょう～,You'll need to consider the idol's feelings and\r\ngive a 'Quick-Time' response. Let's be sure to\r\nregularly pay attention to the idols~
今回は私が適切な返答を教えてあげますね～,This time I'll give you the right response~
適切なコミュニケーションを取ると\n「アイドルのテンション」が上昇し\n「親愛度」を得ることができますよ～,The right responses will increase the\r\nidol's 'Tension' and 'Trust' levels~
さらに、アイドルとの信頼関係を築いていくと\n「思い出アピール」のレベルが上がります,"Furthermore, by increasing the idol's\r\n'Trust' level their Memory Appeal\r\nlevel will increase."
事務所ではアイドルとコミュニケーションを取ることができるんですよ,You're able to communicate with your idol\r\nin the office.
ただ、プロデューサーさんならお分かりかと思いますが\n「節度のあるコミュニケーション」を\n心掛けてくださいね～,"However, as you may already know,\r\nplease try to 'communicate\r\nin moderation'~"
次は振り返りの説明をさせていただきます,Next I'll explain Reminisce.
プロデュース中に獲得した「SP」を使って\n新しいスキルなどを獲得することができるんですよ～,During Produce you'll earn 'SP' which\r\ncan be used to purchase new skills~
オーディションに挑戦する前には\n忘れずに「振り返り」をしましょうね,Please remember to 'Reminisce'\r\nbefore you challenge Auditions.
さぁ、次はオーディションの説明ですよ～,"Well then, I'll explain Auditions next~"
オーディションでは、\n一気にたくさんのファンを獲得することができるんです\n果敢に挑戦していきましょうね,"In auditions,\r\nyou can get a lot of fans at once.\r\nLet's boldly challenge them!"
育てているアイドルの「得意ジャンル」と\n「流行１位のジャンル」が同じ時に挑戦することが\nオーディション成功のコツですよ～,The key to audition success is\r\nchallenging auditions when your idol's\r\nspecialty and the #1 trend are the same~
それでは、今回は一番難易度の低いオーディションに\n挑戦をしてみましょう～,"Well then, let's challenge the\r\nlowest level audition this time~"
あ、アイドルが緊張してしまっているようですね\nプロデューサーさん、\n何か激励の言葉をかけてあげてください,"Ah, your idol seems to be nervous.\r\nProducer, please\r\ngive her a word of encouragement."
オーディションの直前はアイドルの\n緊張をほぐしてあげるのも、\nプロデューサーさんの大切な役目ですよ～,Raising your idol's 'Tension'\r\nvalue just before auditions is\r\nanother important Producer duty~
オーディションは、他のライバルユニットと一緒に\n参加をします。「審査員」を一番多く満足させて\n「スターを獲得」し、１位を目指してくださいね♪,You'll participate in auditions along\r\nwith rival units. Earn 'Stars' by filling\r\nthe 'Judge' bars and aim for first♪
他のライバルユニットも含め「スターの数」と\n「メンタル」を都度チェックしていきましょうね,Let's always keep an eye on our\r\nrival's Star Count and our Mental stat.
プロデュースユニットが所持している８つの\nライブスキルから３つがランダムに選出され、\n１ターンに１つを使うことができます,Your produce unit has 8 Live Skills and\r\n3 will be randomly selected.\r\nYou can use 1 per turn.
まずは、真乃さんが持っている「スキル」を\n選択してみましょう～,"First, let's select\r\nMano's skill~"
真乃さんのライブスキルは「Vocal」ジャンルなので\n「Vocal担当審査員」に使うと『好反応』を得られます,Mano's skill is a 'Vocal' skill which will\r\nget a 'good reaction' from the Vocal Judge.
それでは「Vocal担当審査員」を選択しましょう～,"Well then, let's select the Vocal Judge~"
審査員の方を選択すると\n「アピールメーター」が表示されます\n基本は「Perfect」の位置を狙っていきましょう,"Once you select a Judge the 'Appeal Meter'\r\nwill display. Typically, let's aim\r\nfor a 'Perfect'!"
今が「Perfect」チャンスの位置です\n本番では、うまく狙ってくださいね,The position right now is your\r\nchance to hit a Perfect.
アピールフェイズでは、行動順番毎に\nアイドルがアピールをしていきます,"During the appeal phase, every idol\r\nwill make their appeals."
審査員の方々は、アイドル達に厳しいコメントを\nされます。アイドルの「メンタル」を常に見守って\n適切な指示を出してあげましょう,Judges will give out harsh criticism.\r\nBe sure to watch your 'Mental'\r\nand give the appropriate directions.
2ターン目は風野灯織さんの持っている\n「スキル」を選択してみてください,For Turn 2 let's please use\r\nHiori Kazano's skill.
今回も「Vocal」審査員を選択しましょう,Let's again aim at the Vocal Judge.
アピールメーターをTAPしてください,Please TAP the appeal meter.
３ターン目は八宮めぐるさんが持っている\n「スキル」を選択してみましょう,For Turn 3 let's please use\r\nMeguru Hachimiya's skill.
もう一度「Vocal担当審査員」を選択してください,Let's aim at the Vocal Judge once more.
アピールメーターをTAPしてください\nふふ、そろそろ慣れてきましたか～？,"Please TAP the appeal meter.\r\nFufu, are you getting used to it?"
思い出ゲージが溜まりましたよ\rプロデューサーさんとアイドルとのコミュニケーション\rによって、引き出された能力です,Your Memory Appeal Gauge is full!\r\nIt's the ability that was drawn\r\nout by communicating with your idol.
さらに、今回は「リンクアピール」の条件を満たしているので、思い出アピールの後に続けて「リンクアピール」が行われますよ,"What's more, this time you've fulfilled\r\nthe Link Appeal condition. After the Memory\r\nAppeal you'll also get a Link Appeal!"
アイドル達の輝く瞬間をしっかり見届けてくださいね！,Let's see the shining moments of our idols!
それでは、使ってみましょう～,"Well then, let's use it~"
Goodのタイミングをうまく狙えると\n思い出アピールの力が「最大限」引き出されます,"If you can aim for a 'Good' timing,\r\nyou'll get the 'Maximum' power of the appeal!"
「Good」をTAPしましょう\n本番では、しっかり狙っていきましょう,"Let's tap on 'Good'.\r\nFor the real thing, let's aim well!"
リンクアピールの発動条件はスキルによって異なります\n条件を満たしていないと発動できませんので\n確認をしてからユニットを編成しましょう,You have to meet certain requirements in\r\norder to do a Link Appeal. Please\r\ncheck them before organizing your units.
プロデューサーさん、やりましたね～\n審査員を満足させることができたので\n「スター」を獲得することができましたよ\n,"Producer, you did it~\r\nYou were able to fill the Judge bar\r\nso you earned 'Stars'!"
ライバルよりも「一番多くのスターを獲得」して\n１位を目指しましょう,Let's aim for 1st place by\r\nearning more stars than our rivals!
アイドルランクアップおめでとうございます\n各シーズン内にある「目標ランク」を必ず達成しましょうね,Congratulations on improving your idol rank.\r\nBe sure to reach the 'target rank'\r\nbefore each season ends.
それでは「プロデュース講座」はここで一旦終了します\n本番も気合を入れて臨みましょうね,So that ends the 'Produce Tutorial'.\r\nLet's get into the real thing!
さぁ、チュートリアルはもう少しですよ～\nそろそろお昼寝が恋しくなってきているかもしれませんが\nあとちょっとがんばりましょ～,"Well, there's a little bit more tutorial~\r\nYou can't nap just yet!\r\nLet's do our best a little more~"
こちらは「ホーム画面」になります\n全てのゲームシステムはここからアクセスができますよ,This is the Home Screen. You can\r\naccess all the game systems from here.
それでは……お待ちかねの\n「運命の出会いガシャ」にご案内しますね～,Which means... I can teach you about\r\nthe long-awaited 'Fateful Meeting Gacha'~
「運命の出会いガシャ」はプロデューサーさんの\n好きなタイミングで引くことができます,You can pull from the 'Fateful\r\nMeeting Gacha' whenever you choose to.
ただし、１回しか引くことができないので\nタイミングはよく考えましょうね～,But you can only use it once so\r\nplease keep that in mind~
余談ですが、「ほぼ全てのゲーム画面」に\n「？ボタン」が設置されていますよ\nわからないことがあったら、ここで確認をしてくださいね,Please note that almost every game screen\r\nhas a '?' button. If you aren't sure about\r\nsomething you can find info there.
プロデュースで育成したアイドルを\n「フェス」でライブ対戦をすることができます,You can use the idol you raised in\r\nProduce mode in the competitive 'Fes' mode.
「プロデュース」でアイドルを育成した後に\nチャレンジしてみてくださいね,After raising an idol in Produce mode\r\nplease challenge yourself in Fes!
最後に「他のゲームシステム」の説明を\n簡単にしますよ,Last is a brief explanation of\r\nother game systems.
これでチュートリアルは終わりになります\n最高のアイドルをプロデュースするために\nこれから一緒にがんばっていきましょ～,That's the end of the tutorial.\r\nPlease do your best with the idols\r\nand work together to become the greatest!
最後に補足です\n快適なプロデュースのために\nこちらを忘れずにやってくださいね〜,"One final note.\r\nTo enjoy Production more,\r\nplease don't forget to do this~"
やった！,Alright!
日,d
櫻木真乃,Mano S.
風野灯織,Hiori K.
八宮めぐる,Meguru H.
月岡恋鐘,Kogane T.
田中摩美々,Mamimi T.
白瀬咲耶,Sakuya S.
三峰結華,Yuika M.
幽谷霧子,Kiriko Y.
小宮果穂,Kaho K.
園田智代子,Chiyoko S.
西城樹里,Juri S.
杜野凛世,Rinze M.
有栖川夏葉,Natsuha A.
大崎甘奈,Amana O.
大崎甜花,Tenka O.
桑山千雪,Chiyuki K.
芹沢あさひ,Asahi S.
黛冬優子,Fuyuko M.
和泉愛依,Mei I.
浅倉透,Toru A.
樋口円香,Madoka H.
福丸小糸,Koito F.
市川雛菜,Hinana I.
七草にちか,Nichika N.
緋田美琴,Mikoto A.
なまえ,Name
ユニット,Unit
身長,Ht.
スリーサイズ,B/W/T
出身地,POB
趣味,Hobby
特技,Skill
年齢,Age
誕生日,Birth.
体重,Wt.
血液型,Blood
星座,Sign
