title,trans
咲耶と摩美々のぶらり旅,Sakuya & Mamimi's Aimless Trip
指先の煌めき,Sparkling Fingertips
街角フラワーガーデン,Street Corner Flower Garden
シー・イズ,She Is
あのねが言える場所,"A Place I Can Say ""Hey"""
かわいいひと,Cute Person
冬の隙間,The Gaps of Winter
カラフルメタモルフォーゼ,Colorful Metamorphosis
雨色、上機嫌,Rainy Good Mood
お願い、ただの少女がいい,"Just an Ordinary Girl, Please"
Hakoni□a,Hakoni□a
お試し／みつゴコロ,Trial Run/Hidden Heart
それなら目をつぶりましょう,"In That Case, Close Your Eyes"
く　ら　く　ら,D i z z y D i z z y
く ら く ら,Dizzy Dizzy
雨に祝福,Blessed by the Rain
♡コメディ,♡Comedy
ノー・ライフ,No Life
鏡界フィクションレイン,"Mirrored Realm, Fictional Rain"
Good-bye ラブレター,Good-bye Love Letter
待ちぼうけ次回予告,Staying tuned for what's next
IN THE MOOD VOL.3,IN THE MOOD VOL.3
等身大のレイニーデイ,Realistic Rainy Day
賑やか四畳半,Lively 4 ½ Tatami Room
プレゼントなら両手いっぱい,Lots of Presents in My Hands
おはようと日向に手を振る,"""Good Morning"", I Wave to the Sunshine"
心に住む人,The Ones Who Stay in My Heart
一夏・泡沫・ギフテッド,One Summer・Momentary・Gifted
包・帯・組・曲,Band・age・Wrap・Melody
白・白・白・祈,Pure・White・Light・Prayer
雨・雨・電・電,Rain・Rain・Ring・Ring
霧・音・燦・燦,Kiri's・Bright・Sou・nds
我・思・君・思,My・Thoughts・Your・Thoughts
君・空・我・空,Your・Sky・My・Sky
サマーキャンペーン2024,Summer Campaign 2024
マメ丸と一緒！,Together with Mamemaru!
デコって！ハッピークッキー,Decoration! Happy Cookie
第２形態アーマードタイプ,2nd Form Armored Type
新装備・バブルバスター！,"New Equipment, Bubble Buster!"
潮騒のシーショア,Sounds of the Seashore
エクストリーム・ブレイク！,Extreme Break!
放課後スノーガールズ！,HO-KA-GO Snow Girls!
ヒーローインザパーク,Hero In The Park
純真チョコレート,Pure Chocolate
ちょこ色×きらきらロマン,Chocolatey×Sparkling Romance
砂糖づけ・ビターエンド,"Candied, Bitter End"
迷走チョコロード,Straying Off Choco Road
ぐるもこ・まふ×２,Fuzzy and Soft Muffler x2
茜色セレンディピティ,Autumn-Colored Serendipity
サマーアイドル2022,Summer Idol 2022
桜餅マスター……？,Sakura Mochi Master...?
ねぇ、ねぇ、ねぇ,"Nee, Nee, Nee"
バッドガールの羽ばたき,Bad Girl Spreads Her Wings
意地っ張りサンセット,Stubborn Sunset
３名様極楽旅行記,Journey to Paradise for 3
晴れ待ちのひと時,Waiting for the Sun to Shine
SPACE WHAT？,SPACE WHAT?
想ひいろは,The ABCs of Love
凛凛、凛世,Austere-inze
微熱風鈴,Slight Fever Wind Chime
ふらここのうた,Swinging Song
階段式純情昇降機,Up the Elevator of Naivete
杜野凛世の印象派,The Impressionism of Rinze Morino
凛世花伝,Flowering Rinze
水色感情,Light Blue Feelings
十二月短篇,December Story
百色ふぉとぐらふ,Hundred Color Photograph
別冊をとめ,Extra Volume Girl
凛世夕町物語,Rinze's Evening Town Takes
常夏CLIMAX,Summer's Everlasting CLIMAX
日を食んで、夜を啜って,"Eat the Day, Sip the Night"
をとめ条約,Girls' Treaty
ストイックトレーニング,Stoic Training
アルティメットマーメイド,Ultimate Mermaid
メイドインナツハ,Maid In Natsuha
虹待ちレインドロップ,Raindrops Awaiting a Rainbow
スタンド・バイ,Stand By
#ナッツ・チョコジェリー,#Nuts・ChocoJelly
甜花ちゃんといっしょ☆,Together with Tenka☆
スタンバイオッケー,Standby OK
ゆらゆらアクアリウム,Swaying Aquarium
秘密のがんばり,Secret Endurance
光の想い出,Memories of Light
幸せのりんご飴,Candy Apple of Happiness
まだ……寝ないから……,Won't Get Up... Just Yet...
秘密のだらだらタイム,Secret Leisure Time
シンメトリー・プールサイド,Symmetry Poolside
氷上バンビーナ,Bambina on Ice
お日様染めのマリーナ,Sun dyed Marina
ストライク狙って,Shoot for a Strike
事務所。静寂。大輪の華,The Office. The Silence. The Large Brilliant Flower
好きなものはなんですか？,What Do You Like?
四夜一夜物語,Four and One Nights
バス・タイムの気分で,Bath Time Mood
甜ing Room,Ten-ing Room
きみは相棒,You're My Sidekick
甜der Dream Show,Ten-der Dream Show
アイ・セーブ・ユー,I Save You
楽園に背く,Defying Paradise
余白のページ,Blank Page
未来への憧れ,Hopes for the Future
化けストロメリア,Ghostroemeria
彩りファッションドール,Colorful Fashion Doll
身支度はお任せ☆,Leave the Dressing to Me☆
かしまし、みっつの願いごと,"Three Wishes, Joined Together"
トゥインクル・トゥインクル,Twinkle Twinkle
見果てぬ先のアヴァロン,A Yet Unfulfilled Avalon
リトル・スターズ,Little Stars
キュン！とwith us,Kyun! With Us
エンドレス・ゲーム,Endless Game
満開、うまストロメリア,"Full Bloom, Delishtroemeria"
楽しいがたくさん,Lots of Fun
甜花の恩返し,Gratitude of the Tenka
マイフェイバリット,My Favorite
一夏一刻物語,One Summer Story
よそゆき顔のセレナーデ,Formal Look Serenade
ワン・モア・フラワリング,One More Flowering
夏、イエー,"Summer, Yay"
マイ・ピュア・ロマンス,My Pure Romance
シークレット・ヒロイン,Secret Heroine
サマーハニー・シーズン,Summer Honey Season
はるかぜまち、1番地,"Spring Breeze Street, Address No. 1"
秋空と紅葉,The Autumn Sky And Leaves
ハッピー・アイ・スクリーム,Happy I Scream
つよがりのためのララバイ,Lullaby for Courage
ブルーミングハート,Blooming Heart
こころに恋,Love in the Heart
好き、っていうのはね,"What I Mean by ""Love"" is..."
先生のお時間,Teacher's Time
さかさま世界,Upside-Down World
かしゃーんとがらがら,Clatter and Rattle
はり・はり,Glass Dome
ジャンプ！スタッグ！！！,Jump! Stag!!!
空と青とアイツ,"The Sky, Blue, and You"
不機嫌なテーマパーク,Grumpy Theme Park
ムーンライト・ガーデン,Moonlight Garden
腹が減っては遊びはできぬ,Don't Play on an Empty Stomach
頬を照らすのは,The Shine on Your Cheeks
プレゼン・バトン！,Present Baton!
ゴースト・サイド！,Ghost Side!
ザ・冬優子イズム,The Fuyukoism
水×天カイヤナイト,Water×Kyanite Sky
オ♡フ♡レ♡コ,Off♡The♡Record
スパイシーベリィデコレイト,Spicy Berry Decorate
二律背反sweet,Antinomy sweet
気になる！？染めちゃう！？,Whacha Think!? Should I Dye It!?
てへっ♪,Tehe♪
ちょっとあげる～,I'll Give You a Little～
和泉流・書道心得,Izumi Style Calligraphy
なるんじゃん？,Shouldn't We Be?
いるっしょ！,Right Here!
左選んで～！,Choose Left～!
まわるものについて,Things That Go Around and Around
おかえり、ギター,"Welcome Back, Guitar"
聞こえててよ、babe,"Listen to Me, babe"
10個、光,"10, Lights"
途方もない午後,Extraordinary Afternoons
国道沿いに、憶光年,"By the National Highway, Lightyears"
あてもなく、風,"Unwritten Destination, With the Winds"
雪あたりの季節,Sometime Around Winter
かっとばし党の逆襲,Knock-Out Counter-Attack
殴打、その他の夢について,"About Striking, Other's Dreams"
みずになりかけ,Becoming Water
がんばれ！ ノロマ号,Good Luck! Dimwit
チョコレー党、起立！,"ChocoLovers, Assemble!"
かっとばし党の長い夏,Long Summer of Home Runners
ジューンブライド2024,June Bride 2024
ダウト,Doubt
カラメル,Caramel
カラカラカラ,"Clatter, Clatter, Madder"
ギンコ・ビローバ,Ginkgo-Biloba
ピトス・エルピス,Pithos-Elpis
オイサラバエル,"Farewell, Old Age"
バグ・ル,Bug-ly
キン・コン,Moment-Present
フリークス・アリー,Freaks'-Alley
ジャンク・ション,Junk-tion
閑話,Chatter
ダ・カラ,Be-Cause
無色,Colorless
露光,Exposure
游魚,Swimming Fish
雨情,Rainy Scenes
射陽,射陽
洒落,洒落
ハシルウマ,Running Horses
漠漠,Boundless
暑熱,Blistering Heat
水平,Horizon
ワーキングスナップ～デート,Working Snap～Date
はれのひ喫茶店,Clear Day Cafe
ポシェットの中には,Inside the Pochette
てのひらの答え,Palm's Reply
きせつはアイスクリン,Seasonal Ice Cream
しかえし優等生,Repeat Honor Student
翅がみえた,I could see the wings
パーティーのやくそく,Our Promised Party
思い出にもならない,It Won't Be A Memory
傍白のあいだ,Between the Asides
さよならメランコリー,Sayonara Melancholy
一億回めくらいの、その夏,"That Summer, For the One Hundred Millionth Time"
泣けよ洗濯機,"Cry, Washing Machine"
♡まっクろはムウサぎ♡,♡Pitch Black Hamster Rabbit♡
とキどき間氷期,Occasional Interglacial
サマーアイドル2022,Summer Idol 2022
間違いそうだ,There's Been a Mistake
あっかい,Red
連綿と、桜,Everlasting Cherry Blossoms
桜花拾,Picking Cherry Blossoms
２８３プロの日常,283Pro's Daily Life
