text,trans,type
トレーニングチケット,Training ticket,
イルミネーションスターズのキーホルダー,Illumination STARS Keychain,
イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,Slightly increases Illumination STARS Support Idol's bond points,
アンティーカのキーホルダー,L'Antica Keychain,
アンティーカに所属しているサポートアイドルの絆が小アップします,Slightly increases L'Antica Support Idol's bond points,
放課後クライマックスガールズのキーホルダー,Houkago Climax Girls Keychain,
放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,Slightly increases Houkago Climax Girls Support Idol's bond points,
アルストロメリアのキーホルダー,Alstroemeria Keychain,
アルストロメリアに所属しているサポートアイドルの絆が小アップします,Slightly increases Alstroemeria Support Idol's bond points,
ストレイライトのキーホルダー,Straylight Keychain,
ストレイライトに所属しているサポートアイドルの絆が小アップします,Slightly increases Straylight Support Idol's bond points,
ヒーリングタルト(2個入り),Healing Tart (2 included),
使用時プロデュースアイドルの体力が小回復します(プロデュース中2回まで使用可能),When activated it will slightly increase your Produce Idol's Stamina (usable up to 2 times during Produce),
プチテンションアロマ(2個入り),Petit Tension Aroma (2 included),
使用時プロデュースアイドルのテンションが小アップします(プロデュース中2回まで使用可能),When activated it will increase your Produce Idol's Tension slightly (usable up to 2 times during Produce),
テンションアロマ(2個入り),Tension Aroma (2 included),
使用時プロデュースアイドルのテンションが中アップします(プロデュース中2回まで使用可能),When activated it will somewhat increase your Produce Idol's Tension (usable up to 2 times during Produce),
トラブル守り,Trouble Charm,
プロデュース中の失敗＆大失敗で発生するデメリットを1回無効にします,"Will prevent disadvantages from Failure & Catastrophe during Produce once【During Thanks Flapping Day: When a Failure & Catastrophe occurs, you will still get Ideas】",
秘密のメモ帳,Secret Notepad,
プロデュース中に発生するコミュの選択後の結果を見えるようにします,Reveals the result of commu answer that occurs during Produce,
約束のコロン,Promise Cologne,
プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases promise chance during a run slightly (decreases each time a promise occurs, up to four times)",
アルバムの鍵,Album Key,
イベントコミュを解放できるアイテムです,An item to unlock event commu,
アイドルコミュの鍵,Idol Commu Key,
アイドルコミュを解放できるアイテムです,An item to unlock idol commu,
ボーカル基礎知識本,Vocal Basic Knowledge Book,
プロデュース開始時にVocal＋30します,Start production with +30 Vocal,
始まりのメッセージカード,Introductory Message Card,
プロデュース開始時に親愛度＋5します,Start production with +5 Bond,
ダンス基礎知識本,Dance Basic Knowledge Book,
プロデュース開始時にDance＋30します,Start production with +30 Dance,
モーニングコミュパン,Morning Commu Bread,
プロデュース中、シーズン１に限り朝コミュ発生率を小アップします,Slightly increases the chance of getting a morning commu during season 1 in Produce,
ビジュアル基礎知識本,Visual Basic Knowledge Book,
プロデュース開始時にVisual＋30します,Start production with +30 Visual,
リカバリーソーダMAX,Recovery Soda MAX,
スタミナが最大量の同量回復します,Recover the maximum stamina amount,
フェスエントリーチケット5,FES Entry Ticket,
フェス参加権が5回復します,Restores five FES entry points.,
SR以上確定ガシャチケット,Guaranteed SR+ Gacha Ticket,
SR以上確定ガシャが引けるチケットです,A ticket that is guaranteed to give an SR or above reward,
SSR特訓はづきさん（プロデュース）,SSR Evolve Hazuki (Produce),
SSRのプロデュースアイドルを特訓します[お1人様1つまで],Used to evolve an SSR Produce card [Limit 1 per person],
SSR特訓はづきさん（サポート）,SSR Evolve Hazuki (Support),
SSRのサポートアイドルを特訓します[お1人様1つまで],Used to evolve an SSR Support card [Limit 1 per person],
SR特訓はづきさん（プロデュース）,SR Evolve Hazuki (Produce),
SRのプロデュースアイドルを特訓します[お1人様3つまで],Used to evolve an SR Produce card [Limit 3 per person],
SR特訓はづきさん（サポート）,SR Evolve Hazuki (Support),
SRのサポートアイドルを特訓します[お1人様3つまで],Used to evolve an SR Support card [Limit 3 per person],
フェス参加権が1回復します,Restores 1 Fes Entry Point,
283プロのキーホルダー,283Pro Keychain,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップします,Slightly increases all Support Idol's bond points,
283プロのタオル,283Pro Towel,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップします,Moderately increases all Support Idol's bond points,
283プロのTシャツ,283Pro T-Shirt,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が大アップします,Greatly increases all Support Idol's bond points,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が小アップします,Slightly increases Illumination STARS Support Idol's bond points at the start of production,
イルミネーションスターズのTシャツ,Illumination STARS T-Shirt,
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が大アップします,Greatly increases Illumination STARS Support Idol's bond points at the start of production,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が小アップします,Slightly increases L'Antica Support Idol's bond points at the start of production,
アンティーカのTシャツ,L'Antica T-Shirt,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が大アップします,Greatly increases L'Antica Support Idol's bond points at the start of production,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,Slightly increases Houkago Climax Girls Support Idol's bond points at the start of production,
放課後クライマックスガールズのTシャツ,Houkago Climax Girls T-Shirt,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が大アップします,Greatly increases Houkago Climax Girls Support Idol's bond points at the start of production,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が小アップします,Slightly increases Alstroemeria Support Idol's bond points at the start of production,
アルストロメリアのTシャツ,Alstroemeria T-Shirt,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が大アップします,Greatly increases Alstroemeria Support Idol's bond points at the start of production,
ストレイライトのTシャツ,Straylight,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が大アップします,Greatly increases Straylight Support Idol's bond points at the start of production,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が小アップします,Slightly increases Straylight Support Idol's bond points at the start of production,
ヒーリングタルト,Healing Tart,
使用時プロデュースアイドルの体力が小回復します,When activated it will slightly increase your Produce Idol's Stamina ,
ヒーリングタルト(3個入り),Healing Fruit Tart (3 included),
使用時プロデュースアイドルの体力が小回復します(プロデュース中3回まで使用可能),When activated it will somewhat increase your Produce Idol's Stamina (usable up to 3 times during Produce),
ヒーリングフルーツタルト,Healing Fruit Tart,
使用時プロデュースアイドルの体力が中回復します,When activated it will somewhat increase your Produce Idol's Stamina ,
高級ヒーリングフルーツタルト,High Class Healing Tart,
使用時プロデュースアイドルの体力が大回復します,When activated it will greatly increase your Produce Idol's Stamina,
高級ヒーリングフルーツタルト(2個入り),High Class Healing Tart (2 included),
使用時プロデュースアイドルの体力が大回復します(プロデュース中2回まで使用可能),When activated it will greatly increase your Produce Idol's Stamina (usable up to 2 times during Produce),
プチテンションアロマ,Petit Tension Aroma,
使用時プロデュースアイドルのテンションが小アップします,When activated it will increase your Produce Idol's Tension slightly,
テンションアロマ,Tension Aroma,
使用時プロデュースアイドルのテンションが中アップします,When activated it will somewhat increase your Produce Idol's Tension,
トラブル守り(2個入り),Trouble Charm (2 included),
トラブル守り(3個入り),Trouble Charm (3 included),
プロデュース中の失敗＆大失敗で発生するデメリットを2回無効にします,"Will prevent disadvantages from Failure & Catastrophe during Produce up to 2 times【During Thanks Flapping Day: When a Failure & Catastrophe occurs, you will still get Ideas】",
予定変更付箋(3個入り),Schedule Change Sticky Note (3 Copies),
使用時サポートアイドルの配置をランダムで変更します(プロデュース中3回まで使用可能),Randomly change the location of all Support Idols when used (Can use 3 times in a Produce Run),
約束のパルファム,Promise Perfume,
プロデュース中の約束発生率を大アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases promise chance during a run to high (decreases each time a promise occurs, up to four times)",
ボーカル応用知識本,Vocal Application Knowledge Book,
プロデュース開始時にVocal＋60します,Start production with +60 Vocal ,
ダンス応用知識本,Dance Application Knowledge Book,
プロデュース開始時にDance＋60します,Start production with +60 Dance,
ビジュアル応用知識本,Visual Application Knowledge Book,
プロデュース開始時にVisual＋60します,Start production with +60 Visual,
メンタル基礎知識本,Mental Basic Knowledge Book,
プロデュース開始時にメンタル＋30します,Start production with +30 Mental,
スキル基礎知識本,Skill Basic Knowledge Book,
プロデュース開始時にSP＋30します,Start production with +30 SP,
283メモリーアルバム,283 Memory Album,
プロデュース開始時に親愛度＋10します,Start production with +10 Bond,
こんがりモーニングコミュパン,Toasted Morning Commu Bread,
プロデュース中、シーズン１に限り朝コミュ発生率を中アップします,Increases the chance of getting a morning commu during season 1 in Produce,
スペシャルモーニングコミュパン,Special Morning Commu Bread,
プロデュース中、シーズン１に限り朝コミュ発生率を大アップします,Greatly increases the chance of getting a morning commu during season 1 in Produce,
銅の羽根,Copper Feather,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップします,Slightly increases Support Idol in unit at the start of production's bond points,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップします,Slightly increases all Support Idol's bond points,
銀の羽根,Silver Feather,
プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases promise chance during a run slightly (decreases each time a promise occurs, up to four times)",
金の羽根,Gold Feather,
プロデュース開始時に編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Slightly increases all Support Idol's bond points and promises chance during a run (decreases each time a promise occurs, up to four times)",
プロデュース開始時にユニットに編成している全サポートアイドルの絆が極小アップし、プロデュース中の約束発生率を極小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Slightly increases Support Idol in unit at the start of production's bond points and promises chance during a run (decreases each time a promise occurs, up to four times)",
プラチナの羽根,Platinum Feather,
プロデュース開始時に編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Slightly increases all Support Idol's bond points, and increases promises chance during a run (decreases each time a promise occurs, up to four times)",
プロデュース開始時にユニットに編成している全サポートアイドルの絆が小アップし、プロデュース中の約束発生率を小アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Slightly increases Support Idol in unit at the start of production's bond points, and increases promises chance during a run (decreases each time a promise occurs, up to four times)",
虹の羽根,Rainbow Feather,
プロデュース開始時に編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases all Support Idol's bond points and promises chance during a run (decreases each time a promise occurs, up to four times)",
プロデュース開始時にユニットに編成している全サポートアイドルの絆が中アップし、プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),"Increases Support Idol in unit at the start of production's bond points and promises chance during a run (decreases each time a promise occurs, up to four times)",
お手製差し入れ,Handmade Goods,
Exスキルスポイト,Ex Skill Dropper,
Exスキルを外す事ができるアイテムです,An item which can extract an Ex skill,
オーバーキャストモノクローム交換チケット,Overcast Monochrome Exchange Ticket,
オーバーキャストモノクロームと交換できるチケットです,Used in the Overcast Monochrome Exchange Shop,
プチセレクションチケット,Petit Selection Ticket,
集めるとチケット交換で特定のアイドルと交換できるチケットです,Collect and exchange tickets for specific idols in the ticket exchange,
SRのプロデュースアイドルを特訓します,Evolve an SR Produce Idol,
SRのサポートアイドルを特訓します,Evolve an SR Support Idol,
SSRのプロデュースアイドルを特訓します,Evolve an SSR Produce Idol,
SSRのサポートアイドルを特訓します,Evolve an SSR Support Idol,
はづきさんシール,Hazuki-san Seal,
集めると特訓はづきさんと交換できるシールです,Collect and exchange for Evolve Hazuki items,
初心者ミッションS-SRアイドル確定ガシャチケット,Beginner Mission S-SR guaranteed gacha ticket,
初心者ミッションS-SRアイドル確定ガシャが引けるチケットです\nさらにSRのサポートアイドルを特訓できるアイテムも貰えます,You can earn an S-SR guaranteed gacha ticket\r\nYou can also receive items that can train SR Support Idols,
初心者ミッションSSR20%Pアイドル確定ガシャチケット,Beginner Mission 20% P-SSR Gacha Ticket,
初心者ミッションSSR20%Pアイドル確定ガシャが引けるチケットです,You can earn a 20% P-SSR gacha ticket,
初心者ミッション10連ガシャチケット,Beginner Mission 10-Pull Gacha Ticket,
初心者ミッション10連ガシャが引けるチケットです,A 10-pull ticket that can be earned from beginner missions,
ユニット別SR以上確定ガシャチケット,Guaranteed SR+ Unit Gacha Ticket,
ユニット別SR以上確定ガシャが引けるチケットです,Receive a guaranteed SR+ unit gacha ticket,
セレクションチケットパッケージ10連ガシャチケット,Selection Ticket 10-Roll Gacha Package,
セレクションチケットパッケージ10連ガシャが引けるチケットです,A package that contains a selection ticket and a 10-roll gacha ticket,
283くじ10連ガシャチケット,283 Lottery 10-roll Gacha Ticket,
283くじ10連ガシャが引けるチケットです,Receive a 10-roll Gacha Ticket and 283 Lottery Ticket,
イルミネSR以上確定ガシャチケット,Illumination STARS SR+ Gacha Ticket,
イルミネSR以上確定ガシャが引けるチケットです,Receive an Illumination STARS SR+ Gacha Ticket,
アンティーカSR以上確定ガシャチケット,L'Antica SR+ Gacha Ticket,
アンティーカSR以上確定ガシャが引けるチケットです,Receive a L'Antica SR+ Gacha Ticket,
放クラSR以上確定ガシャチケット,Afterschool Climax Girls SR+ Gacha Ticket,
放クラSR以上確定ガシャが引けるチケットです,Receive an Afterschool Climax Girls SR+ Gacha Ticket,
アルストSR以上確定ガシャチケット,Alstromeria SR+ Gacha Ticket,
アルストSR以上確定ガシャが引けるチケットです,Receive an Alstromeria SR+ Gacha Ticket,
SSR7％ガシャチケット,SSR7% Gacha Ticket,
SSR7％ガシャが引けるチケットです,Ticket that lets you draw the SSR7% gacha,
SSR10％ガシャチケット,SSR10% Gacha Ticket,
SSR10％ガシャが引けるチケットです,Ticket that lets you draw the SSR10% gacha,
SSR15％ガシャチケット,SSR15% Gacha Ticket,
SSR15％ガシャが引けるチケットです,Ticket that lets you draw the SSR15% gacha,
対象のSRプロデュースアイドルを選んで獲得できるチケットです,A ticket that allows you to select a specific SR Produce Idol,
[月2個まで購入可能],[Up to 2 purchases per month],limit
[月5個まで購入可能],[Up to 5 purchases per month],limit
[月10個まで購入可能],[Up to 10 purchases per month],limit
[月25個まで購入可能],[Up to 25 purchases per month],limit
[月100個まで購入可能],[Up to 100 purchases per month],limit
[月3個まで購入可能],[Up to 3 purchases per month],limit
[月1個まで購入可能],[Up to 1 purchase per month],limit
[お1人様5個まで],[Up to 5 per person],limit
[お1人様3個まで],[Up to 3 per person],limit
[お1人様1個まで],[Up to 1 per person],limit
[お1人様5つまで],[Up to 5 per person],limit
[お1人様3つまで],[Up to 3 per person],limit
[お1人様2つまで],[Up to 2 per person],limit
[お1人様1つまで],[Up to 1 per person],limit
[毎日1個まで購入可能],[Up to 1 purchase per day],limit
[毎日2個まで購入可能],[Up to 2 purchases per day],limit
[毎日3個まで購入可能],[Up to 3 purchases per day],limit
[毎日10個まで購入可能],[Up to 10 purchases per day],limit
2個入り,2 included,note
3個入り,3 included,note
2冊入り,2 included,note
3冊入り,3 included,note
プロデュース,Produce,note
サポート,Support,note
プロデュース中2回まで使用可能,Usable up to 2 times during Produce,note
プロデュース中3回まで使用可能,Usable up to 3 times during Produce,note
効果量は約束発生毎に減少し4回で効果がなくなる,"The effect decreases with each promise occurrence, and stops after 4 promises",note
