ja,zh
アンティーカ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう,アンティーカ全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう
アンティーカ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう,アンティーカ全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう
アンティーカ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう,アンティーカ全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう
アンティーカ全員を編成して、HARD以上のフェスリハーサルで1位になろう,アンティーカ全員を編成して、HARD以上のフェスリハーサルで1位になろう
【高難易度】アンティーカ全員を編成して、VERYHARDのフェスリハーサルで1位になろう,【高難易度】アンティーカ全員を編成して、VERYHARDのフェスリハーサルで1位になろう
アルストロメリア全員を編成して、NORMAL以上のフェスに参加しよう,アルストロメリア全員を編成して、NORMAL以上のフェスに参加しよう
アルストロメリア全員を編成して、NORMAL以上のフェスに5回参加しよう,アルストロメリア全員を編成して、NORMAL以上のフェスに5回参加しよう
アルストロメリア全員を編成して、フェスリハーサルで1位になろう,アルストロメリア全員を編成して、フェスリハーサルで1位になろう
アルストロメリア全員を編成して、フェスリハーサルで1位に3回なろう,アルストロメリア全員を編成して、フェスリハーサルで1位に3回なろう
アルストロメリア全員を編成して、NORMAL以上のフェスリハーサルで1位になろう,アルストロメリア全員を編成して、NORMAL以上のフェスリハーサルで1位になろう
アルストロメリア全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう,アルストロメリア全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう
アルストロメリア全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう,アルストロメリア全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう
アルストロメリア全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう,アルストロメリア全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう
アルストロメリア全員を編成して、HARD以上のフェスリハーサルで1位になろう,アルストロメリア全員を編成して、HARD以上のフェスリハーサルで1位になろう
ストレイライト全員を編成して、NORMAL以上のフェスに参加しよう,ストレイライト全員を編成して、NORMAL以上のフェスに参加しよう
ストレイライト全員を編成して、NORMAL以上のフェスに5回参加しよう,ストレイライト全員を編成して、NORMAL以上のフェスに5回参加しよう
ストレイライト全員を編成して、フェスリハーサルで1位になろう,ストレイライト全員を編成して、フェスリハーサルで1位になろう
ストレイライト全員を編成して、フェスリハーサルで1位に3回なろう,ストレイライト全員を編成して、フェスリハーサルで1位に3回なろう
ストレイライト全員を編成して、NORMAL以上のフェスリハーサルで1位になろう,ストレイライト全員を編成して、NORMAL以上のフェスリハーサルで1位になろう
ストレイライト全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう,ストレイライト全員を編成して、HARD以上のフェスリハーサルでパーフェクトを3回達成しよう
ストレイライト全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう,ストレイライト全員を編成して、HARD以上のフェスリハーサルでがっちりアピールを3回達成しよう
ストレイライト全員を編成して、HARD以上のフェスリハーサルで1位になろう,ストレイライト全員を編成して、HARD以上のフェスリハーサルで1位になろう
【高難易度】放課後クライマックスガールズ全員を編成して、VERYHARDのフェスリハーサルで1位になろう,【高難易度】放課後クライマックスガールズ全員を編成して、VERYHARDのフェスリハーサルで1位になろう
【高難易度】アルストロメリア全員を編成して、VERYHARDのフェスリハーサルで1位になろう,【高難易度】アルストロメリア全員を編成して、VERYHARDのフェスリハーサルで1位になろう
ストレイライト全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう,ストレイライト全員を編成して、HARD以上のフェスリハーサルでリンクアピールを達成しよう
【高難易度】ストレイライト全員を編成して、VERYHARDのフェスリハーサルで1位になろう,【高難易度】ストレイライト全員を編成して、VERYHARDのフェスリハーサルで1位になろう
プラチナトレーニングチケット,プラチナトレーニングチケット
営業をしよう,営業をしよう
お手製差し入れ,お手製差し入れ
営業を10回しよう,営業を10回しよう
営業を50回しよう,営業を50回しよう
営業を100回しよう,営業を100回しよう
営業を283回しよう,営業を283回しよう
営業を412回しよう,営業を412回しよう
営業を1000回しよう,営業を1000回しよう
櫻木真乃のファンを累計で1000人獲得しよう,櫻木真乃のファンを累計で1000人獲得しよう
風野灯織のファンを累計で1000人獲得しよう,風野灯織のファンを累計で1000人獲得しよう
八宮めぐるのファンを累計で1000人獲得しよう,八宮めぐるのファンを累計で1000人獲得しよう
月岡恋鐘のファンを累計で1000人獲得しよう,月岡恋鐘のファンを累計で1000人獲得しよう
田中摩美々のファンを累計で1000人獲得しよう,田中摩美々のファンを累計で1000人獲得しよう
白瀬咲耶のファンを累計で1000人獲得しよう,白瀬咲耶のファンを累計で1000人獲得しよう
三峰結華のファンを累計で1000人獲得しよう,三峰結華のファンを累計で1000人獲得しよう
幽谷霧子のファンを累計で1000人獲得しよう,幽谷霧子のファンを累計で1000人獲得しよう
小宮果穂のファンを累計で1000人獲得しよう,小宮果穂のファンを累計で1000人獲得しよう
園田智代子のファンを累計で1000人獲得しよう,園田智代子のファンを累計で1000人獲得しよう
西城樹里のファンを累計で1000人獲得しよう,西城樹里のファンを累計で1000人獲得しよう
杜野凛世のファンを累計で1000人獲得しよう,杜野凛世のファンを累計で1000人獲得しよう
有栖川夏葉のファンを累計で1000人獲得しよう,有栖川夏葉のファンを累計で1000人獲得しよう
大崎甘奈のファンを累計で1000人獲得しよう,大崎甘奈のファンを累計で1000人獲得しよう
大崎甜花のファンを累計で1000人獲得しよう,大崎甜花のファンを累計で1000人獲得しよう
桑山千雪のファンを累計で1000人獲得しよう,桑山千雪のファンを累計で1000人獲得しよう
芹沢あさひのファンを累計で1000人獲得しよう,芹沢あさひのファンを累計で1000人獲得しよう
黛冬優子のファンを累計で1000人獲得しよう,黛冬優子のファンを累計で1000人獲得しよう
和泉愛依のファンを累計で1000人獲得しよう,和泉愛依のファンを累計で1000人獲得しよう
櫻木真乃のファンを累計で1000人獲得しよう,櫻木真乃のファンを累計で1000人獲得しよう
風野灯織のファンを累計で1000人獲得しよう,風野灯織のファンを累計で1000人獲得しよう
八宮めぐるのファンを累計で1000人獲得しよう,八宮めぐるのファンを累計で1000人獲得しよう
月岡恋鐘のファンを累計で1000人獲得しよう,月岡恋鐘のファンを累計で1000人獲得しよう
田中摩美々のファンを累計で1000人獲得しよう,田中摩美々のファンを累計で1000人獲得しよう
白瀬咲耶のファンを累計で1000人獲得しよう,白瀬咲耶のファンを累計で1000人獲得しよう
三峰結華のファンを累計で1000人獲得しよう,三峰結華のファンを累計で1000人獲得しよう
幽谷霧子のファンを累計で1000人獲得しよう,幽谷霧子のファンを累計で1000人獲得しよう
小宮果穂のファンを累計で1000人獲得しよう,小宮果穂のファンを累計で1000人獲得しよう
園田智代子のファンを累計で1000人獲得しよう,園田智代子のファンを累計で1000人獲得しよう
西城樹里のファンを累計で1000人獲得しよう,西城樹里のファンを累計で1000人獲得しよう
杜野凛世のファンを累計で1000人獲得しよう,杜野凛世のファンを累計で1000人獲得しよう
有栖川夏葉のファンを累計で1000人獲得しよう,有栖川夏葉のファンを累計で1000人獲得しよう
大崎甘奈のファンを累計で1000人獲得しよう,大崎甘奈のファンを累計で1000人獲得しよう
大崎甜花のファンを累計で1000人獲得しよう,大崎甜花のファンを累計で1000人獲得しよう
桑山千雪のファンを累計で1000人獲得しよう,桑山千雪のファンを累計で1000人獲得しよう
芹沢あさひのファンを累計で1000人獲得しよう,芹沢あさひのファンを累計で1000人獲得しよう
黛冬優子のファンを累計で1000人獲得しよう,黛冬優子のファンを累計で1000人獲得しよう
和泉愛依のファンを累計で1000人獲得しよう,和泉愛依のファンを累計で1000人獲得しよう
ファンを累計で1人獲得しよう,ファンを累計で1人獲得しよう
ファンを累計で3人獲得しよう,ファンを累計で3人獲得しよう
リカバリーソーダ1/4,リカバリーソーダ1/4
スタミナが最大量の1/4回復します,スタミナが最大量の1/4回復します
ファンを累計で5人獲得しよう,ファンを累計で5人獲得しよう
ファンを累計で10人獲得しよう,ファンを累計で10人獲得しよう
ファンを累計で30人獲得しよう,ファンを累計で30人獲得しよう
フェスエントリーチケット,フェスエントリーチケット
フェス参加権が1回復します,フェス参加権が1回復します
ファンを累計で50人獲得しよう,ファンを累計で50人獲得しよう
ファンを累計で100人獲得しよう,ファンを累計で100人獲得しよう
ファンを累計で300人獲得しよう,ファンを累計で300人獲得しよう
リカバリーソーダ1/2,リカバリーソーダ1/2
スタミナが最大量の1/2回復します,スタミナが最大量の1/2回復します
ファンを累計で500人獲得しよう,ファンを累計で500人獲得しよう
ファンを累計で3000人獲得しよう,ファンを累計で3000人獲得しよう
ファンを累計で5000人獲得しよう,ファンを累計で5000人獲得しよう
ファンを累計で3億人獲得しよう,ファンを累計で3億人獲得しよう
ファンを累計で5億人獲得しよう,ファンを累計で5億人獲得しよう
櫻木真乃の思い出レベルを3にしよう,櫻木真乃の思い出レベルを3にしよう
櫻木真乃の思い出レベルを4にしよう,櫻木真乃の思い出レベルを4にしよう
櫻木真乃の思い出レベルを5にしよう,櫻木真乃の思い出レベルを5にしよう
風野灯織の思い出レベルを3にしよう,風野灯織の思い出レベルを3にしよう
風野灯織の思い出レベルを4にしよう,風野灯織の思い出レベルを4にしよう
風野灯織の思い出レベルを5にしよう,風野灯織の思い出レベルを5にしよう
八宮めぐるの思い出レベルを3にしよう,八宮めぐるの思い出レベルを3にしよう
月岡恋鐘の思い出レベルを3にしよう,月岡恋鐘の思い出レベルを3にしよう
田中摩美々の思い出レベルを3にしよう,田中摩美々の思い出レベルを3にしよう
幽谷霧子の思い出レベルを3にしよう,幽谷霧子の思い出レベルを3にしよう
幽谷霧子の思い出レベルを4にしよう,幽谷霧子の思い出レベルを4にしよう
小宮果穂の思い出レベルを3にしよう,小宮果穂の思い出レベルを3にしよう
園田智代子の思い出レベルを3にしよう,園田智代子の思い出レベルを3にしよう
園田智代子の思い出レベルを4にしよう,園田智代子の思い出レベルを4にしよう
西城樹里の思い出レベルを3にしよう,西城樹里の思い出レベルを3にしよう
西城樹里の思い出レベルを4にしよう,西城樹里の思い出レベルを4にしよう
杜野凛世の思い出レベルを3にしよう,杜野凛世の思い出レベルを3にしよう
杜野凛世の思い出レベルを4にしよう,杜野凛世の思い出レベルを4にしよう
芹沢あさひの思い出レベルを3にしよう,芹沢あさひの思い出レベルを3にしよう
フェスを10回プレイしよう,フェスを10回プレイしよう
フェスを30回プレイしよう,フェスを30回プレイしよう
フェスを50回プレイしよう,フェスを50回プレイしよう
フェスを100回プレイしよう,フェスを100回プレイしよう
フェスを283回プレイしよう,フェスを283回プレイしよう
フェスを1000回プレイしよう,フェスを1000回プレイしよう
フェスで30回勝利しよう,フェスで30回勝利しよう
フェスで50回勝利しよう,フェスで50回勝利しよう
フェスで100回勝利しよう,フェスで100回勝利しよう
フェスで412回勝利しよう,フェスで412回勝利しよう
フェスで1000回勝利しよう,フェスで1000回勝利しよう
フェスでラストアピールを達成しよう,フェスでラストアピールを達成しよう
「ラストアピール」：ラストアピールボーナスを獲得する,「ラストアピール」：ラストアピールボーナスを獲得する
フェスでラストアピールを10回達成しよう,フェスでラストアピールを10回達成しよう
フェスでラストアピールを100回達成しよう,フェスでラストアピールを100回達成しよう
フェスでラストアピールを1000回達成しよう,フェスでラストアピールを1000回達成しよう
フェスでトップアピールを達成しよう,フェスでトップアピールを達成しよう
「トップアピール」：トップアピールボーナスを獲得する,「トップアピール」：トップアピールボーナスを獲得する
フェスでトップアピールを10回達成しよう,フェスでトップアピールを10回達成しよう
フェスでトップアピールを100回達成しよう,フェスでトップアピールを100回達成しよう
フェスでトップアピールを1000回達成しよう,フェスでトップアピールを1000回達成しよう
フェスでがっちりアピールを達成しよう,フェスでがっちりアピールを達成しよう
フェスでがっちりアピールを10回達成しよう,フェスでがっちりアピールを10回達成しよう
フェスでがっちりアピールを100回達成しよう,フェスでがっちりアピールを100回達成しよう
フェスでがっちりアピールを1000回達成しよう,フェスでがっちりアピールを1000回達成しよう
フェスでプロ根性を達成しよう,フェスでプロ根性を達成しよう
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「プロ根性」：メンタルが極小時にパーフェクトアピールを行う
フェスでプロ根性を5回達成しよう,フェスでプロ根性を5回達成しよう
フェスでプロ根性を10回達成しよう,フェスでプロ根性を10回達成しよう
フェスでプロ根性を30回達成しよう,フェスでプロ根性を30回達成しよう
SR以上確定ガシャチケット,SR以上確定ガシャチケット
SR以上確定ガシャが引けるチケットです,SR以上確定ガシャが引けるチケットです
フェスを412回プレイしよう,フェスを412回プレイしよう
フェスで10回勝利しよう,フェスで10回勝利しよう
フェスで283回勝利しよう,フェスで283回勝利しよう
グレードフェスをプレイしよう,グレードフェスをプレイしよう
グレードフェスを10回プレイしよう,グレードフェスを10回プレイしよう
グレードフェスを100回プレイしよう,グレードフェスを100回プレイしよう
グレードフェスを283回プレイしよう,グレードフェスを283回プレイしよう
グレードフェスを412回プレイしよう,グレードフェスを412回プレイしよう
グレードフェスで勝利しよう,グレードフェスで勝利しよう
グレードフェスで10回勝利しよう,グレードフェスで10回勝利しよう
グレードフェスで100回勝利しよう,グレードフェスで100回勝利しよう
グレードフェスで283回勝利しよう,グレードフェスで283回勝利しよう
グレードフェスで412回勝利しよう,グレードフェスで412回勝利しよう
天井社長からの指令8,天井社長からの指令8
フェスの極意は、最後まで逆転を諦めないことだ,フェスの極意は、最後まで逆転を諦めないことだ
イルミネーションスターズのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,イルミネーションスターズのメンバーを全員入れたデッキでフェスアイドルを誕生させよう
放課後クライマックスガールズ のメンバーを全員入れたデッキでフェスアイドルを誕生させよう,放課後クライマックスガールズ のメンバーを全員入れたデッキでフェスアイドルを誕生させよう
シーズン1をクリアしよう,シーズン1をクリアしよう
シーズン2をクリアしよう,シーズン2をクリアしよう
シーズン3をクリアしよう,シーズン3をクリアしよう
フェスアイドルを5人誕生させよう,フェスアイドルを5人誕生させよう
フェスアイドルを412人誕生させよう,フェスアイドルを412人誕生させよう
天井社長からの指令1,天井社長からの指令1
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,「その……会話ってどうすれば\n盛り上がるんでしょうか……？」
天井社長からの指令3,天井社長からの指令3
「コミュニケーションは\n節度を持って、ですよ？」,「コミュニケーションは\n節度を持って、ですよ？」
天井社長からの指令4,天井社長からの指令4
初心にかえって研鑽を積み、羽ばたくんだ！,初心にかえって研鑽を積み、羽ばたくんだ！
和泉愛依の思い出レベルを3にしよう,和泉愛依の思い出レベルを3にしよう
和泉愛依の思い出レベルを4にしよう,和泉愛依の思い出レベルを4にしよう
和泉愛依の思い出レベルを5にしよう,和泉愛依の思い出レベルを5にしよう
黛冬優子の思い出レベルを3にしよう,黛冬優子の思い出レベルを3にしよう
黛冬優子の思い出レベルを4にしよう,黛冬優子の思い出レベルを4にしよう
黛冬優子の思い出レベルを5にしよう,黛冬優子の思い出レベルを5にしよう
芹沢あさひの思い出レベルを4にしよう,芹沢あさひの思い出レベルを4にしよう
芹沢あさひの思い出レベルを5にしよう,芹沢あさひの思い出レベルを5にしよう
八宮めぐるの思い出レベルを4にしよう,八宮めぐるの思い出レベルを4にしよう
八宮めぐるの思い出レベルを5にしよう,八宮めぐるの思い出レベルを5にしよう
月岡恋鐘の思い出レベルを4にしよう,月岡恋鐘の思い出レベルを4にしよう
月岡恋鐘の思い出レベルを5にしよう,月岡恋鐘の思い出レベルを5にしよう
田中摩美々の思い出レベルを4にしよう,田中摩美々の思い出レベルを4にしよう
田中摩美々の思い出レベルを5にしよう,田中摩美々の思い出レベルを5にしよう
白瀬咲耶の思い出レベルを3にしよう,白瀬咲耶の思い出レベルを3にしよう
白瀬咲耶の思い出レベルを4にしよう,白瀬咲耶の思い出レベルを4にしよう
白瀬咲耶の思い出レベルを5にしよう,白瀬咲耶の思い出レベルを5にしよう
三峰結華の思い出レベルを3にしよう,三峰結華の思い出レベルを3にしよう
三峰結華の思い出レベルを4にしよう,三峰結華の思い出レベルを4にしよう
三峰結華の思い出レベルを5にしよう,三峰結華の思い出レベルを5にしよう
幽谷霧子の思い出レベルを5にしよう,幽谷霧子の思い出レベルを5にしよう
小宮果穂の思い出レベルを4にしよう,小宮果穂の思い出レベルを4にしよう
小宮果穂の思い出レベルを5にしよう,小宮果穂の思い出レベルを5にしよう
園田智代子の思い出レベルを5にしよう,園田智代子の思い出レベルを5にしよう
西城樹里の思い出レベルを5にしよう,西城樹里の思い出レベルを5にしよう
杜野凛世の思い出レベルを5にしよう,杜野凛世の思い出レベルを5にしよう
有栖川夏葉の思い出レベルを3にしよう,有栖川夏葉の思い出レベルを3にしよう
有栖川夏葉の思い出レベルを4にしよう,有栖川夏葉の思い出レベルを4にしよう
有栖川夏葉の思い出レベルを5にしよう,有栖川夏葉の思い出レベルを5にしよう
大崎甘奈の思い出レベルを3にしよう,大崎甘奈の思い出レベルを3にしよう
大崎甘奈の思い出レベルを4にしよう,大崎甘奈の思い出レベルを4にしよう
大崎甘奈の思い出レベルを5にしよう,大崎甘奈の思い出レベルを5にしよう
大崎甜花の思い出レベルを3にしよう,大崎甜花の思い出レベルを3にしよう
大崎甜花の思い出レベルを4にしよう,大崎甜花の思い出レベルを4にしよう
大崎甜花の思い出レベルを5にしよう,大崎甜花の思い出レベルを5にしよう
桑山千雪の思い出レベルを3にしよう,桑山千雪の思い出レベルを3にしよう
桑山千雪の思い出レベルを4にしよう,桑山千雪の思い出レベルを4にしよう
桑山千雪の思い出レベルを5にしよう,桑山千雪の思い出レベルを5にしよう
天井社長からの指令12,天井社長からの指令12
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆
天井社長からの指令5,天井社長からの指令5
ずっと、ずっと、お傍においてくださいませ……,ずっと、ずっと、お傍においてくださいませ……
天井社長からの指令10,天井社長からの指令10
白い翼を持ったアイドルで、パラダイスを制することができるか？,白い翼を持ったアイドルで、パラダイスを制することができるか？
天井社長からの指令11,天井社長からの指令11
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,繰り返し限界を超え、絶対に折れない心を手に入れるんだ
天井社長からの指令7,天井社長からの指令7
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！
天井社長からの指令9,天井社長からの指令9
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ
天井社長からの指令6,天井社長からの指令6
パラダイスを制する……魅惑的な響きだと思わないか？,パラダイスを制する……魅惑的な響きだと思わないか？
天井社長からの指令2,天井社長からの指令2
「光り輝くアイドルの誕生だ」,「光り輝くアイドルの誕生だ」
アンティーカのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,アンティーカのメンバーを全員入れたデッキでフェスアイドルを誕生させよう
アルストロメリアのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,アルストロメリアのメンバーを全員入れたデッキでフェスアイドルを誕生させよう
【期間限定】営業を1回しよう,【期間限定】営業を1回しよう
【白いツバサ】芹沢 あさひ,【白いツバサ】芹沢 あさひ
【白いツバサ】黛 冬優子,【白いツバサ】黛 冬優子
【白いツバサ】和泉 愛依,【白いツバサ】和泉 愛依
【期間限定】芹沢あさひのファンを累計で1000人獲得しよう,【期間限定】芹沢あさひのファンを累計で1000人獲得しよう
【期間限定】芹沢あさひのファンを累計で10000人獲得しよう,【期間限定】芹沢あさひのファンを累計で10000人獲得しよう
オーバーキャストモノクローム交換チケット,オーバーキャストモノクローム交換チケット
オーバーキャストモノクロームと交換できるチケットです,オーバーキャストモノクロームと交換できるチケットです
【期間限定】芹沢あさひの思い出レベルを2にしよう,【期間限定】芹沢あさひの思い出レベルを2にしよう
【期間限定】芹沢あさひのファンを累計で50000人獲得しよう,【期間限定】芹沢あさひのファンを累計で50000人獲得しよう
【期間限定】黛冬優子のファンを累計で1000人獲得しよう,【期間限定】黛冬優子のファンを累計で1000人獲得しよう
【期間限定】黛冬優子のファンを累計で10000人獲得しよう,【期間限定】黛冬優子のファンを累計で10000人獲得しよう
【期間限定】黛冬優子のファンを累計で50000人獲得しよう,【期間限定】黛冬優子のファンを累計で50000人獲得しよう
【期間限定】和泉愛依のファンを累計で1000人獲得しよう,【期間限定】和泉愛依のファンを累計で1000人獲得しよう
【期間限定】サポートアイドルをトレーニングしよう,【期間限定】サポートアイドルをトレーニングしよう
【期間限定】ゲームにログインしよう,【期間限定】ゲームにログインしよう
ゲームにログインしよう,ゲームにログインしよう
283くじ,283くじ
283くじの抽選が受けれるチケットです。,283くじの抽選が受けれるチケットです。
