comment,trans
父の仕事の手伝い,父の仕事の手伝い
すべて,すべて
すべて,すべて
すべて,すべて
すべて,すべて
スカウト,Scouted
メガネ,メガネ
父、母、兄、弟、猫,父、母、兄、弟、猫
家族仲、兄弟仲は良好,家族仲、兄弟仲は良好
チーズバーガー,Cheeseburger
特になし,特になし
ステージの眩しさ,ステージの眩しさ
一人暮らし,一人暮らし
猫を見たら極力写真を撮る,猫を見たら極力写真を撮る
何事もほどほどに,All things in moderation
振り、立ち位置の最終確認,振り、立ち位置の最終確認
猫,猫
虫,虫
ストレッチ,ストレッチ
苦手,苦手
おしゃれ,おしゃれ
王子様,王子様
落ち着いている,落ち着いている
床で寝落ち,床で寝落ち
冬,冬
特になし,特になし
遊園地のスタッフ,遊園地のスタッフ
性格,性格
髪,髪
お茶目さ,お茶目さ
笑顔,笑顔
オーディション,Audition
よく笑うところ,よく笑うところ
父、母、兄,父、母、兄
両親は医者,両親は医者
恋鐘の手料理,恋鐘の手料理
特になし,特になし
とても綺麗にしてもらえること,とても綺麗にしてもらえること
実家,実家
翌日の準備をしてから寝る,翌日の準備をしてから寝る
身の周りをいつもきれいに,Always leave a place better than you found it
一呼吸おいて心臓の音を聞く,一呼吸おいて心臓の音を聞く
全般,全般
特になし,特になし
植物の水やり,植物の水やり
華やか,華やか
凛としている,凛としている
優しい,優しい
姉のよう,姉のよう
鉛筆削り,鉛筆削り
春夏秋冬,春夏秋冬
特になし,特になし
煙突掃除をする人,煙突掃除をする人
笑顔,笑顔
声,声
身のこなし,身のこなし
気配りができるところ,気配りができるところ
スカウト,Scouted
人懐っこさ,人懐っこさ
父、母、兄、犬,父、母、兄、犬
兄は大学生（実家通い）,兄は大学生（実家通い）
カレー、ハンバーグ、ドリア、コロッケ,カレー、ハンバーグ、ドリア、コロッケ
牛乳,牛乳
朝でも夜でも「おはようございます」と言うこと,朝でも夜でも「おはようございます」と言うこと
実家,実家
挨拶だけでもちゃんとする,挨拶だけでもちゃんとする
かくごを決める,Be resolute
メンバーとの円陣,メンバーとの円陣
犬,犬
特になし,特になし
ペットの散歩,ペットの散歩
明るいお姉さん,明るいお姉さん
かっこいいお姉さん,かっこいいお姉さん
大和撫子,大和撫子
大人のお姉さん,大人のお姉さん
ペットと遊ぶ,ペットと遊ぶ
夏,夏
冬,冬
ヒーロー,ヒーロー
お団子にした髪,お団子にした髪
金髪,金髪
着物,着物
大人っぽい服,大人っぽい服
オーディション・スカウト,Audition & Scouted
目,目
父、母、弟,父、母、弟
家族は手作りグッズを持ってライブに参加,家族は手作りグッズを持ってライブに参加
チョコ,チョコ
パクチー,パクチー
差し入れ選びの難しさ,差し入れ選びの難しさ
実家,実家
食事は極力残さない,食事は極力残さない
やらない後悔よりやって後悔,Regreting your actions is better than regretting your inactions
気合いを入れる,気合いを入れる
パンダ,パンダ
虫,虫
就寝前に翌日やることをまとめる,就寝前に翌日やることをまとめる
背が高い,背が高い
かっこいい、同い年の子,かっこいい、同い年の子
大和撫子,大和撫子
大人の女性,大人の女性
特になし,特になし
冬,冬
特になし,特になし
パン販売店の店員,パン販売店の店員
笑顔,笑顔
八重歯,八重歯
ノリのよさ,ノリのよさ
行動力,行動力
スカウト,Scouted
不明,不明
父、母、兄,父、母、兄
たまに兄と連絡を取り合っている,たまに兄と連絡を取り合っている
商店街の精肉店のコロッケ,商店街の精肉店のコロッケ
特になし,特になし
自分を気にかけてくれる人がたくさんいること,自分を気にかけてくれる人がたくさんいること
寮,寮
相手の気持ちになって考える,相手の気持ちになって考える
一期一会,You only live once
メンバーとの円陣,メンバーとの円陣
特になし,特になし
大きい動物,大きい動物
ジョギング,ジョギング
元気,元気
明るくて元気,明るくて元気
おしとやか,おしとやか
少し世間知らずなお嬢様,少し世間知らずなお嬢様
特になし,特になし
春,春
特になし,特になし
特になし,特になし
いつも一生懸命なところ,いつも一生懸命なところ
優しくて気遣い上手,優しくて気遣い上手
おちゃめなところ,おちゃめなところ
素直なところ,素直なところ
スカウト,Scouted
生真面目なところ,生真面目なところ
父、母、祖父、祖母、兄、兄、姉、妹,父、母、祖父、祖母、兄、兄、姉、妹
手紙を送り合っている,手紙を送り合っている
コロッケ、カップ麺,コロッケ、カップ麺
特になし,特になし
世界の広さ,世界の広さ
寮,寮
礼儀を忘れない,礼儀を忘れない
初志貫徹,Always see things through
メンバーと話す,メンバーと話す
亀,亀
特になし,特になし
少女漫画を読む,少女漫画を読む
元気,元気
優しい、話しやすい,優しい、話しやすい
かっこいい,かっこいい
大人の女性,大人の女性
特になし,特になし
夏,夏
特になし,特になし
特になし,特になし
好奇心旺盛なところ,好奇心旺盛なところ
気遣い上手なところ,気遣い上手なところ
優しいところ,優しいところ
ストイックなところ,ストイックなところ
オーディション,Audition
心,心
父、母、兄、犬,父、母、兄、犬
放クラが掲載されている雑誌等はすべて購入している,放クラが掲載されている雑誌等はすべて購入している
栄養価の高い食べ物,栄養価の高い食べ物
特になし,特になし
自分の視野の狭さ,自分の視野の狭さ
一人暮らし,一人暮らし
やれることは今日やる,やれることは今日やる
ローマは一日にして成らず,Rome wasn't built in a day
ウォーミングアップ,ウォーミングアップ
犬,犬
特になし,特になし
ストレッチ、白湯を飲む、朝の運動からのシャワー（ヘアケア・スキンケア）,ストレッチ、白湯を飲む、朝の運動からのシャワー（ヘアケア・スキンケア）
元気,元気
可愛らしい,可愛らしい
ライバル,ライバル
しとやか,しとやか
髪を払う,髪を払う
夏,夏
特になし,特になし
自分にしかできないことをする,自分にしかできないことをする
笑顔,笑顔
動き,動き
目,目
お茶目さ,お茶目さ
オーディション,Audition
様々なタイプの服が似合う,様々なタイプの服が似合う
父、母、姉,父、母、姉
家族仲は良好,家族仲は良好
プリン、ハンバーグ,プリン、ハンバーグ
辛いもの,辛いもの
仕事の幅の広さ,仕事の幅の広さ
実家,実家
買い物の際は本当に自分に必要なものかどうかを考える,買い物の際は本当に自分に必要なものかどうかを考える
今を、一生懸命に,Live in the present
心を落ち着けるおまじないをかける,心を落ち着けるおまじないをかける
猫,猫
へび,へび
ファッション雑誌のチェック、スイーツの情報集め,ファッション雑誌のチェック、スイーツの情報集め
可愛い,可愛い
しっかりしていそう、優しそう,しっかりしていそう、優しそう
ネイルを見つめる,ネイルを見つめる
秋,秋
特になし,特になし
特になし,特になし
得意なことをしている時の顔,得意なことをしている時の顔
ノリのよさ,ノリのよさ
オーディション,Audition
自分らしさ,Individuality
父、母、妹,"Father, Mother, Little Sister"
両親は共働き,Dual-income home
甘いもの,Sweets
大人向けの食べ物,Food geared towards adults
クラスメイトに声をかけられるようになったこと,Her classmates started talking to her more
実家,Her home
夜ふかしをほどほどにする,Staying up late is okay in moderation
おやすみはだいじ,It's important to take breaks
特になし,Nothing in particular
小さい動物,Small animals
噛みそうな動物,Animals that seem bitey
ゲームのデイリーミッション,Dailies in games
可愛い,That she's cute
優しいお姉さん,She's a nice older sister
猫背,Slouching
特になし,None in particular
夏、冬,"Summer, Winter"
妹とずっと一緒にいること,To be with her sister forever
なんでもできること,She can do anything
優しいところ,She's kind
スカウト,Scouted
場に溶け込むのが上手い,場に溶け込むのが上手い
父、母、弟,父、母、弟
父と母は千雪の法被を所持,父と母は千雪の法被を所持
いちご大福、丼もの,いちご大福、丼もの
特徴が強すぎる味のもの,特徴が強すぎる味のもの
自己表現をすることへの寛容さ,自己表現をすることへの寛容さ
寮,寮
チャンスは逃さない,チャンスは逃さない
穏やかに、勇敢に,Be calm and courageous
客席を眺める,客席を眺める
全般,全般
花を枯らせる虫,花を枯らせる虫
読書,読書
しっかりしている,しっかりしている
ほんわかしている,ほんわかしている
好きなものは最後まで取っておく,好きなものは最後まで取っておく
春,春
特になし,特になし
画家,画家
鋭い観察力,鋭い観察力
可愛い寝顔,可愛い寝顔
スカウト,Scouted
不明,不明
父、母,父、母
共働き,共働き
美味しいもの,美味しいもの
グリーンピース,グリーンピース
忙しさ,忙しさ
実家,実家
気になることは知りたい,気になることは知りたい
特になし,None in particular
ジャンプ,ジャンプ
全般,全般
特になし,特になし
特になし,特になし
にこにこしている,にこにこしている
明るい,明るい
不明,不明
春夏秋冬,春夏秋冬
特になし,特になし
冒険家,冒険家
声,声
髪の毛,髪の毛
スカウト,Scouted
笑顔,笑顔
父、母,父、母
家族仲は良好,家族仲は良好
塩こんぶ、激辛担々麺,塩こんぶ、激辛担々麺
特になし,特になし
手軽にちやほやされるための手段には不向きだったこと,手軽にちやほやされるための手段には不向きだったこと
実家,実家
5分前行動,5分前行動
健康第一,Your health is most important
イメージトレーニング,イメージトレーニング
猫,猫
危険な動物全般,危険な動物全般
インプット、タスク管理,インプット、タスク管理
自由奔放、注意散漫,自由奔放、注意散漫
ノリが軽い、ギャル,ノリが軽い、ギャル
腕組み,腕組み
冬,冬
特になし,特になし
魔女っ子アイドル,魔女っ子アイドル
特になし,特になし
人当たりの良さ,人当たりの良さ
スカウト,Scouted
よく笑うところ,よく笑うところ
父、母、祖父、祖母、兄、姉、弟、妹,父、母、祖父、祖母、兄、姉、弟、妹
ライブには家族全員で行く,ライブには家族全員で行く
母の手料理,母の手料理
難しい味の料理,難しい味の料理
可愛い以外もありだということ,可愛い以外もありだということ
実家,実家
困っている人がいたら放っておかない,困っている人がいたら放っておかない
不撓不屈,Never falter
イメージトレーニング,イメージトレーニング
ライオン,ライオン
蜂,蜂
流行っている曲のチェック,流行っている曲のチェック
元気で可愛い,元気で可愛い
しっかりしていそう,しっかりしていそう
髪の色のチェック,髪の色のチェック
夏,夏
特になし,特になし
花嫁,花嫁
元気にたくさん食べるところ,元気にたくさん食べるところ
優しいところ,優しいところ
スカウト,Scouted
やる時はやるところ,やる時はやるところ
父、母,父、母
家族仲は良好,家族仲は良好
美味しいもの,美味しいもの
特になし,特になし
特になし,特になし
実家,実家
特になし,特になし
特になし,None in particular
差し入れを食べる,差し入れを食べる
特になし,特になし
特になし,特になし
食べる、寝る,食べる、寝る
今と同じ,今と同じ
今と同じ,今と同じ
今と同じ,今と同じ
生返事,生返事
特になし,特になし
特になし,特になし
特になし,特になし
ノリのよさ,ノリのよさ
真面目なところ,真面目なところ
楽しそうなところ,楽しそうなところ
スカウト,Scouted
世渡りが上手い,世渡りが上手い
父、母,父、母
父はインテリアコーディネートが趣味,父はインテリアコーディネートが趣味
特になし,特になし
特になし,特になし
プロデューサーの稼働率,プロデューサーの稼働率
実家,実家
特になし,特になし
明けた日は暮れる,All good things must come to an end
特になし,特になし
特になし,特になし
特になし,特になし
特になし,特になし
隣の家の子,隣の家の子
小さい,小さい
能天気,能天気
溜息,溜息
冬,冬
夏,夏
特になし,特になし
言語化できない,言語化できない
からかいがいがあるところ,からかいがいがあるところ
人に気を遣わないところ,人に気を遣わないところ
オーディション,Audition
学力,学力
父、母、妹,父、母、妹
妹は小糸と性格が異なる,妹は小糸と性格が異なる
飴,飴
特になし,特になし
身長が高い人が多い,身長が高い人が多い
実家,実家
準備は怠らない,準備は怠らない
点滴穿石,Constant dripping wears away the stone
振り付けの復習,振り付けの復習
特になし,特になし
凶暴な動物,凶暴な動物
予習、復習,予習、復習
記憶にない,記憶にない
記憶にない,記憶にない
記憶にない,記憶にない
緊張しがち,緊張しがち
特になし,特になし
特になし,特になし
不明,不明
空気感,空気感
性格,性格
似合うものを着ているところ,似合うものを着ているところ
オーディション,Audition
常に幸せそうなところ,常に幸せそうなところ
父、母,父、母
両親から溺愛されている,両親から溺愛されている
スイーツ,Sweets
苦いもの,苦いもの
周囲の人たちが大変そうであること,周囲の人たちが大変そうであること
実家,実家
常に楽しく幸せでいること,常に楽しく幸せでいること
特になし,None in particular
美味しいものを食べる,美味しいものを食べる
特になし,特になし
怖い動物,怖い動物
寝る前にボディクリームを塗る,寝る前にボディクリームを塗る
綺麗,綺麗
何を考えているかよくわからない,何を考えているかよくわからない
可愛い,可愛い
爪のチェック,爪のチェック
春夏秋冬,春夏秋冬
特になし,特になし
不明,不明
全部,全部
目の下のホクロ,目の下のホクロ
真面目なところ,真面目なところ
売り込み,Convinced
不明,不明
父（故）、母、姉,父（故）、母、姉
姉が２８３プロで事務員として働いている,姉が２８３プロで事務員として働いている
パン,パン
福神漬け,福神漬け
スケジューリングの難しさ,スケジューリングの難しさ
実家,実家
節約,節約
特になし,None in particular
ストレッチ,ストレッチ
特になし,特になし
特になし,特になし
家事、練習,家事、練習
努力と実力と才能の塊,努力と実力と才能の塊
POPの文言を考えてしまうこと,POPの文言を考えてしまうこと
冬,冬
夏,夏
不明,不明
目,目
移籍,Transferred
不明,不明
父、母,父、母
両親は干渉しすぎない程度に娘を気にかけている,両親は干渉しすぎない程度に娘を気にかけている
特になし,特になし
特になし,特になし
特になし,特になし
一人暮らし,一人暮らし
毎日練習する,毎日練習する
昨日できたことが、今日絶対にできるとは限らない,Don't leave for tomorrow what can be done today
ウォーミングアップ,ウォーミングアップ
特になし,特になし
特になし,特になし
レッスン,レッスン
変わっている,変わっている
特になし,特になし
特になし,特になし
特になし,特になし
歌手,歌手
明るいところ,明るいところ
移籍,Transferred
声,Voice
母,Mother
母は元アイドルの八雲なみ,Mother is a former idol (Nami Yakumo)
母が作ったナポリタン,Mom's Napolitan
特になし,None in particular
望みが叶わなかったこと,Expectations not being met
一人暮らし,Alone
特になし,None in particular
特になし,None in particular
ウォーミングアップ,Warming-up
カモメ,Seagull
虫,Insects
特になし,None in particular
新人,Newbie
新人,Newbie
特になし,None in particular
特になし,None in particular
特になし,None in particular
アイドル,Idol
顔,Her face
空気感,Her aura
スカウト,Scouted
不明,Not sure
父、母、弟,"Dad, Mom, Younger Brother"
頻繁に連絡を取る,Frequent contact
桃,Peaches
特になし,None in particular
歌とダンスの大変さ,How difficult singing and dancing are
寮,The dorms
特になし,None in particular
お腰につけたきびだんご,Those millet dumplings on on your waist
はるきと話す,Talk with Haruki
特になし,None in particular
特になし,None in particular
ストレッチ（数日おき）,Stretch (every few days)
すごい,Amazing
都会の子,City Kid
特になし,None in particular
特になし,None in particular
特になし,None in particular
特になし,None in particular
声,Her voice
髪の毛,Her hair
売り込み,Convinced
髪,Hair
父、母、兄、姉,"Dad, Mom, Older Bro, Older Sis"
姉との仲は良好、兄とはライバル？,"Friendly with Older Sis, Competitive with Older Bro"
ミルクティー、ベリー系のフルーツ,"Milk tea, berries"
ドリアン,Durian
様々な人がいること,The wide variety of people met
姉の家,Lives with Older Sister
睡眠をしっかり取る,Get enough sleep
あきらめない,Never give up
深呼吸,Take deep breaths
全般,All sorts
特になし,None in particular
朝空気の入れ替えをする,Air out room in the morning
髪の毛から指の先まで決まっている,Everything is perfectly styled
きらきらしている,She looks dazzling
メモ,Taking notes
春,Spring
特になし,None in particular
絵を描く人,Become an artist
目,Her eyes
髪,Her hair
アイドル,An Idol
6時頃,Around 6 AM
22時頃,Around 10 PM
ガーリー系,Girly
ヨウム,African Grey Parrot
インコ,Parakeet
鳥,A bird
6時頃,Around 6 AM
23時頃,Around 11 PM
派手すぎず動きやすいもの,"Not too flashy, comfortable"
小鳥,Small Bird
犬,Dog
アイドル,An Idol
6時頃,Around 6 AM
22時頃,Around 10 PM
動きやすいもの、衣装,Something comfortable
小鳥,Small Bird
犬,Dog
自分,Myself
6時頃,Around 6 AM
24時頃,Around midnight
特になし,None in particular
猫,Cat
白鳥,Swan
リス,Squirrel
ハムスター,Hamster
爬虫類,A reptile
決まっていない,No set time
決まっていない,No set time
すべて,Everything
犬,Dog
犬,Dog
猫,Cat
猫,Cat
両親の子ども,A child with parents
6時,At 6 AM
決まっていない,No set time
パンツスタイル,Something with pants
うさぎ,Rabbit
猫,Cat
フェレット,Ferret
鹿,Deer
２８３のみんな,Everyone from 283
7時半,Around 7 AM
24時過ぎ,Around midnight
すべて,Everything
うさぎ,Rabbit
猫,Cat
犬,Dog
ラッコ,Sea Otter
特になし,Nothing in particular
日の出頃,Around sunrise
決まっていない,No set time
母が選んでくれた服,Clothes mom chose
うさぎ,Rabbit
カメレオン,Chameleon
ゾウ,Elephant
パンダ,Panda
飼い犬の兄弟犬,Siblings of Mamemaru
7時,At 7 AM
21時半,At 9 PM
動きやすいもの、動物柄のもの,動きやすいもの、動物柄のもの
リス,Squirrel
ライオン,Lion
ペンギン,Penguin
犬,Dog
男の子,A boy
7時,At 7 AM
23時頃,Around 11 PM
すべて,Everything
犬,Dog
猫,Cat
白鳥,Swan
犬,Dog
特になし,Nothing in particular
6時頃,Around 6 AM
23時頃,Around 11 PM
動きやすい服,動きやすい服
犬,Dog
リス,Squirrel
黒猫,Black Cat
犬,Dog
メンバーやプロデューサーと出会える人,メンバーやプロデューサーと出会える人
7時,At 7 AM
23時,At 11 PM
友禅,友禅
犬,Dog
ハムスター,Hamster
猫,Cat
オウム,Parrot
自分,Myself
7時,At 7 AM
24時,At midnight
すべて,すべて
犬,Dog
リス,Squirrel
狼,Wolf
ペンギン,Penguin
自分,Myself
6時,At 6 AM
23時,At 11 PM
すべて,Everything
コアラ,Koala
白鳥,Swan
石油王,An oil baron
遅い,Late
遅い,Late
パジャマ,Pajamas
うさぎ,Bunny
うさぎ,Bunny
複数あり,Many things
決まっていない,No set time
決まっていない,No set time
柔らかいシルエットのもの,Items with a soft silhouette
ペンギン,Penguin
猫,Cat
雲,A cloud
決まっていない,No set time
決まっていない,No set time
動きやすいもの,Something easy to move in
猫,Cat
ライオン,Lion
アイドル,An idol
7時頃,Around 7 AM
23時頃,Around 11 PM
ガーリー系,Girly
ハツカネズミ,Pet Mouse
プレーリードッグ,Prairie Dog
なんでもできる人,Someone that can do anything
6時半頃,Around 6 AM
24時頃,Around midnight
動きやすいもの,Something easy to move in
狼,Wolf
虎,Tiger
ミジンコ,As a daphnia
決まっていない,No set time
決まっていない,No set time
トラのルームウェア,トラのルームウェア
マグロ,Tuna
イカ,Squid
サーモン,Salmon
特になし,Nothing in particular
決まっていない,No set time
決まっていない,No set time
楽な服,楽な服
クジラ,Whale
シマエナガ,Silver-throated Tit
ラッコ,Sea Otter
不明,Unsure
7時,At 7 AM
23時,At 11 PM
特になし,Nothing in particular
虎,Tiger
熊,Bear
熊,Bear
自分,Myself
7時半頃,Around 7 AM
24時頃,Around midnight
自分に似合う可愛い服,自分に似合う可愛い服
クラゲ,Jellyfish
猫,Cat
ハムスター,Hamster
自分以外,Anyone that's not me
7時頃,At 7 AM
25時頃,At 1 AM
動きやすいもの,動きやすいもの
チーター,Cheetah
アイドル,An idol
6時,At 6 AM
決まっていない,No set time
スタイリストに選んでもらったもの,スタイリストに選んでもらったもの
猫,Cat
母の子ども,A mother's child
決まっていない,No set time
決まっていない,No set time
モノトーンのもの,Monochromatic outfits
うさぎ,Bunny
リス,Squirrel
特になし,Nothing in particular
決まっていない,No set time
決まっていない,No set time
特になし,None in particular
犬,Dog
犬,Dog
ドラゴン,Dragon
6時,At 6 AM
23時,At 11 PM
姉に買ってもらったスニーカー,Sneakers her sister bought
ベンガル,Bengal
イルカ,Dolphin
森の香り,The smell of a forest
布団を干す,Air-drying her bedding
絵本、児童書,"Picture books, children's books"
星が綺麗な丘の上,On top of a hill where the stars are pretty
何事も全力で努力するところ,She works hard at anything and everything
明るくてダンスが上手なところ,She's bright and great at dancing
リラックスできるもの,リラックスできるもの
家事,家事
ノンフィクション,ノンフィクション
一人でも居心地の良いカフェ,一人でも居心地の良いカフェ
歌唱力と芯の強さ,歌唱力と芯の強さ
底抜けの明るさとダンスの実力,底抜けの明るさとダンスの実力
ゆずの香り,ゆずの香り
外出、運動,外出、運動
ハッピーエンド,ハッピーエンド
ドーダン,ドーダン
柔らかな雰囲気,柔らかな雰囲気
真剣に取り組む姿勢,真剣に取り組む姿勢
リラックスできる香り,リラックスできる香り
掃除、自炊,掃除、自炊
ロマンチックなもの,ロマンチックなもの
イルミネーションの綺麗な場所,イルミネーションの綺麗な場所
あまのじゃくなところ,あまのじゃくなところ
クールだが可愛いところ,クールだが可愛いところ
気配り上手で盛り上げ上手なところ,気配り上手で盛り上げ上手なところ
秘めた情熱があるところ,秘めた情熱があるところ
ショップで購入したもの,ショップで購入したもの
買い物、寝る,買い物、寝る
特になし,Nothing in particular
特になし,None in particular
元気,元気
愛,愛
安定感,安定感
包容力,包容力
海の香り,Sea scented ones
友達やメンバーと遊ぶ,友達やメンバーと遊ぶ
ハッピーエンド,Happy Ends
公園,Parks
自信に満ち溢れているところ,自信に満ち溢れているところ
掴みどころがないところ,掴みどころがないところ
盛り上げ上手なところ,盛り上げ上手なところ
ひたむきなところ,ひたむきなところ
特になし,特になし
趣味に時間をかける,趣味に時間をかける
冒険、アクション,冒険、アクション
映画館,映画館
天性のアイドルであるところ,天性のアイドルであるところ
掴ませないところ,掴ませないところ
かっこよさと可愛さのギャップ,かっこよさと可愛さのギャップ
独自の世界観があるところ,独自の世界観があるところ
森の香り,森の香り
勉強,勉強
絵本、児童文学,絵本、児童文学
事務所近くの川,事務所近くの川
あたたかさ,あたたかさ
放っておけないところ,放っておけないところ
優しさに溢れているところ,優しさに溢れているところ
繊細さ,繊細さ
溶けるとフィギュアが出てくるもの,溶けるとフィギュアが出てくるもの
勉強、マメ丸と遊ぶ,勉強、マメ丸と遊ぶ
冒険,冒険
事務所のソファー,事務所のソファー
諦めない心,諦めない心
分け隔てないところ,分け隔てないところ
ジャンルを選ばず活躍できるところ,ジャンルを選ばず活躍できるところ
どんなオーダーにも応えられるところ,どんなオーダーにも応えられるところ
柑橘系の香り,柑橘系の香り
スイーツ店巡り,スイーツ店巡り
ラブコメ、ファンタジー,ラブコメ、ファンタジー
スイーツ店,スイーツ店
可愛らしさとパワフルさ,可愛らしさとパワフルさ
真面目さと熱さ、的確なツッコミ,真面目さと熱さ、的確なツッコミ
可愛さと綺麗さの両立,可愛さと綺麗さの両立
努力を怠らず、常に上を目指している姿勢,努力を怠らず、常に上を目指している姿勢
特になし,特になし
家事、宿題など,家事、宿題など
冒険,冒険
寮の近くのジョギングコース,寮の近くのジョギングコース
放クラのヒーロー,放クラのヒーロー
プロ意識が高いところ,プロ意識が高いところ
真面目でいつも姿勢がいいところ,真面目でいつも姿勢がいいところ
ストイックでいつも全力なところ,ストイックでいつも全力なところ
特になし,特になし
漫画を読む,漫画を読む
世界中の文芸作品、古典、漫画,世界中の文芸作品、古典、漫画
商店街の精肉店,商店街の精肉店
天真爛漫なところ,天真爛漫なところ
前向きなところ,前向きなところ
努力家なところ,努力家なところ
引っ張っていってくれるところ,引っ張っていってくれるところ
バスソルト,バスソルト
細かく予定を立てて過ごす,細かく予定を立てて過ごす
すべて,すべて
海,海
純粋さ、リーダーシップ,純粋さ、リーダーシップ
一生懸命さ,一生懸命さ
優しさ,優しさ
ギャップ,ギャップ
フローラルの香り,フローラルの香り
外出、買い物、家の手伝い,外出、買い物、家の手伝い
恋愛,恋愛
街が見渡せる高台,街が見渡せる高台
ほんわかした可愛さ,ほんわかした可愛さ
芯の強さ,芯の強さ
特になし,None in particular
ゲーム、昼寝,"Gaming, napping"
冒険,Adventures
布団の中,In her bed
おしゃれなところ,She's stylish
様々なことを知っているところ,She knows a lot of stuff
フローラルの香り、ハーブの香り,フローラルの香り、ハーブの香り
雑貨作り、散歩、家事,雑貨作り、散歩、家事
おとぎ話,おとぎ話
雑貨店,雑貨店
魅せ方の上手さ,魅せ方の上手さ
応援したくなる頑張り,応援したくなる頑張り
レモンの香り,レモンの香り
外出,外出
伝記,伝記
事務所の屋上,事務所の屋上
いろいろ考えているところ,いろいろ考えているところ
目,目
檜の香り,檜の香り
アニメ鑑賞、カフェ,アニメ鑑賞、カフェ
勧善懲悪,勧善懲悪
吹き抜けのあるカフェ,吹き抜けのあるカフェ
ダンス・表現力の天才,ダンス・表現力の天才
