text,trans,type
ファンを累計で$num億人獲得しよう,팬을 누계로 $1억명 획득하자,exp
$nameの思い出レベルを$numにしよう,$1의 추억 레벨을 $2(으)로 하자,exp
$nounで$num回勝利しよう,$1에서 $2회 승리하자,exp
$nounで$nounを達成しよう,$1에서 $2을 달성하자,exp
「$noun」：$nounボーナスを獲得する,「$1」 : $2 보너스를 획득한다,exp
$nounで$nounを$num回達成しよう,$1에서 $2을 $3회 달성하자,exp
$nounをプレイしよう,$1을 플레이 하자,exp
$nounで勝利しよう,$1에서 승리하자,exp
天井社長からの指令$num,아마이 사장으로부터의 지령 $1,exp
$nounのメンバーを全員入れたデッキでフェスアイドルを誕生させよう,$1의 멤버를 전원 넣은 덱으로 페스 아이돌을 탄생시키자,exp
シーズン$numをクリアしよう,시즌$1을 클리어 하자,exp
$nameのフェスアイドルを誕生させよう,$1의 페스아이돌을 탄생시키자,exp
グレードLv$numに昇格しよう,그레이드 Lv$1에 승격하자,exp
センターに$nameを編成して、$noun以上の$nounに参加して「$noun」を達成しよう,센터에 $1를 편성해、 $2 이상의 $3에 참가해 「$4」을(를) 달성하자,exp
$nameのユニットで、強力なライバルに対して\n「$noun」を達成した証,"$1의 유닛으로, 강력한 라이벌을 대해\n 「$2」를 달성한 증거",exp
$nameのTrueEndを見よう,$1의 TrueEnd를 보자,exp
【$unknown】$nameのTrueEndを見よう,【$1】$2의 TrueEnd를 보자,exp
$nameの「$noun」「$noun」「$noun」を全てクリアしよう,$1의 「$2」 「$3」 「$4」를 모두 클리어 하자,exp
$noun以上のフェスアイドルを誕生させよう,$1 이상의 페스아이돌을 탄생시키자,exp
センターに$nameを編成し$noun以上の$nounに参加して「$noun」を達成しよう,센터에 $1를 편성해 $2 이상의 $3에 참가해 「$4」를 달성하자,exp
グレードLv$numに昇格しよう,Promote to Grade Lv$1,exp
$nameをプロデュースしてシーズン$numをクリアしよう,$1를 프로듀스해 시즌$2를 클리어 하자,exp
$nameプロデュースしてシーズン$numをクリアしよう,$1 프로듀스해 시즌$2를 클리어 하자,exp
$nameをプロデュースしてW.I.N.G.決勝に進出しよう,$1를 프로듀스해 W.I.N.G. 결승에 진출하자,exp
【$unknown】$nameをプロデュースしてシーズン$numをクリアしよう,【$1】$2를 프로듀스해 시즌$3를 클리어 하자,exp
【$unknown】$nameを編成してシーズン$numをクリアしよう,【$1】$2를 편성해 시즌$3를 클리어 하자,exp
シーズン$numのオーディションすべてに合格しよう,시즌$1의 오디션 모두에게 합격하자,exp
シーズン$num開催のオーディション「$noun」に合格しよう,시즌$1 개최의 오디션 「$2」에 합격하자,exp
シーズン$num開催の特別オーディション「$noun」に合格しよう,시즌$1 개최의 특별 오디션 「$2」에 합격하자,exp
難易度$numのアイデアノートを$num回コンプリートしよう,난이도$1의 아이디어 노트를$2회컴플릿 하자,exp
$nounの誰か一人をプロデュースして$noun以上のフェスアイドルを誕生させよう,$1의 누군가 한사람을 프로듀스해 $2 이상의 페스아이돌을 탄생시키자,exp
【$note】シーズン$num開催のオーディション「$unknown」に合格しよう,【$1】시즌$2 개최의 오디션 「$3」에 합격하자,exp
【$note】シーズン$num開催の特別オーディション「$unknown」に合格しよう,【$1】시즌$2 개최의 특별 오디션 「$3」에 합격하자,exp
【$note】ファン感謝祭をクリアしよう,【$1】팬 감사제를 클리어 하자,exp
【$note】ファン感謝祭でMVPを1回取ろう,【$1】팬 감사제에서 MVP를 1회 획득하자,exp
【$note】$noun以上の$nounに参加して、「$noun」を達成しよう,【$1】$2 이상의 $3에 참가해 「$4」을(를) 달성하자,exp
累計$numポイント達成,Achieve $1 Total Points,exp
$num周目クリア,Clear $1 Weeks,exp
最高スコア$num達成,Highest Score $1 Achieved,exp
トークイベントに出演などでSPを累計$num以上獲得しよう,Earn a total of $1 or more SP from Talkshows,exp
ラジオの収録などでメンタルを$num以上にしよう,Earn a total of $1 or more Mental from Radio Shows,exp
ラジオの収録やトークイベントに出演などでファン数を$num人以上獲得しよう,Earn a total of $1 or more Fans from Radio Shows and Talkshows,exp
トークイベントに出演などでSPを累計$num以上にしよう,Make SP a total of $1 or more from Talkshows,exp
$ukを$num以上にしよう,$1를 $2이상으로 만들자,exp
「$uk」に$num回合格しよう,「$1」에 $2회 합격하자,exp
ファン数を累計$num万人以上獲得しよう,Gain over $10000 fans total,exp
